,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1114,1085.4,1759.0,1109.1,1174.0,1527.0,1146.8,994.4,1186.0,,,1322.9,920.0,1279.0,1275.7,1003.1,,1346.8,1015.0,,1029.0,1195.0,1112.6,1275.0,1102.2,1262.0,1137.1,,-28.6,645.0,-4.9,60.0,413.0,32.8,-119.6,72.0,,,208.9,-194.0,165.0,161.7,-110.9,,232.8,-99.0,,-85.0,81.0,-1.4,161.0,-11.8,148.0,23.1,,False,True,False,False,False,False,False,,,False,False,False,False,False,,False,False,,False,False,True,False,True,False,True,
Alaska,17,19.7,28.0,20.0,17.1,12.0,16.0,48.0,15.0,20.9,,13.5,,20.4,16.3,13.8,,23.3,12.0,,28.0,16.0,13.1,21.0,20.2,10.0,13.0,,2.7,11.0,3.0,0.1,-5.0,-1.0,31.0,-2.0,3.9,,-3.5,,3.4,-0.7,-3.2,,6.3,-5.0,,11.0,-1.0,-3.9,4.0,3.2,-7.0,-4.0,,False,False,True,False,True,False,True,False,,False,,False,True,False,,False,False,,False,True,False,False,False,False,False,
Arizona,2151,1731.0,3480.0,1772.3,2225.1,3264.0,2664.0,2040.2,4368.0,,,2483.2,1970.0,2384.5,2036.9,1811.3,,2224.0,1784.5,,1895.0,1428.0,1777.8,2396.0,2211.5,1926.0,1860.1,2107.0,-420.0,1329.0,-378.7,74.1,1113.0,513.0,-110.8,2217.0,,,332.2,-181.0,233.5,-114.1,-339.7,,73.0,-366.5,,-256.0,-723.0,-373.2,245.0,60.5,-225.0,-290.9,-44.0,False,True,True,False,False,True,False,,,True,True,True,True,True,,True,True,,True,False,True,True,True,True,True,True
Arkansas,319,275.4,694.0,269.0,342.2,466.0,287.5,597.1,329.0,343.9,,344.4,309.0,332.1,335.5,264.8,,380.0,247.5,,255.0,436.0,295.2,374.0,294.8,254.0,288.1,,-43.6,375.0,-50.0,23.2,147.0,-31.5,278.1,10.0,24.9,,25.4,-10.0,13.1,16.5,-54.2,,61.0,-71.5,,-64.0,117.0,-23.8,55.0,-24.2,-65.0,-30.9,,False,False,True,False,True,False,True,True,,True,True,True,True,False,,False,False,,False,False,True,False,True,False,True,
California,7027,6900.3,9959.0,6955.4,7202.0,8486.0,6726.1,9574.5,7432.0,7641.8,,7114.3,6653.0,9364.7,6849.2,6586.2,,6851.6,6555.5,,6654.0,6441.0,6466.0,6931.0,7202.1,6770.5,7044.5,7302.0,-126.7,2932.0,-71.6,175.0,1459.0,-300.9,2547.5,405.0,614.8,,87.3,-374.0,2337.7,-177.8,-440.8,,-175.4,-471.5,,-373.0,-586.0,-561.0,-96.0,175.1,-256.5,17.5,275.0,False,True,False,False,False,False,False,False,,True,False,False,False,False,,False,False,,False,False,False,True,False,False,True,False
Colorado,1725,1871.9,2248.0,1881.0,1812.8,1777.0,1834.3,1797.4,1751.0,,,2188.9,1737.0,1839.6,1747.7,1832.0,,1775.2,1810.5,,1946.0,1777.0,1784.1,1724.0,1776.1,1786.0,1910.6,,146.9,523.0,156.0,87.8,52.0,109.3,72.4,26.0,,,463.9,12.0,114.6,22.7,107.0,,50.2,85.5,,221.0,52.0,59.1,-1.0,51.1,61.0,185.6,,False,False,True,True,True,True,True,,,False,True,True,True,True,,True,True,,False,True,True,True,True,True,False,
Connecticut,4348,4702.4,5352.0,4722.4,4495.9,4357.0,4570.8,4376.3,4382.0,4567.6,,4331.3,4459.0,4761.8,4585.4,4560.4,,4496.4,4472.5,,4501.0,4398.0,4516.2,4466.0,4324.8,4460.0,4582.0,4702.0,354.4,1004.0,374.4,147.9,9.0,222.8,28.3,34.0,219.6,,-16.7,111.0,413.8,237.4,212.4,,148.4,124.5,,153.0,50.0,168.2,118.0,-23.2,112.0,234.0,354.0,False,False,True,True,True,True,True,True,,True,True,False,True,True,,True,True,,True,True,True,True,True,True,True,True
Delaware,517,514.6,693.0,535.0,494.6,466.0,492.0,472.7,462.0,613.2,,481.4,476.0,587.4,474.2,499.3,,470.1,477.0,,509.0,480.0,483.2,467.0,468.7,504.0,507.5,,-2.4,176.0,18.0,-22.4,-51.0,-25.0,-44.3,-55.0,96.2,,-35.6,-41.0,70.4,-42.8,-17.7,,-46.9,-40.0,,-8.0,-37.0,-33.8,-50.0,-48.3,-13.0,-9.5,,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,
District of Columbia,568,615.3,783.0,623.0,580.3,568.0,604.0,618.2,558.0,629.8,,576.3,628.0,593.7,568.0,,,569.9,535.0,,558.0,564.0,587.8,569.0,564.5,569.0,589.9,,47.3,215.0,55.0,12.3,0.0,36.0,50.2,-10.0,61.8,,8.3,60.0,25.7,0.0,,,1.9,-33.0,,-10.0,-4.0,19.8,1.0,-3.5,1.0,21.9,,False,False,True,True,True,False,True,False,,True,False,True,True,,,True,True,,True,True,True,True,True,True,True,
Florida,4197,3822.0,6041.0,3873.4,4280.1,6655.0,4169.1,3893.9,4193.0,,,4381.0,4109.0,4655.5,4561.5,3549.9,,4604.2,3659.0,,3848.0,3777.0,3835.7,5144.0,4100.8,4029.0,4046.2,4168.0,-375.0,1844.0,-323.6,83.1,2458.0,-27.9,-303.1,-4.0,,,184.0,-88.0,458.5,364.5,-647.1,,407.2,-538.0,,-349.0,-420.0,-361.3,947.0,-96.2,-168.0,-150.8,-29.0,False,True,True,False,True,True,True,,,True,True,False,True,False,,False,False,,True,False,True,False,True,True,True,True
