,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,1114,989.9,1838.7,450.0,535.8,1025.8,-124.1,724.7,-664.0,-578.2,-88.2,False,False,False,True
Alaska,17,9.0,5.0,,12.5,14.8,-8.0,-12.0,,-4.5,-2.2,False,,True,True
Arizona,2151,1219.6,972.5,636.0,696.7,1344.7,-931.4,-1178.5,-1515.0,-1454.3,-806.3,False,False,False,True
Arkansas,319,322.4,164.1,238.0,142.5,250.8,3.4,-154.9,-81.0,-176.5,-68.2,False,False,False,False
California,7027,7055.9,4530.0,4439.0,3947.9,5407.7,28.9,-2497.0,-2588.0,-3079.1,-1619.3,False,False,False,False
Colorado,1725,2360.0,1327.6,1328.0,1525.0,2879.3,635.0,-397.4,-397.0,-200.0,1154.3,True,True,True,False
Connecticut,4348,7482.9,4026.4,3400.0,3987.6,4755.1,3134.9,-321.6,-948.0,-360.4,407.1,True,True,True,True
Delaware,517,738.9,525.9,339.0,374.6,637.4,221.9,8.9,-178.0,-142.4,120.4,True,True,True,True
District of Columbia,568,970.6,554.7,496.0,416.0,725.9,402.6,-13.3,-72.0,-152.0,157.9,True,True,True,True
Florida,4197,4375.6,3656.8,2348.0,2208.5,3443.1,178.6,-540.2,-1849.0,-1988.5,-753.9,False,False,False,False
Georgia,2996,3825.7,4620.6,2375.0,2197.2,3355.7,829.7,1624.6,-621.0,-798.8,359.7,False,True,True,True
Hawaii,19,46.6,24.2,,24.4,39.8,27.6,5.2,,5.4,20.8,True,,True,True
Idaho,102,142.9,83.1,72.0,102.7,120.2,40.9,-18.9,-30.0,0.7,18.2,True,True,True,True
Illinois,7369,9370.1,6270.4,5179.0,4944.7,7835.6,2001.1,-1098.6,-2190.0,-2424.3,466.6,True,False,False,True
Indiana,2756,4276.4,5869.8,1846.0,2167.4,3760.4,1634.4,3227.8,-796.0,-474.6,1118.4,False,True,True,True
Iowa,748,834.6,1318.9,1077.0,610.5,1147.1,86.6,570.9,329.0,-137.5,399.1,False,False,False,False
Kansas,295,370.7,258.6,1118.0,469.9,382.3,75.7,-36.4,823.0,174.9,87.3,True,False,False,False
Kentucky,622,696.6,521.5,338.0,544.4,588.6,74.6,-100.5,-284.0,-77.6,-33.4,False,False,False,True
Louisiana,3403,4801.6,2820.5,2638.0,2970.7,3683.4,1398.6,-582.5,-765.0,-432.3,280.4,True,True,True,True
Maine,112,126.0,83.7,61.0,90.3,152.1,14.0,-28.3,-51.0,-21.7,40.1,False,False,False,False
Maryland,3310,4938.0,2185.2,2161.0,2350.1,3494.4,1628.0,-1124.8,-1149.0,-959.9,184.4,True,True,True,True
Massachusetts,8310,14896.1,7683.1,7416.0,7318.2,9565.0,6586.1,-626.9,-894.0,-991.8,1255.0,True,True,True,True
Michigan,6313,11327.6,7037.3,5067.0,5972.8,8570.9,5219.6,929.3,-1041.0,-135.2,2462.9,True,True,True,True
Minnesota,1537,1857.1,2120.0,1227.0,651.6,1705.1,320.1,583.0,-310.0,-885.4,168.1,False,True,False,True
Mississippi,1230,1052.1,482.4,350.0,608.0,1009.7,-177.9,-747.6,-880.0,-622.0,-220.3,False,False,False,False
Missouri,1091,1347.0,1113.0,952.0,619.4,1240.9,359.0,125.0,-36.0,-368.6,252.9,True,True,False,True
Montana,29,35.7,13.2,16.0,22.9,36.2,6.7,-15.8,-13.0,-6.1,7.2,False,False,True,False
Nebraska,285,294.9,364.3,1607.0,271.0,336.6,9.9,79.3,1322.0,-14.0,51.6,False,False,False,False
Nevada,592,770.6,475.1,487.0,441.9,645.2,178.6,-116.9,-105.0,-150.1,53.2,True,True,True,True
New Hampshire,391,342.3,166.4,160.0,158.7,359.2,-48.7,-224.6,-231.0,-232.3,-31.8,False,False,False,True
New Jersey,15525,26924.9,15951.3,11807.0,12659.4,15475.1,12984.9,2011.3,-2133.0,-1280.6,1535.1,True,True,True,True
New Mexico,543,663.6,422.7,374.0,283.4,563.6,120.6,-120.3,-169.0,-259.6,20.6,True,False,False,True
New York,32380,48749.6,32122.5,25741.0,31000.9,33761.5,17145.6,518.5,-5863.0,-603.1,2157.5,True,True,True,True
North Carolina,1513,1518.3,1153.6,751.0,872.4,1198.3,5.3,-359.4,-762.0,-640.6,-314.7,False,False,False,False
North Dakota,87,103.9,37.7,214.0,52.6,79.5,16.9,-49.3,127.0,-34.4,-7.5,False,False,False,True
Ohio,3036,4104.6,2526.9,1630.0,1865.1,3100.7,1068.6,-509.1,-1406.0,-1170.9,64.7,True,False,False,True
Oklahoma,421,661.9,489.6,520.0,428.9,644.8,240.9,68.6,99.0,7.9,223.8,True,True,True,True
Oregon,232,276.6,192.9,153.0,185.3,228.0,44.6,-39.1,-79.0,-46.7,-4.0,True,False,False,True
Pennsylvania,6897,11630.9,8403.7,4584.0,4654.9,7783.1,4733.9,1506.7,-2313.0,-2242.1,886.1,True,True,True,True
Rhode Island,987,1246.6,485.4,836.0,775.3,818.8,315.6,-445.6,-95.0,-155.7,-112.2,False,True,True,True
South Carolina,951,1270.6,1080.8,290.0,416.8,1084.9,319.6,129.8,-661.0,-534.2,133.9,True,False,False,True
South Dakota,109,119.6,221.7,927.0,38.3,74.1,10.6,112.7,818.0,-70.7,-34.9,False,False,False,False
