,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1114,1092.7,876.3,794.3,713.0,977.3,,1072.5,798.0,993.7,1193.1,1237.8,-21.3,-237.7,-319.7,-401.0,-136.7,,-41.5,-316.0,-120.3,79.1,123.8,False,False,False,False,,False,False,False,False,False
Alaska,17,10.0,11.5,10.4,,14.5,,10.0,,11.2,9.7,11.2,-7.0,-5.5,-6.6,,-2.5,,-7.0,,-5.8,-7.3,-5.8,True,True,,True,,False,,True,False,True
Arizona,2151,1527.9,1101.0,1957.1,1430.0,1814.6,,1898.0,1499.0,1650.0,1828.6,1995.1,-623.1,-1050.0,-193.9,-721.0,-336.4,,-253.0,-652.0,-501.0,-322.4,-155.9,False,True,False,True,,True,False,True,True,True
Arkansas,319,232.6,228.7,373.9,306.0,248.9,,234.0,168.0,233.2,261.1,252.1,-86.4,-90.3,54.9,-13.0,-70.1,,-85.0,-151.0,-85.8,-57.9,-66.9,False,True,True,True,,True,False,True,True,True
California,7027,6626.1,5441.7,9936.4,6800.0,5945.7,,6669.0,5236.0,7083.1,7958.5,6899.3,-400.9,-1585.3,2909.4,-227.0,-1081.3,,-358.0,-1791.0,56.1,931.5,-127.7,False,False,True,False,,True,False,True,False,True
Colorado,1725,2106.9,1611.4,2901.7,1919.0,2077.2,,2060.0,1871.0,2167.3,1760.8,2377.9,381.9,-113.6,1176.7,194.0,352.2,,335.0,146.0,442.3,35.8,652.9,True,False,True,True,,True,True,False,True,False
Connecticut,4348,5414.1,4375.9,4242.6,4347.0,4361.5,,4664.0,4218.0,4872.7,4094.4,4743.8,1066.1,27.9,-105.4,-1.0,13.5,,316.0,-130.0,524.7,-253.6,395.8,True,True,True,True,,True,True,True,True,True
Delaware,517,600.3,416.8,410.9,454.0,444.9,,622.0,431.0,483.4,428.0,579.4,83.3,-100.2,-106.1,-63.0,-72.1,,105.0,-86.0,-33.6,-89.0,62.4,False,False,True,True,,False,False,True,False,True
District of Columbia,568,665.1,518.1,615.5,688.0,574.1,,580.0,572.0,750.7,540.0,622.6,97.1,-49.9,47.5,120.0,6.1,,12.0,4.0,182.7,-28.0,54.6,True,True,False,True,,True,True,False,True,True
Florida,4197,3704.4,2838.7,3396.3,3276.0,3381.0,,3944.5,3116.0,4091.9,3115.9,4006.6,-492.6,-1358.3,-800.7,-921.0,-816.0,,-252.5,-1081.0,-105.1,-1081.1,-190.4,False,False,False,False,,True,False,True,False,True
