,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,80,54.0,67.1,,53.0,68.0,,,,,,74.6,,54.0,,43.0,30.7,,33.9,52.2,57.0,20.0,,53.4,,51.7,,,37.0,71.6,-26.0,-12.9,,-27.0,-12.0,,,,,,-5.4,,-26.0,,-37.0,-49.3,,-46.1,-27.8,-23.0,-60.0,,-26.6,,-28.3,,,-43.0,-8.4,True,,False,True,,,,,,True,,False,,False,False,,False,False,True,False,,False,,False,,,False,True
01003,142,571.0,583.0,,342.0,342.0,,,,,,282.8,,198.0,,672.4,336.4,,409.3,243.5,798.0,76.0,,187.9,,534.4,576.0,,27.0,77.6,429.0,441.0,,200.0,200.0,,,,,,140.8,,56.0,,530.4,194.4,,267.3,101.5,656.0,-66.0,,45.9,,392.4,434.0,,-115.0,-64.4,False,,True,True,,,,,,True,,True,,False,True,,True,True,False,True,,True,,True,False,,True,True
01005,23,39.0,32.2,,22.0,13.0,,,,,,42.9,,22.0,,25.7,14.8,,22.4,24.0,49.0,0.0,,11.3,,31.9,,,24.0,21.0,16.0,9.2,,-1.0,-10.0,,,,,,19.9,,-1.0,,2.7,-8.2,,-0.6,1.0,26.0,-23.0,,-11.7,,8.9,,,1.0,-2.0,True,,True,True,,,,,,False,,True,,True,True,,True,True,False,False,,True,,True,,,True,True
01007,51,24.0,27.2,,24.0,7.0,,,,,,41.2,,24.0,,26.2,14.9,,23.9,29.5,23.0,0.0,,34.1,,22.1,,,20.0,22.2,-27.0,-23.8,,-27.0,-44.0,,,,,,-9.8,,-27.0,,-24.8,-36.1,,-27.1,-21.5,-28.0,-51.0,,-16.9,,-28.9,,,-31.0,-28.8,True,,False,False,,,,,,True,,False,,True,False,,False,True,False,False,,True,,False,,,False,False
01009,61,44.0,0.0,,36.0,36.0,,,,,,61.5,,69.0,,35.6,46.9,,22.4,35.4,44.0,6.0,,11.7,,41.8,,,20.0,107.4,-17.0,-61.0,,-25.0,-25.0,,,,,,0.5,,8.0,,-25.4,-14.1,,-38.6,-25.6,-17.0,-55.0,,-49.3,,-19.2,,,-41.0,46.4,False,,False,False,,,,,,True,,True,,False,True,,False,False,False,False,,False,,False,,,False,False
01011,13,9.0,11.3,,9.0,3.0,,,,,,36.7,,12.0,,9.3,5.9,,1.1,6.6,7.0,8.0,,4.8,,8.8,,,2.0,9.6,-4.0,-1.7,,-4.0,-10.0,,,,,,23.7,,-1.0,,-3.7,-7.1,,-11.9,-6.4,-6.0,-5.0,,-8.2,,-4.2,,,-11.0,-3.4,True,,False,False,,,,,,False,,True,,True,False,,False,False,False,False,,False,,False,,,False,True
01013,34,12.0,8.7,,11.0,0.0,,,,,,56.3,,20.0,,10.1,7.6,,4.8,10.8,8.0,9.0,,24.6,,12.0,,,4.0,13.4,-22.0,-25.3,,-23.0,-34.0,,,,,,22.3,,-14.0,,-23.9,-26.4,,-29.2,-23.2,-26.0,-25.0,,-9.4,,-22.0,,,-30.0,-20.6,False,,False,False,,,,,,False,,True,,False,False,,False,False,False,False,,True,,True,,,False,True
01015,182,145.0,162.1,,129.0,101.0,,,,,,129.3,,150.0,,125.8,140.0,,122.1,129.4,135.0,126.0,,113.2,,130.3,,,64.0,198.7,-37.0,-19.9,,-53.0,-81.0,,,,,,-52.7,,-32.0,,-56.2,-42.0,,-59.9,-52.6,-47.0,-56.0,,-68.8,,-51.7,,,-118.0,16.7,True,,False,False,,,,,,False,,True,,False,False,,False,False,False,False,,False,,False,,,False,True
01017,39,40.0,53.3,,22.0,21.0,,,,,,75.9,,30.0,,22.3,25.9,,17.5,23.6,20.0,0.0,,10.0,,32.4,,,20.0,20.0,1.0,14.3,,-17.0,-18.0,,,,,,36.9,,-9.0,,-16.7,-13.1,,-21.5,-15.4,-19.0,-39.0,,-29.0,,-6.6,,,-19.0,-19.0,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,False,,False,,False,,,False,False
01019,32,31.0,25.9,,28.0,43.0,,,,,,29.2,,30.0,,28.0,24.9,,16.0,21.5,37.0,4.0,,9.0,,28.9,,,20.0,37.5,-1.0,-6.1,,-4.0,11.0,,,,,,-2.8,,-2.0,,-4.0,-7.1,,-16.0,-10.5,5.0,-28.0,,-23.0,,-3.1,,,-12.0,5.5,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,False,,False,,False,,,False,False
