,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,583,406.0,,,,490.0,102.1,313.0,225.4,,,-177.0,,,,-93.0,-480.9,-270.0,-357.6,,,,,,True,False,False,False,,
01003,2044,1386.0,,,,1987.0,1199.3,372.7,898.0,,,-658.0,,,,-57.0,-844.7,-1671.3,-1146.0,,,,,,True,False,False,False,,
01005,228,196.0,,,,289.0,64.5,22.0,166.8,,,-32.0,,,,61.0,-163.5,-206.1,-61.2,,,,,,False,False,False,False,,
01007,213,238.0,,,,237.0,169.3,148.7,274.7,,,25.0,,,,24.0,-43.7,-64.3,61.7,,,,,,True,False,False,False,,
01009,571,539.0,,,,581.0,238.9,61.5,568.6,,,-32.0,,,,10.0,-332.1,-509.5,-2.4,,,,,,True,False,False,True,,
01011,85,224.0,,,,169.0,48.2,143.7,105.9,,,139.0,,,,84.0,-36.8,58.7,20.9,,,,,,True,True,True,True,,
01013,139,98.0,,,,213.0,11.2,108.0,86.3,,,-41.0,,,,74.0,-127.8,-31.0,-52.7,,,,,,False,False,True,False,,
01015,1569,1617.0,,,,1008.0,968.6,815.2,1377.7,,,48.0,,,,-561.0,-600.4,-753.8,-191.3,,,,,,False,False,False,False,,
01017,265,105.0,,,,269.0,25.8,62.2,117.7,,,-160.0,,,,4.0,-239.2,-202.8,-147.3,,,,,,True,False,False,True,,
01019,288,217.0,,,,235.0,55.0,31.8,174.1,,,-71.0,,,,-53.0,-233.0,-256.2,-113.9,,,,,,True,False,False,False,,
01021,721,462.0,,,,450.0,337.4,243.3,407.4,,,-259.0,,,,-271.0,-383.6,-477.7,-313.6,,,,,,False,False,False,False,,
01023,61,84.0,,,,121.0,18.4,62.7,81.6,,,23.0,,,,60.0,-42.6,1.7,20.6,,,,,,False,False,True,True,,
01025,291,329.0,,,,300.0,157.6,193.3,260.5,,,38.0,,,,9.0,-133.4,-97.7,-30.5,,,,,,True,False,False,True,,
01027,324,140.0,,,,118.0,11.2,15.6,104.6,,,-184.0,,,,-206.0,-312.8,-308.4,-219.4,,,,,,False,False,False,False,,
01029,273,308.0,,,,103.0,137.6,39.4,130.4,,,35.0,,,,-170.0,-135.4,-233.6,-142.6,,,,,,False,False,False,False,,
01031,539,658.0,,,,518.0,231.6,260.0,522.0,,,119.0,,,,-21.0,-307.4,-279.0,-17.0,,,,,,True,False,False,True,,
01033,455,504.0,,,,577.0,158.9,227.1,186.8,,,49.0,,,,122.0,-296.1,-227.9,-268.2,,,,,,False,False,False,False,,
01035,88,126.0,,,,166.0,25.9,11.6,85.6,,,38.0,,,,78.0,-62.1,-76.4,-2.4,,,,,,False,False,False,True,,
01037,63,42.0,,,,90.0,4.4,4.2,114.6,,,-21.0,,,,27.0,-58.6,-58.8,51.6,,,,,,False,False,False,False,,
01039,544,322.0,,,,406.0,133.9,241.5,181.5,,,-222.0,,,,-138.0,-410.1,-302.5,-362.5,,,,,,True,False,False,False,,
01041,138,133.0,,,,141.0,29.9,114.6,201.9,,,-5.0,,,,3.0,-108.1,-23.4,63.9,,,,,,True,False,False,False,,
01043,540,721.0,,,,828.0,145.7,182.5,662.9,,,181.0,,,,288.0,-394.3,-357.5,122.9,,,,,,False,False,False,True,,
01045,532,581.0,,,,465.0,392.4,199.1,375.4,,,49.0,,,,-67.0,-139.6,-332.9,-156.6,,,,,,False,False,False,False,,
01047,306,273.0,,,,506.0,83.1,340.6,146.4,,,-33.0,,,,200.0,-222.9,34.6,-159.6,,,,,,False,False,False,False,,
01049,774,581.0,,,,825.0,280.2,180.0,452.7,,,-193.0,,,,51.0,-493.8,-594.0,-321.3,,,,,,True,False,False,False,,
01051,936,763.0,,,,606.0,343.0,119.8,723.0,,,-173.0,,,,-330.0,-593.0,-816.2,-213.0,,,,,,False,False,False,False,,
01053,362,455.0,,,,467.0,113.7,281.6,264.2,,,93.0,,,,105.0,-248.3,-80.4,-97.8,,,,,,False,False,True,False,,
01055,1177,1757.0,,,,1004.0,1214.6,1153.5,984.3,,,580.0,,,,-173.0,37.6,-23.5,-192.7,,,,,,True,True,True,True,,
01057,206,196.0,,,,183.0,152.8,167.1,223.9,,,-10.0,,,,-23.0,-53.2,-38.9,17.9,,,,,,False,False,False,False,,
01059,447,686.0,,,,463.0,226.4,443.0,482.8,,,239.0,,,,16.0,-220.6,-4.0,35.8,,,,,,True,True,True,True,,
01061,390,469.0,,,,334.0,178.4,180.8,331.0,,,79.0,,,,-56.0,-211.6,-209.2,-59.0,,,,,,True,False,False,True,,
01063,46,77.0,,,,92.0,15.7,13.9,45.7,,,31.0,,,,46.0,-30.3,-32.1,-0.3,,,,,,False,True,False,True,,
01065,159,119.0,,,,205.0,22.5,72.9,162.8,,,-40.0,,,,46.0,-136.5,-86.1,3.8,,,,,,False,False,False,True,,
