,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,226,723.0,759.6,,435.0,591.0,,,,,,424.0,,295.9,77.1,,716.8,241.3,,998.0,,143.7,474.6,,,,,811.3,857.7,497.0,533.6,,209.0,365.0,,,,,,198.0,,69.9,-148.9,,490.8,15.3,,772.0,,-82.3,248.6,,,,,585.3,631.7,False,,True,True,,,,,,True,,True,True,,True,True,,False,,True,True,,,,,False,False
01003,1147,885.0,885.8,,693.0,1497.0,,,,,,627.0,,60.4,466.6,,742.3,422.1,,1520.0,,189.1,822.0,618.0,,,,1081.1,1234.0,-262.0,-261.2,,-454.0,350.0,,,,,,-520.0,,-1086.6,-680.4,,-404.7,-724.9,,373.0,,-957.9,-325.0,-529.0,,,,-65.9,87.0,True,,False,False,,,,,,False,,False,False,,False,False,,False,,False,False,False,,,,True,True
01005,109,630.0,566.4,,270.0,47.0,,,,,,162.0,,380.0,34.3,,451.1,100.8,,,,1.1,,,,,,871.1,262.9,521.0,457.4,,161.0,-62.0,,,,,,53.0,,271.0,-74.7,,342.1,-8.2,,,,-107.9,,,,,,762.1,153.9,True,,True,True,,,,,,True,,True,True,,True,True,,,,True,,,,,,False,True
01007,111,156.0,150.5,,114.0,28.0,,,,,,201.0,,154.1,52.8,,66.2,98.2,,234.0,,44.9,,,,,,180.2,740.2,45.0,39.5,,3.0,-83.0,,,,,,90.0,,43.1,-58.2,,-44.8,-12.8,,123.0,,-66.1,,,,,,69.2,629.2,True,,True,False,,,,,,False,,True,False,,True,True,,False,,False,,,,,,False,False
01009,156,1284.0,1257.0,,670.0,284.0,,,,,,417.0,,779.5,194.7,,1418.8,231.4,,1677.0,,46.1,757.9,,,,,1662.9,1681.9,1128.0,1101.0,,514.0,128.0,,,,,,261.0,,623.5,38.7,,1262.8,75.4,,1521.0,,-109.9,601.9,,,,,1506.9,1525.9,True,,True,True,,,,,,True,,True,True,,False,True,,False,,True,True,,,,,False,False
01011,38,99.0,91.1,,27.0,0.0,,,,,,117.0,,1.6,14.7,,12.4,42.6,,,,0.0,,,,,,91.6,154.8,61.0,53.1,,-11.0,-38.0,,,,,,79.0,,-36.4,-23.3,,-25.6,4.6,,,,-38.0,,,,,,53.6,116.8,True,,True,True,,,,,,False,,True,True,,True,True,,,,True,,,,,,True,False
01013,57,129.0,135.1,,69.0,0.0,,,,,,132.0,,84.7,19.2,,45.7,47.9,,32.0,,19.1,,,,,,145.3,73.1,72.0,78.1,,12.0,-57.0,,,,,,75.0,,27.7,-37.8,,-11.3,-9.1,,-25.0,,-38.0,,,,,,88.3,16.1,False,,True,True,,,,,,False,,True,True,,True,True,,True,,True,,,,,,False,True
01015,540,1776.0,1650.3,,1414.0,4740.0,,,,,,757.0,,823.0,455.7,,1669.2,536.3,,2541.0,,127.3,1520.4,,,,,1528.5,1578.4,1236.0,1110.3,,874.0,4200.0,,,,,,217.0,,283.0,-84.3,,1129.2,-3.7,,2001.0,,-412.7,980.4,,,,,988.5,1038.4,True,,True,False,,,,,,True,,True,True,,True,True,,False,,True,True,,,,,True,True
01017,114,780.0,814.8,,344.0,0.0,,,,,,167.0,,484.5,54.0,,504.0,212.7,,,,19.9,,,,,,1089.6,188.7,666.0,700.8,,230.0,-114.0,,,,,,53.0,,370.5,-60.0,,390.0,98.7,,,,-94.2,,,,,,975.6,74.7,False,,True,True,,,,,,True,,True,True,,True,True,,,,True,,,,,,False,True
01019,108,489.0,462.2,,331.0,208.0,,,,,,134.0,,433.2,75.5,,593.1,157.9,,680.0,,183.7,,,,,,587.5,920.5,381.0,354.2,,223.0,100.0,,,,,,26.0,,325.2,-32.5,,485.1,49.9,,572.0,,75.7,,,,,,479.5,812.5,True,,True,True,,,,,,True,,True,True,,False,True,,False,,True,,,,,,False,False
01021,245,711.0,733.5,,494.0,1446.0,,,,,,449.0,,417.2,135.9,,679.8,257.1,,1000.0,,222.3,454.2,,,,,784.8,961.2,466.0,488.5,,249.0,1201.0,,,,,,204.0,,172.2,-109.1,,434.8,12.1,,755.0,,-22.7,209.2,,,,,539.8,716.2,False,,True,False,,,,,,True,,True,True,,True,True,,False,,True,True,,,,,False,False
01023,35,48.0,45.6,,39.0,0.0,,,,,,54.0,,70.3,16.5,,5.8,24.5,,,,35.6,,,,,,53.4,28.7,13.0,10.6,,4.0,-35.0,,,,,,19.0,,35.3,-18.5,,-29.2,-10.5,,,,0.6,,,,,,18.4,-6.3,True,,True,False,,,,,,False,,False,False,,False,True,,,,True,,,,,,False,True
01025,177,342.0,341.7,,126.0,4.0,,,,,,202.0,,81.7,38.0,,169.5,64.6,,92.0,,6.8,,,,,,341.3,131.0,165.0,164.7,,-51.0,-173.0,,,,,,25.0,,-95.3,-139.0,,-7.5,-112.4,,-85.0,,-170.2,,,,,,164.3,-46.0,True,,True,False,,,,,,True,,True,True,,True,True,,True,,False,,,,,,True,True
01027,113,345.0,315.6,,184.0,108.0,,,,,,88.0,,270.4,39.9,,234.1,129.4,,420.0,,60.4,,,,,,506.3,277.7,232.0,202.6,,71.0,-5.0,,,,,,-25.0,,157.4,-73.1,,121.1,16.4,,307.0,,-52.6,,,,,,393.3,164.7,True,,True,True,,,,,,True,,True,True,,True,True,,False,,True,,,,,,False,True
01029,103,153.0,143.6,,105.0,96.0,,,,,,108.0,,280.1,35.4,,80.7,96.7,,174.0,,65.3,,,,,,195.6,499.9,50.0,40.6,,2.0,-7.0,,,,,,5.0,,177.1,-67.6,,-22.3,-6.3,,71.0,,-37.7,,,,,,92.6,396.9,True,,True,True,,,,,,True,,False,False,,True,True,,False,,True,,,,,,False,False
01031,262,696.0,766.1,,403.0,695.0,,,,,,403.0,,363.3,126.2,,639.3,173.8,,980.0,,45.3,413.9,,,,,601.2,301.7,434.0,504.1,,141.0,433.0,,,,,,141.0,,101.3,-135.8,,377.3,-88.2,,718.0,,-216.7,151.9,,,,,339.2,39.7,False,,True,True,,,,,,True,,True,True,,True,True,,False,,True,True,,,,,True,True
01033,216,258.0,267.4,,252.0,522.0,,,,,,391.0,,43.1,98.0,,211.4,227.2,,390.0,,28.1,254.1,,,,,299.7,295.8,42.0,51.4,,36.0,306.0,,,,,,175.0,,-172.9,-118.0,,-4.6,11.2,,174.0,,-187.9,38.1,,,,,83.7,79.8,False,,True,False,,,,,,False,,False,False,,True,True,,False,,False,True,,,,,False,False
01035,26,240.0,258.2,,60.0,19.0,,,,,,60.0,,66.3,22.7,,125.8,41.9,21.1,,,4.1,,,,,,179.5,73.3,214.0,232.2,,34.0,-7.0,,,,,,34.0,,40.3,-3.3,,99.8,15.9,-4.9,,,-21.9,,,,,,153.5,47.3,False,,True,True,,,,,,True,,True,True,,True,True,True,,,True,,,,,,True,True
