,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,57772,59256.0,,33890.7,58730.0,22173.4,65970.7,13710.3,14224.0,1484.0,,-23881.3,958.0,-35598.6,8198.7,-44061.7,-43548.0,,False,True,False,False,False,False
Alaska,5444,4344.0,,5134.8,,2837.7,4632.0,7297.4,2538.0,-1100.0,,-309.2,,-2606.3,-812.0,1853.4,-2906.0,,True,,False,True,False,False
Arizona,32324,52376.0,,18388.9,38423.0,21427.7,57137.7,11859.1,14586.0,20052.0,,-13935.1,6099.0,-10896.3,24813.7,-20464.9,-17738.0,,True,True,True,False,False,True
Arkansas,40228,25448.0,,31314.8,43793.0,18077.3,15582.3,18944.0,10500.0,-14780.0,,-8913.2,3565.0,-22150.7,-24645.7,-21284.0,-29728.0,,True,True,False,False,False,False
California,233309,508848.0,,364208.9,413087.0,260028.1,427314.4,384796.2,220936.0,275539.0,,130899.9,179778.0,26719.1,194005.4,151487.2,-12373.0,,True,True,True,True,True,True
Colorado,24804,20104.0,,16632.1,14439.0,13074.9,21078.3,10178.3,11103.0,-4700.0,,-8171.9,-10365.0,-11729.1,-3725.7,-14625.7,-13701.0,,False,False,False,True,False,False
Connecticut,9153,4616.0,,5131.9,2255.0,1399.2,6701.4,2523.7,1428.0,-4537.0,,-4021.1,-6898.0,-7753.8,-2451.6,-6629.3,-7725.0,,True,False,False,True,False,False
Delaware,5618,7152.0,,3656.4,2910.0,3628.9,4803.4,10517.2,1550.0,1534.0,,-1961.6,-2708.0,-1989.1,-814.6,4899.2,-4068.0,,False,False,False,True,False,False
District of Columbia,2759,4048.0,,3541.3,3513.0,,5881.3,3038.0,2672.0,1289.0,,782.3,754.0,,3122.3,279.0,-87.0,,True,True,,False,True,True
Florida,159284,344480.0,,149801.9,198229.0,138768.9,237724.3,134111.7,94624.0,185196.0,,-9482.1,38945.0,-20515.1,78440.3,-25172.3,-64660.0,,True,True,True,True,True,True
Georgia,95101,173928.0,,115054.3,132098.0,81069.4,117504.8,67429.6,95417.0,78827.0,,19953.3,36997.0,-14031.6,22403.8,-27671.4,316.0,,True,True,True,True,True,True
Hawaii,8740,11832.0,,26461.2,,5938.8,28979.1,26226.5,12720.0,3092.0,,17721.2,,-2801.2,20239.1,17486.5,3980.0,,False,,True,False,False,False
Idaho,20226,23824.0,,13748.7,17455.0,10518.2,10362.7,9239.4,9126.0,3598.0,,-6477.3,-2771.0,-9707.8,-9863.3,-10986.6,-11100.0,,False,True,False,False,False,False
Illinois,113600,94824.0,,89793.1,67199.0,83080.2,164242.8,86264.7,63377.0,-18776.0,,-23806.9,-46401.0,-30519.8,50642.8,-27335.3,-50223.0,,False,False,False,False,False,False
Indiana,53735,51112.0,,59268.9,35894.0,39153.9,66226.9,38845.7,52699.0,-2623.0,,5533.9,-17841.0,-14581.1,12491.9,-14889.3,-1036.0,,False,False,False,False,False,True
Iowa,46977,28240.0,,21328.7,19176.0,17124.8,19056.0,35730.7,14031.0,-18737.0,,-25648.3,-27801.0,-29852.2,-27921.0,-11246.3,-32946.0,,False,False,False,False,True,False
Kansas,33414,27376.0,,,23230.0,8281.1,13758.9,22877.1,19140.0,-6038.0,,,-10184.0,-25132.9,-19655.1,-10536.9,-14274.0,,,False,False,False,False,False
Kentucky,40515,34816.0,,,28615.0,10872.1,33117.4,21235.7,25809.0,-5699.0,,,-11900.0,-29642.8,-7397.6,-19279.3,-14706.0,,,False,False,False,False,False
Louisiana,36669,63928.0,,,72793.0,28942.3,41612.0,15088.8,14435.0,27259.0,,,36124.0,-7726.7,4943.0,-21580.2,-22234.0,,,False,True,True,True,True
Maine,1552,928.0,,,171.0,915.9,978.0,2229.6,720.0,-624.0,,,-1381.0,-636.1,-574.0,677.6,-832.0,,,False,False,True,False,False
Maryland,31102,40896.0,,,24399.0,31157.9,49017.0,19017.4,23281.0,9794.0,,,-6703.0,55.9,17915.0,-12084.6,-7821.0,,,True,True,False,False,True
Massachusetts,22562,19904.0,,,14558.0,895.2,28575.5,2890.3,14993.0,-2658.0,,,-8004.0,-21666.8,6013.5,-19671.7,-7569.0,,,False,False,False,False,False
Michigan,47671,44728.0,,,41256.0,25177.8,55728.5,37590.6,41617.0,-2943.0,,,-6415.0,-22493.2,8057.5,-10080.4,-6054.0,,,False,False,False,False,False
Minnesota,46415,34496.0,,,39605.0,23210.2,20037.1,29181.1,21992.0,-11919.0,,,-6810.0,-23204.8,-26377.9,-17233.9,-24423.0,,,True,False,False,False,False
Mississippi,32883,40872.0,,,43271.0,15237.6,28240.8,12656.1,15463.0,7989.0,,,10388.0,-17645.4,-4642.2,-20226.9,-17420.0,,,False,False,True,False,False
Missouri,82125,71864.0,,,44453.0,35209.2,184316.8,75873.2,42537.0,-10261.0,,,-37672.0,-46915.8,102191.8,-6251.8,-39588.0,,,False,False,False,True,False
Montana,12458,6160.0,,,9556.0,3431.5,2155.9,5797.7,5559.0,-6298.0,,,-2902.0,-9026.5,-10302.1,-6660.3,-6899.0,,,True,False,False,False,False
Nebraska,21646,15968.0,,,11870.0,7998.5,16212.9,9920.9,10250.0,-5678.0,,,-9776.0,-13647.5,-5433.1,-11725.1,-11396.0,,,False,False,True,False,False
Nevada,24791,41512.0,,,28523.0,20137.8,25934.7,20536.9,16378.0,16721.0,,,3732.0,-4653.2,1143.7,-4254.1,-8413.0,,,True,True,True,True,True
New Hampshire,2112,1296.0,,,1166.0,886.9,1384.2,923.4,914.0,-816.0,,,-946.0,-1225.1,-727.8,-1188.6,-1198.0,,,False,False,True,False,False
New Jersey,28942,24104.0,,,10947.0,16222.7,34537.4,22221.1,21716.0,-4838.0,,,-17995.0,-12719.3,5595.4,-6720.9,-7226.0,,,False,False,False,False,False
New Mexico,9420,9496.0,,,10856.0,4600.8,7277.8,4637.1,4052.0,76.0,,,1436.0,-4819.2,-2142.2,-4782.9,-5368.0,,,False,False,False,False,False
New York,49095,36448.0,,,12863.0,25531.7,29057.8,46230.3,36918.0,-12647.0,,,-36232.0,-23563.3,-20037.2,-2864.7,-12177.0,,,False,False,False,True,True
North Carolina,81732,70048.0,,,75396.0,43388.5,50972.9,36554.8,37506.0,-11684.0,,,-6336.0,-38343.5,-30759.1,-45177.2,-44226.0,,,True,False,False,False,False
North Dakota,18183,7488.0,,,6748.0,7102.6,9333.2,7238.8,5070.0,-10695.0,,,-11435.0,-11080.4,-8849.8,-10944.2,-13113.0,,,False,False,True,False,False
Ohio,59784,61640.0,,,54487.0,26521.1,51687.7,31969.2,42220.0,1856.0,,,-5297.0,-33262.9,-8096.3,-27814.8,-17564.0,,,False,False,False,False,False
Oklahoma,50823,37744.0,,,46693.0,13804.3,27993.4,26475.5,22553.0,-13079.0,,,-4130.0,-37018.7,-22829.6,-24347.5,-28270.0,,,True,False,False,False,False
Oregon,13906,16064.0,,,11019.0,12124.8,11108.5,13545.6,13163.0,2158.0,,,-2887.0,-1781.2,-2797.5,-360.4,-743.0,,,False,True,False,True,True
Pennsylvania,47266,46928.0,,,25052.0,28245.1,53601.4,41595.9,34975.0,-338.0,,,-22214.0,-19020.9,6335.4,-5670.1,-12291.0,,,False,False,False,False,False
Rhode Island,6089,4776.0,,,2622.0,1360.2,5148.4,4382.5,1754.0,-1313.0,,,-3467.0,-4728.8,-940.6,-1706.5,-4335.0,,,False,False,True,False,False
South Carolina,50739,51376.0,,,42957.0,23950.9,35495.0,17583.2,15250.0,637.0,,,-7782.0,-26788.1,-15244.0,-33155.8,-35489.0,,,False,False,False,False,False
South Dakota,17829,5128.0,,,3839.0,4875.5,11344.9,9094.9,4391.0,-12701.0,,,-13990.0,-12953.5,-6484.1,-8734.1,-13438.0,,,False,False,True,True,False
Tennessee,80902,89296.0,,,74245.0,48297.1,49797.6,48718.5,37492.0,8394.0,,,-6657.0,-32604.9,-31104.4,-32183.5,-43410.0,,,True,False,False,False,False
Texas,271305,391360.0,,,450420.0,145975.7,211660.5,186447.6,169449.0,120055.0,,,179115.0,-125329.3,-59644.5,-84857.4,-101856.0,,,False,False,True,True,True
