,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,20362,19554.0,17949.5,17895.0,93076.0,,17927.4,9753.0,24456.3,,31506.0,19567.3,24689.7,10593.9,12984.0,14958.4,17564.5,81300.0,,7792.8,15936.2,19894.7,73235.9,15431.0,-808.0,-2412.5,-2467.0,72714.0,,-2434.6,-10609.0,4094.3,,11144.0,-794.7,4327.7,-9768.1,-7378.0,-5403.6,-2797.5,60938.0,,-12569.2,-4425.8,-467.3,52873.9,-4931.0,False,False,False,,False,False,False,,False,True,False,False,False,False,False,False,,False,False,True,False,False
Alaska,2764,1566.0,1565.2,1572.0,400.0,,1790.8,1300.0,2666.1,,,1787.8,1677.7,1841.9,1202.1,1493.4,1653.1,1801.0,,864.9,1099.1,1516.2,2032.3,1679.0,-1198.0,-1198.8,-1192.0,-2364.0,,-973.2,-1464.0,-97.9,,,-976.2,-1086.3,-922.1,-1561.9,-1270.6,-1110.9,-963.0,,-1899.1,-1664.9,-1247.8,-731.7,-1085.0,False,True,False,,True,False,True,,,True,True,True,False,False,True,True,,False,False,False,True,True
Arizona,11427,14442.0,14116.4,12894.0,18866.0,,10209.9,3608.0,20243.4,,10441.0,12554.0,13243.1,6348.7,14259.7,12959.8,16909.1,18223.0,,4187.5,13973.9,25101.7,18908.4,18318.0,3015.0,2689.4,1467.0,7439.0,,-1217.1,-7819.0,8816.4,,-986.0,1127.0,1816.1,-5078.3,2832.7,1532.8,5482.1,6796.0,,-7239.5,2546.9,13674.7,7481.4,6891.0,True,True,False,,True,False,False,,True,True,True,False,True,True,False,False,,False,True,False,False,False
Arkansas,17060,16350.0,16265.8,16058.0,20158.0,,14461.3,10278.0,22237.0,,17564.0,18079.8,26007.4,7357.2,19509.3,12275.5,14504.6,26903.0,,9548.2,13244.3,13577.6,16972.5,13242.0,-710.0,-794.2,-1002.0,3098.0,,-2598.7,-6782.0,5177.0,,504.0,1019.8,8947.4,-9702.8,2449.3,-4784.5,-2555.4,9843.0,,-7511.8,-3815.7,-3482.4,-87.5,-3818.0,False,False,False,,False,False,False,,True,False,False,False,False,False,False,False,,False,False,False,True,False
California,69097,73140.0,69235.6,63103.0,94066.0,,56820.9,59693.0,100533.1,,77651.0,59911.4,68473.9,61553.9,57862.2,50755.1,65911.6,61589.0,,30548.9,65695.1,87078.6,59194.4,64978.0,4043.0,138.6,-5994.0,24969.0,,-12276.1,-9404.0,31436.1,,8554.0,-9185.6,-623.1,-7543.1,-11234.8,-18341.9,-3185.4,-7508.0,,-38548.1,-3401.9,17981.6,-9902.6,-4119.0,True,False,False,,False,False,False,,False,False,True,False,False,False,True,False,,False,True,False,False,False
Colorado,13282,10380.0,10499.3,8758.0,19110.0,,7769.9,621.0,15232.5,,8494.0,9407.3,9140.1,7408.6,6987.0,8951.0,12471.2,15192.0,,7565.1,7390.8,7970.7,21212.4,14051.0,-2902.0,-2782.7,-4524.0,5828.0,,-5512.1,-12661.0,1950.5,,-4788.0,-3874.7,-4141.9,-5873.4,-6295.0,-4331.0,-810.8,1910.0,,-5716.9,-5891.2,-5311.3,7930.4,769.0,True,False,False,,False,False,True,,False,False,False,False,False,False,True,True,,False,False,False,False,True
Connecticut,4511,3603.0,3623.6,2966.0,6430.0,,3436.5,14.0,2690.5,,3118.0,3263.7,2815.0,3613.0,3351.4,1349.7,3083.0,4321.0,,359.8,3454.6,4529.5,2805.8,2503.0,-908.0,-887.4,-1545.0,1919.0,,-1074.5,-4497.0,-1820.5,,-1393.0,-1247.3,-1696.0,-898.0,-1159.6,-3161.3,-1428.0,-190.0,,-4151.2,-1056.4,18.5,-1705.2,-2008.0,True,False,False,,False,False,False,,False,False,False,True,False,False,False,True,,False,False,True,False,False
Delaware,2549,2169.0,2209.0,1887.0,2178.0,,2614.6,8.0,2432.0,,1702.0,2410.5,1900.1,1196.9,1729.7,1327.1,2135.6,2931.0,,1020.7,1771.4,2329.8,2072.5,1935.0,-380.0,-340.0,-662.0,-371.0,,65.6,-2541.0,-117.0,,-847.0,-138.5,-648.9,-1352.1,-819.3,-1221.9,-413.4,382.0,,-1528.3,-777.6,-219.2,-476.5,-614.0,True,False,True,,True,False,True,,False,True,False,False,False,False,False,False,,False,False,True,False,False
District of Columbia,1016,1227.0,1311.0,892.0,579.0,,855.5,72.0,1010.4,,904.0,990.5,1179.0,894.0,736.0,784.3,1131.4,1288.0,,692.1,1124.3,,1197.3,1435.0,211.0,295.0,-124.0,-437.0,,-160.5,-944.0,-5.6,,-112.0,-25.5,163.0,-122.0,-280.0,-231.7,115.4,272.0,,-323.9,108.3,,181.3,419.0,False,True,False,,True,False,True,,True,True,True,True,False,False,True,False,,False,True,,True,False
Florida,47688,58986.0,59286.6,53336.0,70948.0,,49721.0,20989.0,99898.9,,56874.0,61836.7,57018.6,35842.0,30234.4,43377.4,58824.0,65977.0,,22383.9,53442.9,68342.4,49805.9,49270.0,11298.0,11598.6,5648.0,23260.0,,2033.0,-26699.0,52210.9,,9186.0,14148.7,9330.6,-11846.0,-17453.6,-4310.6,11136.0,18289.0,,-25304.1,5754.9,20654.4,2117.9,1582.0,False,True,False,,True,False,False,,True,False,True,False,False,True,True,False,,False,True,False,True,True
