,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,13733,14854.0,14198.4,12932.0,14679.0,,11466.6,5830.0,17522.5,,15191.0,19511.0,11987.2,14728.7,7880.7,8730.7,11648.7,13215.7,40131.0,,,3487.4,12821.6,15432.7,4805.2,14312.0,1121.0,465.4,-801.0,946.0,,-2266.4,-7903.0,3789.5,,1458.0,5778.0,-1745.8,995.7,-5852.3,-5002.3,-2084.3,-517.3,26398.0,,,-10245.6,-911.4,1699.7,-8927.8,579.0,True,True,True,,False,False,False,,False,False,False,True,False,False,False,True,False,,,False,True,False,False,True
Alaska,2059,1276.0,1266.8,1253.0,470.0,,1378.3,971.0,1788.1,,,,1455.6,1238.9,1241.5,878.1,1380.6,1342.4,1535.0,,1078.9,819.1,1045.3,1115.7,1932.2,1354.0,-783.0,-792.2,-806.0,-1589.0,,-680.7,-1088.0,-270.9,,,,-603.4,-820.1,-817.5,-1180.9,-678.4,-716.6,-524.0,,-980.1,-1239.9,-1013.7,-943.3,-126.8,-705.0,False,False,False,,True,False,True,,,,True,False,False,False,True,True,True,,False,False,False,False,True,True
Arizona,8152,6550.0,6354.3,6057.0,6615.0,,7844.0,1980.0,9137.1,,6524.0,8496.0,7055.6,5873.0,5945.2,7205.0,4821.5,6259.6,9418.0,,2945.1,0.0,5981.5,14593.7,6043.3,4086.0,-1602.0,-1797.7,-2095.0,-1537.0,,-308.0,-6172.0,985.1,,-1628.0,344.0,-1096.4,-2279.0,-2206.8,-947.0,-3330.5,-1892.4,1266.0,,-5206.9,-8152.0,-2170.5,6441.7,-2108.7,-4066.0,False,False,True,,True,False,True,,False,True,True,False,False,True,False,False,True,,False,False,False,False,False,False
Arkansas,11465,11190.0,11112.3,10675.0,10675.0,,11352.3,7615.0,14359.7,,12092.0,11687.0,13921.4,11686.7,5383.2,13753.7,8493.4,9819.4,14282.0,,6205.1,6690.2,9379.2,10127.4,9350.2,10905.0,-275.0,-352.7,-790.0,-790.0,,-112.7,-3850.0,2894.7,,627.0,222.0,2456.4,221.7,-6081.8,2288.7,-2971.6,-1645.6,2817.0,,-5259.9,-4774.8,-2085.8,-1337.6,-2114.8,-560.0,False,False,False,,True,False,False,,False,True,False,True,False,False,False,False,False,,False,False,False,False,False,False
California,44959,48276.0,48551.4,43763.0,47995.0,,40313.2,35201.0,60633.6,,49038.0,51794.0,45962.6,43068.9,49638.5,36204.4,33943.4,46467.2,50074.0,,29492.3,123953.2,42724.0,57371.6,43547.4,47408.0,3317.0,3592.4,-1196.0,3036.0,,-4645.8,-9758.0,15674.6,,4079.0,6835.0,1003.6,-1890.1,4679.5,-8754.6,-11015.6,1508.2,5115.0,,-15466.7,78994.2,-2235.0,12412.6,-1411.6,2449.0,False,True,True,,False,False,False,,False,False,True,True,False,False,False,True,False,,False,False,True,False,True,True
Colorado,9132,8306.0,8136.8,8117.0,13270.0,,7784.7,536.0,9099.1,,7754.0,10059.0,10751.3,8117.0,7716.0,7411.3,6988.1,9057.7,11870.0,,5887.1,6663.9,6961.6,6570.4,9635.5,10906.0,-826.0,-995.2,-1015.0,4138.0,,-1347.3,-8596.0,-32.9,,-1378.0,927.0,1619.3,-1015.0,-1416.0,-1720.7,-2143.9,-74.3,2738.0,,-3244.9,-2468.1,-2170.4,-2561.6,503.5,1774.0,False,False,False,,False,False,True,,False,False,False,False,False,False,False,True,False,,False,False,False,False,True,False
Connecticut,3451,2120.0,2116.4,2070.0,3033.0,,2118.3,6.0,2897.7,,1323.0,2283.0,1795.7,2158.8,4382.9,2356.9,832.3,1627.5,2050.0,,265.5,0.0,1898.1,2026.4,1482.4,1426.0,-1331.0,-1334.6,-1381.0,-418.0,,-1332.7,-3445.0,-553.3,,-2128.0,-1168.0,-1655.3,-1292.2,931.9,-1094.1,-2618.7,-1823.5,-1401.0,,-3185.5,-3451.0,-1552.9,-1424.6,-1968.6,-2025.0,False,False,True,,False,False,True,,False,True,False,True,True,True,False,False,False,,False,False,False,False,False,False
Delaware,1842,1414.0,1399.4,1205.0,1051.0,,1486.0,4.0,1567.2,,1221.0,1133.0,1515.4,1209.9,1307.4,1250.3,1114.0,1353.3,1388.0,,951.9,449.3,1174.4,1461.5,1302.4,1160.0,-428.0,-442.6,-637.0,-791.0,,-356.0,-1838.0,-274.8,,-621.0,-709.0,-326.6,-632.1,-534.6,-591.7,-728.0,-488.7,-454.0,,-890.1,-1392.7,-667.6,-380.5,-539.6,-682.0,False,False,False,,True,False,True,,False,False,True,False,False,False,False,False,False,,False,False,False,True,False,False
District of Columbia,703,626.0,632.2,531.0,457.0,,542.1,42.0,676.1,,615.0,448.0,713.7,500.9,761.6,494.1,495.7,600.1,682.0,,136.4,586.1,569.9,,570.8,639.0,-77.0,-70.8,-172.0,-246.0,,-160.9,-661.0,-26.9,,-88.0,-255.0,10.7,-202.1,58.6,-208.9,-207.3,-102.9,-21.0,,-566.6,-116.9,-133.1,,-132.2,-64.0,True,False,False,,False,False,True,,False,False,True,False,True,False,False,False,True,,False,False,False,,False,True
Florida,30239,34898.0,33454.3,30986.0,38847.0,,31216.5,13325.0,46113.9,,34891.0,34368.0,36596.6,30512.6,29874.0,18683.2,26044.4,33237.3,38543.0,,14860.2,0.0,30574.3,45614.4,28901.2,33436.0,4659.0,3215.3,747.0,8608.0,,977.5,-16914.0,15874.9,,4652.0,4129.0,6357.6,273.6,-365.0,-11555.8,-4194.6,2998.3,8304.0,,-15378.8,-30239.0,335.3,15375.4,-1337.8,3197.0,True,True,False,,True,False,False,,True,True,False,True,True,False,True,True,False,,False,False,True,False,True,True
