,predicted_cases,actual_cases,error,perc_error
COVIDhub-baseline,1764144.0,1768920,-4776.0,-0.3%
IowaStateLW-STEM,1868174.0,1768920,99254.0,5.6%
UCLA-SuEIR,1661761.2,1768920,-107158.8,-6.1%
USACE-ERDC_SEIR,1377663.2,1768920,-391256.8,-22.1%
Columbia_UNC-SurvCon,1321779.0,1768920,-447141.0,-25.3%
CU-select,2283844.0,1768920,514924.0,29.1%
USC-SI_kJalpha,1173814.0,1768920,-595106.0,-33.6%
CovidAnalytics-DELPHI,1087721.0,1768920,-681199.0,-38.5%
Covid19Sim-Simulator,1002772.4,1768920,-766147.6,-43.3%
RobertWalraven-ESG,952393.8,1768920,-816526.2,-46.2%
LANL-GrowthRate,894490.7,1768920,-874429.3,-49.4%
