,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,143,182.0,214.9,,173.0,462.0,,,,,179.0,,,263.0,,181.0,54.3,,71.5,122.1,,388.0,8.0,,111.3,,169.3,,,,,287.5,287.1,39.0,71.9,,30.0,319.0,,,,,36.0,,,120.0,,38.0,-88.7,,-71.5,-20.9,,245.0,-135.0,,-31.7,,26.3,,,,,144.5,144.1,False,,True,False,,,,,True,,,False,,True,False,,False,True,,False,False,,True,,True,,,,,False,False
01003,711,860.0,859.2,,736.0,324.0,,,,,441.3,,,460.0,,1001.2,519.8,,768.9,466.1,,1304.0,3878.0,,295.6,,762.8,987.0,,,,717.0,,149.0,148.2,,25.0,-387.0,,,,,-269.7,,,-251.0,,290.2,-191.2,,57.9,-244.9,,593.0,3167.0,,-415.4,,51.8,276.0,,,,6.0,,True,,True,False,,,,,False,,,False,,False,False,,True,False,,False,False,,False,,True,False,,,,True,
01005,58,104.0,54.4,,59.0,0.0,,,,,83.8,,,139.0,,105.3,25.6,,32.4,56.0,,212.0,17.0,,46.2,,68.6,,,,,97.2,61.0,46.0,-3.6,,1.0,-58.0,,,,,25.8,,,81.0,,47.3,-32.4,,-25.6,-2.0,,154.0,-41.0,,-11.8,,10.6,,,,,39.2,3.0,True,,True,False,,,,,True,,,False,,False,True,,True,True,,False,True,,True,,True,,,,,True,True
01007,84,52.0,57.4,,42.0,15.0,,,,,64.7,,,137.0,,56.6,31.4,,19.1,42.2,,90.0,109.0,,34.3,,42.1,,,,,55.2,201.6,-32.0,-26.6,,-42.0,-69.0,,,,,-19.3,,,53.0,,-27.4,-52.6,,-64.9,-41.8,,6.0,25.0,,-49.7,,-41.9,,,,,-28.8,117.6,True,,False,False,,,,,True,,,False,,True,False,,False,False,,True,True,,False,,False,,,,,True,False
01009,97,138.0,63.2,,111.0,394.0,,,,,279.4,,,324.0,,158.8,90.4,,50.3,90.5,,,73.0,,54.3,,109.0,,,,,329.7,513.1,41.0,-33.8,,14.0,297.0,,,,,182.4,,,227.0,,61.8,-6.6,,-46.7,-6.5,,,-24.0,,-42.7,,12.0,,,,,232.7,416.1,True,,True,False,,,,,False,,,False,,False,True,,False,True,,,True,,False,,True,,,,,False,False
01011,19,38.0,39.6,,28.0,,,,,,32.8,,,86.0,,27.4,10.8,,10.1,27.4,,37.0,31.0,,9.8,,33.6,,,,,34.0,42.1,19.0,20.6,,9.0,,,,,,13.8,,,67.0,,8.4,-8.2,,-8.9,8.4,,18.0,12.0,,-9.2,,14.6,,,,,15.0,23.1,False,,True,,,,,,True,,,False,,True,True,,True,True,,True,True,,True,,True,,,,,True,False
01013,47,8.0,0.8,,13.0,37.0,,,,,37.5,,,90.0,,16.3,10.8,,2.1,14.7,,,12.0,,15.4,,12.1,,,,,25.6,34.6,-39.0,-46.2,,-34.0,-10.0,,,,,-9.5,,,43.0,,-30.7,-36.2,,-44.9,-32.3,,,-35.0,,-31.6,,-34.9,,,,,-21.4,-12.4,False,,True,True,,,,,True,,,False,,True,True,,False,True,,,True,,True,,True,,,,,True,True
01015,344,390.0,393.4,,345.0,577.0,,,,,634.8,,,524.0,,417.4,319.5,,237.4,277.4,,733.0,48.0,,299.7,,308.4,,,,,490.1,591.8,46.0,49.4,,1.0,233.0,,,,,290.8,,,180.0,,73.4,-24.5,,-106.6,-66.6,,389.0,-296.0,,-44.3,,-35.6,,,,,146.1,247.8,False,,True,False,,,,,False,,,False,,False,True,,False,False,,False,False,,True,,True,,,,,False,False
01017,78,82.0,142.8,,68.0,281.0,,,,,78.6,,,111.0,,83.6,41.5,,21.9,44.3,,,45.0,,38.2,,54.2,,,,,121.3,31.4,4.0,64.8,,-10.0,203.0,,,,,0.6,,,33.0,,5.6,-36.5,,-56.1,-33.7,,,-33.0,,-39.8,,-23.8,,,,,43.3,-46.6,False,,False,False,,,,,True,,,False,,False,False,,False,False,,,False,,False,,False,,,,,False,False
01019,61,106.0,78.5,,80.0,212.0,,,,,79.4,,,111.0,,119.5,48.2,,41.7,65.1,,251.0,3.0,,29.9,,80.2,,,,,188.6,252.5,45.0,17.5,,19.0,151.0,,,,,18.4,,,50.0,,58.5,-12.8,,-19.3,4.1,,190.0,-58.0,,-31.1,,19.2,,,,,127.6,191.5,True,,True,False,,,,,True,,,False,,False,True,,True,True,,False,False,,True,,True,,,,,False,False
