,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,40543,56142.0,65854.0,,44983.6,26673.0,38323.0,39113.0,18218.7,47815.7,43431.0,33154.0,15599.0,25311.0,,4440.6,-13870.0,-2220.0,-1430.0,-22324.3,7272.7,2888.0,-7389.0,False,,True,True,True,True,False,True,True,True
Alaska,4361,3030.0,3908.0,,2918.5,2478.0,,2067.8,1850.2,2190.0,2736.6,2779.0,-1331.0,-453.0,,-1442.5,-1883.0,,-2293.2,-2510.8,-2171.0,-1624.4,-1582.0,True,,False,False,,False,False,False,False,False
Arizona,23691,20352.0,13984.0,,24404.4,13078.0,20938.0,10247.5,4556.9,46782.3,8339.1,8335.0,-3339.0,-9707.0,,713.4,-10613.0,-2753.0,-13443.5,-19134.1,23091.3,-15351.9,-15356.0,False,,True,False,True,False,False,False,False,False
Arkansas,31842,25074.0,33638.0,,19919.0,28179.0,25313.0,16579.5,10042.7,20944.4,21994.6,16119.0,-6768.0,1796.0,,-11923.0,-3663.0,-6529.0,-15262.5,-21799.3,-10897.6,-9847.4,-15723.0,True,,False,True,True,False,False,False,False,False
California,151573,225618.0,216036.0,,188290.6,222292.0,228790.0,107856.2,105908.7,218385.5,83870.3,109344.0,74045.0,64463.0,,36717.6,70719.0,77217.0,-43716.8,-45664.3,66812.5,-67702.7,-42229.0,True,,True,True,False,True,True,True,True,True
Colorado,20602,12936.0,17160.0,,9405.0,1496.0,12161.0,6559.1,8301.7,8077.0,10929.3,8971.0,-7666.0,-3442.0,,-11197.0,-19106.0,-8441.0,-14042.9,-12300.3,-12525.0,-9672.7,-11631.0,True,,False,False,False,False,False,False,False,False
Connecticut,7543,5856.0,36601.0,,2358.3,118.0,2218.0,1922.7,709.2,6319.5,6216.0,6094.0,-1687.0,29058.0,,-5184.7,-7425.0,-5325.0,-5620.3,-6833.8,-1223.5,-1327.0,-1449.0,False,,False,False,False,False,False,True,True,True
Delaware,4655,3126.0,3411.0,,1876.8,58.0,2233.0,1727.3,1528.9,2854.6,1925.6,1998.0,-1529.0,-1244.0,,-2778.2,-4597.0,-2422.0,-2927.7,-3126.1,-1800.4,-2729.4,-2657.0,True,,False,False,False,False,False,False,False,False
District of Columbia,1993,2346.0,3653.0,,1662.6,218.0,2453.0,1250.6,835.1,2621.9,1562.0,1642.0,353.0,1660.0,,-330.4,-1775.0,460.0,-742.4,-1157.9,628.9,-431.0,-351.0,False,,True,False,False,False,False,False,False,True
Florida,109918,128436.0,109794.0,,98769.7,67579.0,180970.0,60006.0,42849.1,185414.6,45427.3,60233.0,18518.0,-124.0,,-11148.3,-42339.0,71052.0,-49912.0,-67068.9,75496.6,-64490.7,-49685.0,True,,True,False,False,False,False,False,False,False
