,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,33784,39570.0,26380.0,,43881.2,20088.0,,33168.0,40944.0,21878.8,21528.4,15869.7,,8712.6,23744.7,14982.5,23009.0,5786.0,-7404.0,,10097.2,-13696.0,,-616.0,7160.0,-11905.2,-12255.6,-17914.3,,-25071.4,-10039.3,-18801.5,-10775.0,False,,False,False,,True,False,False,False,False,,False,False,False,False
Alaska,3865,2475.0,1797.0,,2920.8,1992.0,,,2277.4,3695.9,1687.5,2348.0,,2103.1,1647.2,4386.0,2244.0,-1390.0,-2068.0,,-944.2,-1873.0,,,-1587.6,-169.1,-2177.5,-1517.0,,-1761.9,-2217.8,521.0,-1621.0,False,,True,False,,,False,True,False,False,,False,False,True,False
Arizona,19461,21150.0,31399.0,,16650.8,8935.0,,18037.0,13788.3,10821.8,4277.2,13255.6,,3335.5,21462.5,14679.2,20425.0,1689.0,11938.0,,-2810.2,-10526.0,,-1424.0,-5672.7,-8639.2,-15183.8,-6205.4,,-16125.5,2001.5,-4781.8,964.0,False,,False,False,,True,False,False,False,False,,False,False,False,True
Arkansas,27530,21560.0,34798.0,,19008.6,22970.0,,22596.0,19366.4,12840.8,12602.6,17383.1,,14757.2,17932.8,23418.1,16474.0,-5970.0,7268.0,,-8521.4,-4560.0,,-4934.0,-8163.6,-14689.2,-14927.4,-10146.9,,-12772.8,-9597.2,-4111.9,-11056.0,False,,False,True,,True,False,False,False,False,,False,False,True,False
California,118290,166380.0,209434.0,,110594.3,136420.0,,268050.0,123872.2,142907.4,134967.6,86726.1,,63941.0,118472.7,97623.7,96838.0,48090.0,91144.0,,-7695.7,18130.0,,149760.0,5582.2,24617.4,16677.6,-31563.9,,-54349.0,182.7,-20666.3,-21452.0,False,,True,True,,False,True,True,True,True,,False,True,True,True
Colorado,18656,9730.0,9758.0,,8647.4,1053.0,,8868.0,8639.1,12641.4,5563.9,6742.8,,5736.2,6010.0,10903.0,8652.0,-8926.0,-8898.0,,-10008.6,-17603.0,,-9788.0,-10016.9,-6014.6,-13092.1,-11913.2,,-12919.8,-12646.0,-7753.0,-10004.0,True,,False,False,,False,False,True,False,False,,False,False,True,False
Connecticut,6673,4350.0,5724.0,,2706.4,60.0,,4109.0,4775.9,6192.3,5315.3,1402.9,,518.8,6197.7,3526.6,3120.0,-2323.0,-949.0,,-3966.6,-6613.0,,-2564.0,-1897.1,-480.7,-1357.7,-5270.1,,-6154.2,-475.3,-3146.4,-3553.0,True,,False,False,,False,True,True,True,False,,False,True,False,False
Delaware,4106,2715.0,4147.0,,2902.0,31.0,,2327.0,2456.1,1926.8,2093.2,2255.8,,5062.4,2095.6,4252.3,6610.0,-1391.0,41.0,,-1204.0,-4075.0,,-1779.0,-1649.9,-2179.2,-2012.8,-1850.2,,956.4,-2010.4,146.3,2504.0,True,,True,False,,False,False,False,False,False,,True,False,True,False
District of Columbia,1680,1565.0,1331.0,,1282.1,137.0,,1531.0,1496.0,2007.3,1327.3,962.2,,653.0,1488.6,1543.0,1344.0,-115.0,-349.0,,-397.9,-1543.0,,-149.0,-184.0,327.3,-352.7,-717.8,,-1027.0,-191.4,-137.0,-336.0,False,,False,False,,False,False,False,False,False,,False,False,False,False
Florida,85054,124320.0,219520.0,,88861.1,45108.0,,110772.0,87517.6,73122.9,63740.9,59286.5,,38050.7,109153.8,84388.6,86152.0,39266.0,134466.0,,3807.1,-39946.0,,25718.0,2463.6,-11931.1,-21313.1,-25767.5,,-47003.3,24099.8,-665.4,1098.0,False,,True,False,,True,True,True,True,True,,False,True,True,True
Georgia,48721,68950.0,73100.0,,54915.6,58671.0,,62422.0,50244.6,41068.6,57425.2,41577.7,,30736.4,49215.3,41560.7,41467.0,20229.0,24379.0,,6194.6,9950.0,,13701.0,1523.6,-7652.4,8704.2,-7143.3,,-17984.6,494.3,-7160.3,-7254.0,False,,True,True,,True,True,True,True,True,,True,True,True,True
Hawaii,3872,7770.0,6280.0,,7050.7,5607.0,,,7720.5,8862.6,9739.1,5107.3,,3175.6,15675.1,4976.9,6177.0,3898.0,2408.0,,3178.7,1735.0,,,3848.5,4990.6,5867.1,1235.3,,-696.4,11803.1,1104.9,2305.0,True,,True,True,,,True,False,False,True,,True,False,True,True
Idaho,14227,9030.0,3821.0,,7869.5,8250.0,,8951.0,6653.1,10399.7,8109.5,5526.3,,544.4,6413.5,1628.6,6071.0,-5197.0,-10406.0,,-6357.5,-5977.0,,-5276.0,-7573.9,-3827.3,-6117.5,-8700.7,,-13682.6,-7813.5,-12598.4,-8156.0,False,,False,False,,False,False,True,False,False,,False,False,False,False
Illinois,69349,85180.0,164849.0,,67161.4,13940.0,,56067.0,67661.5,64287.5,119901.4,44997.9,,48973.6,96920.9,112302.6,71796.0,15831.0,95500.0,,-2187.6,-55409.0,,-13282.0,-1687.5,-5061.5,50552.4,-24351.1,,-20375.4,27571.9,42953.6,2447.0,False,,True,False,,True,True,True,False,False,,False,False,False,True
Indiana,34450,32635.0,38697.0,,32596.7,23960.0,,27071.0,31725.9,34820.4,38089.9,22079.4,,20994.7,25809.4,29104.5,29257.0,-1815.0,4247.0,,-1853.3,-10490.0,,-7379.0,-2724.1,370.4,3639.9,-12370.6,,-13455.3,-8640.6,-5345.5,-5193.0,False,,False,False,,False,False,True,False,False,,False,False,False,False
