,count,mean,median,std,min,25%,75%,max
JHU_IDD-CovidSP,3139,300.7,83.5,907.5,0.0,28.5,240.8,24170.0
CEID-Walk,3141,381.4,113.0,1137.5,0.0,36.0,310.2,31627.1
IowaStateLW-STEM,3103,407.4,97.0,1352.3,0.0,32.0,291.0,29133.0
COVIDhub-ensemble,3141,422.6,132.0,1206.7,0.0,47.0,358.0,39538.0
LNQ-ens1,3141,428.1,129.2,1284.1,0.0,42.3,355.5,42461.2
RobertWalraven-ESG,3141,438.8,124.1,1331.7,0.0,43.5,349.9,39847.5
COVIDhub-baseline,3141,446.4,89.0,2185.3,0.0,28.0,265.0,75815.0
USC-SI_kJalpha,2779,455.2,124.0,1467.7,0.0,43.0,336.3,32106.0
OliverWyman-Navigator,2467,456.3,142.0,1232.5,0.0,50.0,402.0,41727.0
UCLA-SuEIR,2847,462.3,107.8,2142.3,0.0,36.0,317.3,61701.3
LANL-GrowthRate,2951,483.5,145.9,1891.8,0.0,56.2,367.0,57776.0
MITCovAlliance-SIR,2094,530.2,128.0,1949.4,0.3,45.3,387.4,53561.4
CU-select,3099,636.5,115.0,3879.7,0.0,39.0,327.0,128412.0
Yu_Group-CLEP,3139,652.2,110.6,3349.8,0.0,35.1,344.6,89908.0
