,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,49889,48664.0,,16293.1,34287.0,44357.0,21205.4,18022.8,59410.4,20405.5,18118.0,-1225.0,,-33595.9,-15602.0,-5532.0,-28683.6,-31866.2,9521.4,-29483.5,-31771.0,,False,False,False,False,False,False,False,False
Alaska,4895,3647.0,,2286.4,3292.0,,2201.7,2361.6,2887.5,3115.5,2956.0,-1248.0,,-2608.6,-1603.0,,-2693.3,-2533.4,-2007.5,-1779.5,-1939.0,,False,False,,False,False,False,False,False
Arizona,27083,36687.0,,9605.7,18850.0,29376.0,12111.5,6934.6,62069.9,10622.3,11815.0,9604.0,,-17477.3,-8233.0,2293.0,-14971.5,-20148.4,34986.9,-16460.7,-15268.0,,False,True,True,False,False,False,False,False
Arkansas,36021,29449.0,,18421.2,33487.0,32110.0,15729.9,12574.8,24440.3,15555.6,13737.0,-6572.0,,-17599.8,-2534.0,-3911.0,-20291.1,-23446.2,-11580.7,-20465.4,-22284.0,,False,True,True,False,False,False,False,False
California,187975,325087.0,,241355.9,272154.0,374054.0,114246.4,195880.1,293543.1,111073.8,159830.0,137112.0,,53380.9,84179.0,186079.0,-73728.6,7905.1,105568.1,-76901.2,-28145.0,,True,True,False,True,True,True,True,True
Colorado,22759,14315.0,,7476.3,2358.0,8587.0,8023.5,12272.6,6501.2,10991.4,7046.0,-8444.0,,-15282.7,-20401.0,-14172.0,-14735.5,-10486.4,-16257.8,-11767.6,-15713.0,,False,False,False,False,False,False,False,False
Connecticut,8519,4354.0,,3375.6,198.0,1540.0,1201.9,1286.2,4461.8,2502.1,1314.0,-4165.0,,-5143.4,-8321.0,-6979.0,-7317.1,-7232.8,-4057.2,-6016.9,-7205.0,,False,False,False,False,False,True,False,False
Delaware,5186,3024.0,,2894.3,105.0,3086.0,1181.8,2499.8,3468.2,2024.0,1773.0,-2162.0,,-2291.7,-5081.0,-2100.0,-4004.2,-2686.2,-1717.8,-3162.0,-3413.0,,False,False,True,False,False,True,False,False
District of Columbia,2384,2625.0,,1970.3,276.0,3248.0,795.0,144.1,2141.2,866.0,1110.0,241.0,,-413.7,-2108.0,864.0,-1589.0,-2239.9,-242.8,-1518.0,-1274.0,,False,False,False,False,False,False,False,False
Florida,131324,195720.0,,72940.8,114778.0,248057.0,73397.4,90994.0,235715.6,66546.1,58498.0,64396.0,,-58383.2,-16546.0,116733.0,-57926.6,-40330.0,104391.6,-64777.9,-72826.0,,True,True,False,True,True,False,False,False
Georgia,78047,119378.0,,81977.0,102433.0,101283.0,55131.8,62175.7,100466.3,55627.8,42068.0,41331.0,,3930.0,24386.0,23236.0,-22915.2,-15871.3,22419.3,-22419.2,-35979.0,,True,True,True,True,True,True,True,True
Hawaii,7209,10717.0,,24344.1,7615.0,,8426.7,8309.9,14010.3,13404.5,8652.0,3508.0,,17135.1,406.0,,1217.7,1100.9,6801.3,6195.5,1443.0,,False,True,,True,True,False,False,True
Idaho,18042,15288.0,,9177.1,14532.0,12394.0,6185.5,7450.2,12412.9,4986.1,5410.0,-2754.0,,-8864.9,-3510.0,-5648.0,-11856.5,-10591.8,-5629.1,-13055.9,-12632.0,,False,False,False,False,False,False,False,False
Illinois,99750,96950.0,,81588.4,8413.0,71353.0,55976.3,85414.5,100770.2,106791.3,89084.0,-2800.0,,-18161.6,-91337.0,-28397.0,-43773.7,-14335.5,1020.2,7041.3,-10666.0,,False,False,False,False,False,True,False,False
Indiana,48094,39487.0,,34848.9,8738.0,33424.0,21621.4,24010.2,24325.8,28063.9,26150.0,-8607.0,,-13245.1,-39356.0,-14670.0,-26472.6,-24083.8,-23768.2,-20030.1,-21944.0,,False,False,False,False,False,False,False,False
Iowa,43046,27517.0,,26739.4,3216.0,22915.0,16950.9,23559.1,34356.1,32390.6,21816.0,-15529.0,,-16306.6,-39830.0,-20131.0,-26095.1,-19486.9,-8689.9,-10655.4,-21230.0,,False,False,False,False,False,True,True,False
Kansas,29971,24521.0,,19919.7,16140.0,25698.0,14069.7,14509.7,12983.1,25600.0,20681.0,-5450.0,,-10051.3,-13831.0,-4273.0,-15901.3,-15461.3,-16987.9,-4371.0,-9290.0,,False,False,True,False,False,False,True,False
Kentucky,36379,28952.0,,23884.4,24999.0,29648.0,9495.3,5873.6,27205.9,15877.6,27370.0,-7427.0,,-12494.6,-11380.0,-6731.0,-26883.7,-30505.4,-9173.1,-20501.4,-9009.0,,False,False,True,False,False,False,False,False
Louisiana,31686,34881.0,,12897.7,36593.0,48472.0,20617.1,21898.4,25639.5,11168.3,9412.0,3195.0,,-18788.3,4907.0,16786.0,-11068.9,-9787.6,-6046.5,-20517.7,-22274.0,,False,False,False,False,False,False,False,False
Maine,1378,1218.0,,1096.4,222.0,1025.0,615.2,450.6,933.9,3282.5,2957.0,-160.0,,-281.6,-1156.0,-353.0,-762.8,-927.4,-444.1,1904.5,1579.0,,False,False,False,False,False,False,False,False
Maryland,27272,26810.0,,18316.5,3626.0,23220.0,14978.9,19777.0,31335.8,17146.9,14070.0,-462.0,,-8955.5,-23646.0,-4052.0,-12293.1,-7495.0,4063.8,-10125.1,-13202.0,,False,False,False,False,False,False,False,False
Massachusetts,20493,15127.0,,13653.3,3062.0,49097.0,4924.1,6229.3,22913.6,289.9,10854.0,-5366.0,,-6839.7,-17431.0,28604.0,-15568.9,-14263.7,2420.6,-20203.1,-9639.0,,False,False,False,False,False,True,False,False
Michigan,43409,29834.0,,29025.5,13956.0,29264.0,19638.2,23662.8,37880.0,33552.2,13766.0,-13575.0,,-14383.5,-29453.0,-14145.0,-23770.8,-19746.2,-5529.0,-9856.8,-29643.0,,False,False,False,False,False,True,True,False
Minnesota,41961,31178.0,,25581.9,4343.0,32498.0,19874.3,21093.8,34020.4,38680.7,25947.0,-10783.0,,-16379.1,-37618.0,-9463.0,-22086.7,-20867.2,-7940.6,-3280.3,-16014.0,,False,False,True,False,False,True,True,False
Mississippi,27370,38591.0,,21398.0,22184.0,30961.0,22580.1,17792.9,44685.8,27521.0,11054.0,11221.0,,-5972.0,-5186.0,3591.0,-4789.9,-9577.1,17315.8,151.0,-16316.0,,True,True,True,True,True,False,True,False
