,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,350,244.0,267.7,,193.0,127.0,,,,,,169.0,,329.0,106.3,,172.8,209.6,,,169.2,,212.9,,,,,113.6,990.2,-106.0,-82.3,,-157.0,-223.0,,,,,,-181.0,,-21.0,-243.7,,-177.2,-140.4,,,-180.8,,-137.1,,,,,-236.4,640.2,True,,False,False,,,,,,False,,True,False,,False,False,,,False,,False,,,,,False,False
01003,1261,840.0,848.6,,773.0,4722.0,,,,,,461.0,,855.0,854.4,,739.7,744.3,,,774.3,,928.0,530.0,,,,545.0,5313.2,-421.0,-412.4,,-488.0,3461.0,,,,,,-800.0,,-406.0,-406.6,,-521.3,-516.7,,,-486.7,,-333.0,-731.0,,,,-716.0,4052.2,True,,False,False,,,,,,False,,True,True,,False,False,,,False,,True,False,,,,False,False
01005,151,16.0,4.7,,15.0,0.0,,,,,,99.0,,116.1,48.8,,3.4,17.9,,,2.7,,,,,,,13.7,228.8,-135.0,-146.3,,-136.0,-151.0,,,,,,-52.0,,-34.9,-102.2,,-147.6,-133.1,,,-148.3,,,,,,,-137.3,77.8,False,,False,False,,,,,,True,,True,True,,False,True,,,False,,,,,,,False,True
01007,138,104.0,101.7,,75.0,20.0,,,,,,79.0,,262.4,78.8,,31.7,75.2,,,45.0,,,,,,,61.2,1776.0,-34.0,-36.3,,-63.0,-118.0,,,,,,-59.0,,124.4,-59.2,,-106.3,-62.8,,,-93.0,,,,,,,-76.8,1638.0,False,,False,False,,,,,,False,,False,False,,False,False,,,False,,,,,,,False,False
01009,248,208.0,202.6,,184.0,490.0,,,,,,151.0,,373.0,261.5,,152.3,188.6,,,97.1,,159.5,,,,,100.9,4051.4,-40.0,-45.4,,-64.0,242.0,,,,,,-97.0,,125.0,13.5,,-95.7,-59.4,,,-150.9,,-88.5,,,,,-147.1,3803.4,False,,False,False,,,,,,False,,False,True,,False,False,,,False,,False,,,,,False,False
01011,46,32.0,27.4,,31.0,,,,,,,107.0,,39.4,18.9,,18.3,39.5,,,11.1,,,,,,,16.9,327.4,-14.0,-18.6,,-15.0,,,,,,,61.0,,-6.6,-27.1,,-27.7,-6.5,,,-35.0,,,,,,,-29.1,281.4,False,,False,,,,,,,False,,True,False,,False,True,,,False,,,,,,,False,False
01013,66,48.0,57.5,,48.0,81.0,,,,,,65.0,,184.8,24.0,,5.3,38.0,,,30.3,,,,,,,41.2,63.5,-18.0,-8.5,,-18.0,15.0,,,,,,-1.0,,118.8,-42.0,,-60.7,-28.0,,,-35.7,,,,,,,-24.8,-2.5,True,,False,True,,,,,,True,,False,False,,False,False,,,False,,,,,,,False,True
01015,806,724.0,668.2,,651.0,4433.0,,,,,,378.0,,846.6,748.6,,629.6,784.9,,,133.8,,438.6,,,,,459.3,2223.9,-82.0,-137.8,,-155.0,3627.0,,,,,,-428.0,,40.6,-57.4,,-176.4,-21.1,,,-672.2,,-367.4,,,,,-346.7,1417.9,False,,False,False,,,,,,False,,True,True,,False,True,,,False,,False,,,,,False,False
01017,150,40.0,44.9,,37.0,29.0,,,,,,87.0,,143.6,82.3,,4.3,22.4,,,10.9,,,,,,,11.3,366.6,-110.0,-105.1,,-113.0,-121.0,,,,,,-63.0,,-6.4,-67.7,,-145.7,-127.6,,,-139.1,,,,,,,-138.7,216.6,True,,False,False,,,,,,True,,True,True,,False,False,,,False,,,,,,,False,False
01019,155,112.0,98.4,,99.0,53.0,,,,,,59.0,,199.6,99.6,,124.7,147.0,,,25.1,,,,,,,24.8,1800.5,-43.0,-56.6,,-56.0,-102.0,,,,,,-96.0,,44.6,-55.4,,-30.3,-8.0,,,-129.9,,,,,,,-130.2,1645.5,False,,False,False,,,,,,False,,False,False,,True,True,,,False,,,,,,,False,False
01021,335,336.0,341.6,,244.0,705.0,,,,,,139.0,,490.2,189.3,,237.0,239.6,,,103.0,,205.4,,,,,177.4,2628.9,1.0,6.6,,-91.0,370.0,,,,,,-196.0,,155.2,-145.7,,-98.0,-95.4,,,-232.1,,-129.6,,,,,-157.6,2293.9,False,,False,False,,,,,,False,,False,False,,False,False,,,False,,False,,,,,False,False
01023,39,16.0,15.1,,16.0,29.0,,,,,,29.0,,129.7,25.7,,7.3,23.0,,,4.0,,,,,,,18.5,38.6,-23.0,-23.9,,-23.0,-10.0,,,,,,-10.0,,90.7,-13.3,,-31.7,-16.0,,,-35.0,,,,,,,-20.5,-0.4,False,,False,True,,,,,,True,,False,True,,False,True,,,False,,,,,,,True,True
01025,188,32.0,43.7,,36.0,22.0,,,,,,108.0,,141.9,72.4,,2.2,34.6,,,18.2,,,,,,,37.9,293.6,-156.0,-144.3,,-152.0,-166.0,,,,,,-80.0,,-46.1,-115.6,,-185.8,-153.4,,,-169.8,,,,,,,-150.1,105.6,True,,True,False,,,,,,True,,True,True,,False,True,,,False,,,,,,,True,True
01027,174,116.0,93.6,,77.0,57.0,,,,,,31.0,,255.4,58.4,,80.1,117.1,,,52.9,,,,,,,66.7,301.2,-58.0,-80.4,,-97.0,-117.0,,,,,,-143.0,,81.4,-115.6,,-93.9,-56.9,,,-121.1,,,,,,,-107.3,127.2,False,,False,False,,,,,,False,,False,False,,False,True,,,False,,,,,,,False,False
01029,132,148.0,123.8,,129.0,175.0,,,,,,43.0,,355.9,52.4,,132.6,145.2,,,110.5,,,,,,,55.1,1290.8,16.0,-8.2,,-3.0,43.0,,,,,,-89.0,,223.9,-79.6,,0.6,13.2,,,-21.5,,,,,,,-76.9,1158.8,True,,True,False,,,,,,False,,False,False,,True,True,,,False,,,,,,,False,False
01031,325,272.0,320.8,,215.0,735.0,,,,,,215.0,,275.9,192.8,,197.7,174.7,,,29.8,,,,,,,91.3,469.7,-53.0,-4.2,,-110.0,410.0,,,,,,-110.0,,-49.1,-132.2,,-127.3,-150.3,,,-295.2,,,,,,,-233.7,144.7,True,,False,False,,,,,,False,,True,False,,False,False,,,False,,,,,,,False,False
01033,280,132.0,143.5,,141.0,291.0,,,,,,206.0,,254.3,139.8,,61.6,136.6,,,11.1,,176.5,,,,,85.4,295.0,-148.0,-136.5,,-139.0,11.0,,,,,,-74.0,,-25.7,-140.2,,-218.4,-143.4,,,-268.9,,-103.5,,,,,-194.6,15.0,True,,True,True,,,,,,True,,True,True,,False,True,,,False,,True,,,,,False,True
01035,38,36.0,42.6,,25.0,0.0,,,,,,34.0,,33.1,32.4,,4.9,27.1,0.0,,8.5,,,,,,,14.6,125.2,-2.0,4.6,,-13.0,-38.0,,,,,,-4.0,,-4.9,-5.6,,-33.1,-10.9,-38.0,,-29.5,,,,,,,-23.4,87.2,False,,False,False,,,,,,False,,False,False,,False,False,False,,False,,,,,,,False,False
01037,35,20.0,23.3,,17.0,0.0,,,,,,33.0,,15.2,26.8,,8.1,20.1,7.7,,70.7,,,,,,,7.3,327.5,-15.0,-11.7,,-18.0,-35.0,,,,,,-2.0,,-19.8,-8.2,,-26.9,-14.9,-27.3,,35.7,,,,,,,-27.7,292.5,True,,False,False,,,,,,True,,False,True,,False,True,False,,False,,,,,,,False,False
01039,329,92.0,108.4,,87.0,29.0,,,,,,108.0,,184.7,146.6,,42.7,83.2,33.9,,45.5,,,,,,,16.0,937.7,-237.0,-220.6,,-242.0,-300.0,,,,,,-221.0,,-144.3,-182.4,,-286.3,-245.8,-295.1,,-283.5,,,,,,,-313.0,608.7,True,,False,False,,,,,,True,,True,True,,False,False,False,,False,,,,,,,False,False
01041,62,72.0,72.1,,41.0,0.0,,,,,,69.0,,152.9,52.1,,24.5,47.6,0.0,,1.4,,,,,,,26.2,477.6,10.0,10.1,,-21.0,-62.0,,,,,,7.0,,90.9,-9.9,,-37.5,-14.4,-62.0,,-60.6,,,,,,,-35.8,415.6,False,,False,False,,,,,,True,,False,True,,False,False,False,,False,,,,,,,False,False
01043,307,208.0,143.7,,184.0,319.0,,,,,,322.0,,303.8,271.5,,70.0,208.7,119.7,,6.2,,186.7,,,,,161.4,679.0,-99.0,-163.3,,-123.0,12.0,,,,,,15.0,,-3.2,-35.5,,-237.0,-98.3,-187.3,,-300.9,,-120.3,,,,,-145.6,372.0,False,,False,True,,,,,,True,,True,True,,False,True,False,,False,,False,,,,,False,False
01045,310,252.0,316.9,,161.0,1158.0,,,,,,169.0,,261.9,157.9,,155.9,150.7,119.3,,39.0,,171.1,,,,,59.7,772.5,-58.0,6.9,,-149.0,848.0,,,,,,-141.0,,-48.1,-152.1,,-154.1,-159.3,-190.7,,-271.0,,-138.9,,,,,-250.3,462.5,True,,False,False,,,,,,False,,True,False,,False,False,False,,False,,False,,,,,False,False
01047,123,136.0,134.9,,102.0,81.0,,,,,,106.0,,232.8,79.2,,37.7,98.7,1.1,,83.4,,119.3,,,,,70.3,502.3,13.0,11.9,,-21.0,-42.0,,,,,,-17.0,,109.8,-43.8,,-85.3,-24.3,-121.9,,-39.6,,-3.7,,,,,-52.7,379.3,True,,False,False,,,,,,False,,False,False,,False,False,False,,False,,True,,,,,False,False
01049,572,152.0,146.1,,149.0,98.0,,,,,,265.0,,299.6,176.6,,125.4,195.2,64.8,,88.6,,187.2,,,,,99.4,817.9,-420.0,-425.9,,-423.0,-474.0,,,,,,-307.0,,-272.4,-395.4,,-446.6,-376.8,-507.2,,-483.4,,-384.8,,,,,-472.6,245.9,False,,False,False,,,,,,True,,True,True,,False,True,False,,False,,True,,,,,False,True
01051,533,372.0,378.6,,321.0,940.0,,,,,,218.0,,477.0,168.4,,243.6,342.0,130.2,,254.7,,320.2,,,,,237.6,664.8,-161.0,-154.4,,-212.0,407.0,,,,,,-315.0,,-56.0,-364.6,,-289.4,-191.0,-402.8,,-278.3,,-212.8,,,,,-295.4,131.8,True,,False,False,,,,,,False,,True,False,,False,False,False,,False,,False,,,,,False,True
01053,174,172.0,172.9,,110.0,36.0,,,,,,159.0,,258.5,138.1,,73.6,167.9,0.5,,53.8,,107.8,,,,,101.4,2451.1,-2.0,-1.1,,-64.0,-138.0,,,,,,-15.0,,84.5,-35.9,,-100.4,-6.1,-173.5,,-120.2,,-66.2,,,,,-72.6,2277.1,True,,False,False,,,,,,False,,False,False,,False,False,False,,False,,False,,,,,False,False
01055,622,432.0,380.4,,378.0,1979.0,,,,,,366.0,,524.3,481.8,,370.5,449.8,227.1,,243.5,,336.8,,,,,263.1,2191.2,-190.0,-241.6,,-244.0,1357.0,,,,,,-256.0,,-97.7,-140.2,,-251.5,-172.2,-394.9,,-378.5,,-285.2,,,,,-358.9,1569.2,False,,False,False,,,,,,False,,True,True,,False,True,False,,False,,False,,,,,False,False
01057,104,120.0,125.1,,101.0,46.0,,,,,,46.0,,219.7,90.3,,132.4,123.3,58.3,,85.5,,,,,,,51.1,703.8,16.0,21.1,,-3.0,-58.0,,,,,,-58.0,,115.7,-13.7,,28.4,19.3,-45.7,,-18.5,,,,,,,-52.9,599.8,False,,True,False,,,,,,False,,False,True,,False,False,False,,False,,,,,,,False,False
01059,211,200.0,198.4,,172.0,189.0,,,,,,180.0,,266.0,78.5,,147.8,226.4,13.6,,99.2,,146.7,,,,,138.8,361.4,-11.0,-12.6,,-39.0,-22.0,,,,,,-31.0,,55.0,-132.5,,-63.2,15.4,-197.4,,-111.8,,-64.3,,,,,-72.2,150.4,False,,False,False,,,,,,False,,False,False,,False,False,False,,False,,False,,,,,False,False
01061,291,64.0,102.5,,80.0,57.0,,,,,,84.0,,139.8,125.4,,25.6,78.2,90.1,,39.5,,,,,,,51.3,754.2,-227.0,-188.5,,-211.0,-234.0,,,,,,-207.0,,-151.2,-165.6,,-265.4,-212.8,-200.9,,-251.5,,,,,,,-239.7,463.2,True,,True,False,,,,,,True,,True,True,,False,True,True,,False,,,,,,,False,False
01063,30,0.0,4.2,,3.0,0.0,,,,,,16.0,,19.3,13.5,,0.2,2.7,0.0,,10.7,,,,,,,13.3,66.8,-30.0,-25.8,,-27.0,-30.0,,,,,,-14.0,,-10.7,-16.5,,-29.8,-27.3,-30.0,,-19.3,,,,,,,-16.7,36.8,True,,True,False,,,,,,True,,True,True,,True,True,True,,True,,,,,,,True,False
01065,101,60.0,64.4,,37.0,16.0,,,,,,53.0,,144.6,27.3,,14.9,57.2,1.0,,2.1,,,,,,,40.1,157.0,-41.0,-36.6,,-64.0,-85.0,,,,,,-48.0,,43.6,-73.7,,-86.1,-43.8,-100.0,,-98.9,,,,,,,-60.9,56.0,True,,False,False,,,,,,False,,False,False,,False,False,False,,False,,,,,,,False,False
01067,161,60.0,55.7,,47.0,28.0,,,,,,46.0,,128.3,57.6,,21.3,56.1,39.8,,43.1,,,,,,,24.5,275.3,-101.0,-105.3,,-114.0,-133.0,,,,,,-115.0,,-32.7,-103.4,,-139.7,-104.9,-121.2,,-117.9,,,,,,,-136.5,114.3,False,,False,False,,,,,,False,,True,False,,False,False,False,,False,,,,,,,False,False
01069,1037,348.0,318.4,,337.0,89.0,,,,,,339.0,,378.8,463.3,,251.0,330.1,296.4,,120.2,,410.4,,,,,186.8,1256.5,-689.0,-718.6,,-700.0,-948.0,,,,,,-698.0,,-658.2,-573.7,,-786.0,-706.9,-740.6,,-916.8,,-626.6,,,,,-850.2,219.5,False,,False,False,,,,,,False,,True,True,,False,False,False,,False,,True,,,,,False,True
01071,409,164.0,181.6,,141.0,45.0,,,,,,168.0,,261.3,192.8,,93.4,167.1,122.8,,52.3,,124.5,,,,,102.6,1654.3,-245.0,-227.4,,-268.0,-364.0,,,,,,-241.0,,-147.7,-216.2,,-315.6,-241.9,-286.2,,-356.7,,-284.5,,,,,-306.4,1245.3,True,,False,False,,,,,,True,,True,True,,False,True,False,,False,,False,,,,,False,False
01073,3362,3164.0,2943.1,2287.9,2325.0,2061.0,,,,,,1834.0,,2863.2,2098.5,,2892.9,2919.9,682.9,,1052.1,,2281.7,2317.0,,,,2016.3,9608.1,-198.0,-418.9,-1074.1,-1037.0,-1301.0,,,,,,-1528.0,,-498.8,-1263.5,,-469.1,-442.1,-2679.1,,-2309.9,,-1080.3,-1045.0,,,,-1345.7,6246.1,False,False,False,False,,,,,,False,,False,False,,False,False,False,,False,,False,False,,,,False,False
01075,112,36.0,32.0,,30.0,0.0,,,,,,46.0,,120.8,41.1,,15.2,38.8,23.6,,1.6,,,,,,,16.7,100.2,-76.0,-80.0,,-82.0,-112.0,,,,,,-66.0,,8.8,-70.9,,-96.8,-73.2,-88.4,,-110.4,,,,,,,-95.3,-11.8,False,,False,False,,,,,,True,,True,True,,False,True,False,,False,,,,,,,False,True
01077,364,204.0,210.3,,200.0,514.0,,,,,,342.0,,302.2,240.8,,129.7,201.5,167.1,,153.0,,133.5,,,,,126.4,557.4,-160.0,-153.7,,-164.0,150.0,,,,,,-22.0,,-61.8,-123.2,,-234.3,-162.5,-196.9,,-211.0,,-230.5,,,,,-237.6,193.4,True,,False,True,,,,,,True,,True,True,,False,False,False,,False,,False,,,,,False,False
01079,155,112.0,122.1,,97.0,139.0,,,,,,93.0,,261.6,114.5,,64.8,86.8,92.2,,52.4,,,,,,,45.5,1509.6,-43.0,-32.9,,-58.0,-16.0,,,,,,-62.0,,106.6,-40.5,,-90.2,-68.2,-62.8,,-102.6,,,,,,,-109.5,1354.6,True,,False,True,,,,,,False,,False,True,,False,False,False,,False,,,,,,,False,False
01081,834,508.0,455.8,,401.0,445.0,,,,,,737.0,,704.8,608.5,,309.3,407.3,305.8,,11.1,,315.3,310.0,,,,473.9,3365.3,-326.0,-378.2,,-433.0,-389.0,,,,,,-97.0,,-129.2,-225.5,,-524.7,-426.7,-528.2,,-822.9,,-518.7,-524.0,,,,-360.1,2531.3,False,,False,False,,,,,,True,,True,True,,False,False,False,,False,,False,False,,,,False,False
01083,634,312.0,304.0,,280.0,111.0,,,,,,356.0,,388.9,194.7,,289.2,361.9,193.1,,157.5,,218.5,,,,,118.4,2191.2,-322.0,-330.0,,-354.0,-523.0,,,,,,-278.0,,-245.1,-439.3,,-344.8,-272.1,-440.9,,-476.5,,-415.5,,,,,-515.6,1557.2,False,,False,False,,,,,,True,,True,False,,False,True,False,,False,,False,,,,,False,False
01085,51,4.0,1.1,,5.0,0.0,,,,,,38.0,,22.7,11.8,,0.2,8.8,0.2,,7.4,,,,,,,13.2,155.9,-47.0,-49.9,,-46.0,-51.0,,,,,,-13.0,,-28.3,-39.2,,-50.8,-42.2,-50.8,,-43.6,,,,,,,-37.8,104.9,False,,True,False,,,,,,True,,True,True,,False,True,False,,True,,,,,,,True,False
01087,47,44.0,39.8,,34.0,47.0,,,,,,32.0,,294.7,47.2,,5.4,40.4,0.0,,21.8,,,,,,,24.9,650.3,-3.0,-7.2,,-13.0,0.0,,,,,,-15.0,,247.7,0.2,,-41.6,-6.6,-47.0,,-25.2,,,,,,,-22.1,603.3,False,,False,True,,,,,,False,,False,True,,False,False,False,,False,,,,,,,False,False
01089,1516,984.0,862.6,1002.0,937.0,485.0,,,,,,1160.0,,1257.6,1177.5,,931.1,1077.3,421.2,,72.9,,569.9,1112.0,,,,603.3,5213.9,-532.0,-653.4,-514.0,-579.0,-1031.0,,,,,,-356.0,,-258.4,-338.5,,-584.9,-438.7,-1094.8,,-1443.1,,-946.1,-404.0,,,,-912.7,3697.9,False,True,False,False,,,,,,True,,True,True,,False,True,False,,False,,False,True,,,,False,False
