,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Alabama,6517,6789.0,6579.0,5910.0,6041.0,,6925.5,4002.0,5393.8,6926.0,7696.0,5700.0,6474.2,5965.2,,4281.9,4472.9,6640.6,6866.2,7524.0,,5587.1,1269.5,5842.5,7419.9,6717.0,272.0,62.0,-607.0,-476.0,,408.5,-2515.0,-1123.2,409.0,1179.0,-817.0,-42.8,-551.8,,-2235.1,-2044.1,123.6,349.2,1007.0,,-929.9,-5247.5,-674.5,902.9,200.0,True,False,False,,False,False,False,False,False,False,True,False,,False,False,True,False,False,,False,False,False,False,True
Alaska,1177,850.0,847.4,849.0,792.0,,729.4,580.0,687.1,851.1,,,955.6,863.0,1274.2,601.9,898.4,989.4,1021.4,1044.0,,1275.1,395.3,764.8,795.4,866.0,-327.0,-329.6,-328.0,-385.0,,-447.6,-597.0,-489.9,-325.9,,,-221.4,-314.0,97.2,-575.1,-278.6,-187.6,-155.6,-133.0,,98.1,-781.7,-412.2,-381.6,-311.0,False,False,False,,False,False,False,True,,,True,True,True,False,True,True,True,True,,True,False,False,False,True
Arizona,4579,3573.0,3485.7,3213.0,3371.0,,3892.5,819.0,3072.9,3578.8,3766.0,3098.0,4063.4,3213.0,4601.6,2389.5,3467.5,2972.1,3141.6,3611.0,,2189.4,0.0,3585.4,5305.3,3207.0,-1006.0,-1093.3,-1366.0,-1208.0,,-686.5,-3760.0,-1506.1,-1000.2,-813.0,-1481.0,-515.6,-1366.0,22.6,-2189.5,-1111.5,-1606.9,-1437.4,-968.0,,-2389.6,-4579.0,-993.6,726.3,-1372.0,False,False,False,,True,False,False,True,True,False,True,False,True,False,False,False,False,True,,False,False,True,True,False
Arkansas,5695,5770.0,5785.5,5276.0,5140.0,,6223.6,4409.0,4195.7,5918.2,6055.0,6176.0,7010.0,6086.5,5233.1,3030.6,6880.8,4455.1,5075.8,6550.0,,4398.4,3040.7,5275.7,5542.0,5697.0,75.0,90.5,-419.0,-555.0,,528.6,-1286.0,-1499.3,223.2,360.0,481.0,1315.0,391.5,-461.9,-2664.4,1185.8,-1239.9,-619.2,855.0,,-1296.6,-2654.3,-419.3,-153.0,2.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True
California,22889,22070.0,22132.3,21123.0,21129.0,,22089.2,14504.0,20169.0,21921.1,22813.0,20187.0,22809.7,21123.3,27707.7,24479.0,17263.7,20655.5,23131.5,22623.0,,19510.9,7420.3,20068.2,25170.4,22132.0,-819.0,-756.7,-1766.0,-1760.0,,-799.8,-8385.0,-2720.0,-967.9,-76.0,-2702.0,-79.3,-1765.7,4818.7,1590.0,-5625.3,-2233.5,242.5,-266.0,,-3378.1,-15468.7,-2820.8,2281.4,-757.0,True,False,False,,True,False,False,False,True,False,True,False,False,False,False,False,True,True,,False,False,False,False,True
Colorado,5087,4044.0,3959.7,3977.0,3977.0,,4694.5,2941.0,4150.1,4043.5,4006.0,4060.0,5258.4,3675.1,4968.4,4439.3,3721.9,3768.9,4230.1,5176.0,,3773.3,3332.8,3578.6,3692.3,4017.0,-1043.0,-1127.3,-1110.0,-1110.0,,-392.5,-2146.0,-936.9,-1043.5,-1081.0,-1027.0,171.4,-1411.9,-118.6,-647.7,-1365.1,-1318.1,-856.9,89.0,,-1313.7,-1754.2,-1508.4,-1394.7,-1070.0,False,False,False,,True,False,True,False,False,True,True,False,True,True,False,False,True,True,,False,False,False,False,False
Connecticut,1741,1710.0,1720.1,1448.0,2110.0,,1479.6,726.0,1903.7,1449.4,1124.0,1355.0,1015.8,1767.0,,2534.5,1261.8,962.1,1417.1,1716.0,,395.4,1973.2,1630.3,1148.9,1546.0,-31.0,-20.9,-293.0,369.0,,-261.4,-1015.0,162.7,-291.6,-617.0,-386.0,-725.2,26.0,,793.5,-479.2,-778.9,-323.9,-25.0,,-1345.6,232.2,-110.7,-592.1,-195.0,True,False,False,,False,False,False,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,False
Delaware,873,969.0,982.2,881.0,1223.0,,781.9,407.0,914.7,1022.5,955.0,608.0,836.6,807.0,,912.0,678.4,874.2,1000.9,1514.0,,1193.4,206.0,900.9,796.6,966.0,96.0,109.2,8.0,350.0,,-91.1,-466.0,41.7,149.5,82.0,-265.0,-36.4,-66.0,,39.0,-194.6,1.2,127.9,641.0,,320.4,-667.0,27.9,-76.4,93.0,False,True,False,,True,False,True,False,True,False,True,True,,True,False,True,False,False,,False,False,True,True,True
District of Columbia,445,258.0,104.7,227.0,222.0,,289.1,43.0,312.5,259.3,117.0,217.0,309.8,226.5,,489.3,243.0,270.4,304.7,107.0,,204.3,279.8,244.1,,251.0,-187.0,-340.3,-218.0,-223.0,,-155.9,-402.0,-132.5,-185.7,-328.0,-228.0,-135.2,-218.5,,44.3,-202.0,-174.6,-140.3,-338.0,,-240.7,-165.2,-200.9,,-194.0,False,False,False,,True,False,True,True,False,False,True,False,,True,False,True,True,False,,False,True,False,,False
Florida,14330,15909.0,15212.7,14855.0,14910.0,,16002.5,6434.0,14798.5,15347.1,16963.0,14256.0,18098.4,14855.1,19894.9,14547.7,8774.6,13579.0,15409.7,16483.0,,12109.6,0.0,14866.0,18916.3,15196.0,1579.0,882.7,525.0,580.0,,1672.5,-7896.0,468.5,1017.1,2633.0,-74.0,3768.4,525.1,5564.9,217.7,-5555.4,-751.0,1079.7,2153.0,,-2220.4,-14330.0,536.0,4586.3,866.0,True,True,True,,False,False,True,True,False,True,False,True,False,True,False,True,True,False,,False,False,True,False,True
