,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,424,310.0,460.0,,,,,451.0,,136.0,,68.3,,,179.2,300.3,,,-114.0,36.0,,,,,27.0,,-288.0,,-355.7,,,-244.8,-123.7,,,True,,,,,True,,False,,False,,,False,False,,
01003,1492,1175.0,1237.0,,,,,883.0,,1115.2,,592.7,,,455.7,1343.0,,,-317.0,-255.0,,,,,-609.0,,-376.8,,-899.3,,,-1036.3,-149.0,,,True,,,,,False,,False,,False,,,False,True,,
01005,169,0.0,35.0,,,,,216.0,,73.3,,69.0,,,7.4,18.0,,,-169.0,-134.0,,,,,47.0,,-95.7,,-100.0,,,-161.6,-151.0,,,True,,,,,True,,True,,True,,,True,True,,
01007,158,135.0,70.0,,,,,247.0,,112.4,,43.4,,,34.7,141.8,,,-23.0,-88.0,,,,,89.0,,-45.6,,-114.6,,,-123.3,-16.2,,,False,,,,,False,,False,,False,,,False,True,,
01009,321,290.0,429.0,,,,,378.0,,370.9,,73.6,,,150.0,211.9,,,-31.0,108.0,,,,,57.0,,49.9,,-247.4,,,-171.0,-109.1,,,False,,,,,False,,False,,False,,,False,False,,
01011,55,45.0,2.0,,,,,177.0,,29.6,,4.3,,,29.9,45.0,,,-10.0,-53.0,,,,,122.0,,-25.4,,-50.7,,,-25.1,-10.0,,,False,,,,,False,,False,,False,,,False,False,,
01013,75,130.0,128.0,,,,,152.0,,30.2,,28.4,,,69.5,103.5,,,55.0,53.0,,,,,77.0,,-44.8,,-46.6,,,-5.5,28.5,,,True,,,,,False,,True,,True,,,True,True,,
01015,1032,1155.0,1424.0,,,,,748.0,,997.9,,565.1,,,245.9,907.7,,,123.0,392.0,,,,,-284.0,,-34.1,,-466.9,,,-786.1,-124.3,,,False,,,,,False,,True,,False,,,False,False,,
01017,180,0.0,8.0,,,,,185.0,,105.9,,2.7,,,15.2,19.3,,,-180.0,-172.0,,,,,5.0,,-74.1,,-177.3,,,-164.8,-160.7,,,True,,,,,True,,True,,True,,,True,True,,
01019,208,115.0,69.0,,,,,117.0,,156.3,,18.8,,,47.0,93.0,,,-93.0,-139.0,,,,,-91.0,,-51.7,,-189.2,,,-161.0,-115.0,,,False,,,,,True,,True,,False,,,False,False,,
01021,441,570.0,1085.0,,,,,408.0,,262.3,,215.4,,,156.8,416.5,,,129.0,644.0,,,,,-33.0,,-178.7,,-225.6,,,-284.2,-24.5,,,False,,,,,True,,False,,False,,,False,True,,
01023,45,40.0,35.0,,,,,61.0,,39.2,,8.5,,,0.6,37.8,,,-5.0,-10.0,,,,,16.0,,-5.8,,-36.5,,,-44.4,-7.2,,,False,,,,,False,,False,,False,,,False,False,,
01025,209,65.0,76.0,,,,,215.0,,122.8,,6.3,,,42.7,157.5,,,-144.0,-133.0,,,,,6.0,,-86.2,,-202.7,,,-166.3,-51.5,,,True,,,,,True,,True,,False,,,False,True,,
01027,233,250.0,157.0,,,,,87.0,,73.5,,86.6,,,76.4,202.2,,,17.0,-76.0,,,,,-146.0,,-159.5,,-146.4,,,-156.6,-30.8,,,False,,,,,False,,False,,False,,,False,False,,
01029,196,160.0,194.0,,,,,78.0,,56.8,,82.7,,,14.2,159.3,,,-36.0,-2.0,,,,,-118.0,,-139.2,,-113.3,,,-181.8,-36.7,,,True,,,,,False,,False,,False,,,False,False,,
01031,403,110.0,123.0,,,,,472.0,,249.6,,24.7,,,28.9,142.7,,,-293.0,-280.0,,,,,69.0,,-153.4,,-378.3,,,-374.1,-260.3,,,True,,,,,True,,True,,False,,,False,True,,
01033,315,280.0,309.0,,,,,514.0,,182.5,,96.4,,,15.1,244.9,,,-35.0,-6.0,,,,,199.0,,-132.5,,-218.6,,,-299.9,-70.1,,,True,,,,,False,,False,,False,,,False,False,,
01035,53,0.0,6.0,,,,,77.0,,42.4,,67.8,0.0,,19.7,9.9,,,-53.0,-47.0,,,,,24.0,,-10.6,,14.8,-53.0,,-33.3,-43.1,,,True,,,,,True,,True,,True,True,,True,True,,
01037,46,0.0,0.0,,,,,52.0,,35.5,,0.0,13.7,,9.2,15.3,,,-46.0,-46.0,,,,,6.0,,-10.5,,-46.0,-32.3,,-36.8,-30.7,,,False,,,,,True,,True,,True,True,,True,True,,
01039,394,30.0,69.0,,,,,334.0,,204.9,,31.2,56.9,,16.4,44.9,,,-364.0,-325.0,,,,,-60.0,,-189.1,,-362.8,-337.1,,-377.6,-349.1,,,True,,,,,True,,True,,True,True,,False,True,,
01041,84,55.0,36.0,,,,,152.0,,71.7,,1.8,0.0,,1.7,163.2,,,-29.0,-48.0,,,,,68.0,,-12.3,,-82.2,-84.0,,-82.3,79.2,,,False,,,,,False,,True,,False,False,,False,False,,
01043,381,150.0,185.0,,,,,723.0,,369.9,,6.5,151.9,,59.2,190.0,,,-231.0,-196.0,,,,,342.0,,-11.1,,-374.5,-229.1,,-321.8,-191.0,,,True,,,,,False,,True,,False,True,,False,True,,
01045,392,110.0,117.0,,,,,371.0,,220.3,,9.5,156.9,,68.2,116.2,,,-282.0,-275.0,,,,,-21.0,,-171.7,,-382.5,-235.1,,-323.8,-275.8,,,True,,,,,True,,True,,False,True,,False,True,,
01047,174,135.0,106.0,,,,,326.0,,106.6,,13.5,1.4,,70.6,102.8,,,-39.0,-68.0,,,,,152.0,,-67.4,,-160.5,-172.6,,-103.4,-71.2,,,False,,,,,False,,False,,False,False,,False,False,,
