,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,598,270.0,109.0,,,,466.0,284.4,,44.3,100.4,,,-328.0,-489.0,,,,-132.0,-313.6,,-553.7,-497.6,,,False,,,,True,True,,False,False,,
01003,1883,1620.0,3409.0,,,,1356.0,2256.5,,114.6,2369.5,,,-263.0,1526.0,,,,-527.0,373.5,,-1768.4,486.5,,,False,,,,False,False,,False,False,,
01005,333,0.0,66.0,,,,314.0,13.2,,46.0,53.2,,,-333.0,-267.0,,,,-19.0,-319.8,,-287.1,-279.8,,,True,,,,True,True,,True,True,,
01007,205,120.0,50.0,,,,256.0,74.2,,52.8,179.0,,,-85.0,-155.0,,,,51.0,-130.8,,-152.2,-26.0,,,False,,,,True,False,,False,True,,
01009,709,438.0,567.0,,,,420.0,263.4,,20.5,379.1,,,-271.0,-142.0,,,,-289.0,-445.6,,-688.5,-329.9,,,True,,,,False,False,,False,False,,
01011,89,48.0,11.0,,,,221.0,11.4,,49.0,35.7,,,-41.0,-78.0,,,,132.0,-77.6,,-40.0,-53.3,,,False,,,,False,False,,True,False,,
01013,131,150.0,106.0,,,,225.0,56.9,,78.4,65.4,,,19.0,-25.0,,,,94.0,-74.1,,-52.6,-65.6,,,False,,,,False,False,,False,False,,
01015,1507,1092.0,1594.0,,,,853.0,893.7,,376.9,829.3,,,-415.0,87.0,,,,-654.0,-613.3,,-1130.1,-677.7,,,True,,,,False,False,,False,False,,
01017,400,0.0,0.0,,,,229.0,5.5,,14.1,53.6,,,-400.0,-400.0,,,,-171.0,-394.5,,-385.9,-346.4,,,False,,,,True,True,,True,True,,
01019,325,66.0,52.0,,,,155.0,17.4,,51.4,62.6,,,-259.0,-273.0,,,,-170.0,-307.6,,-273.6,-262.4,,,False,,,,True,False,,False,False,,
01021,688,678.0,1308.0,,,,437.0,963.3,,290.3,466.2,,,-10.0,620.0,,,,-251.0,275.3,,-397.7,-221.8,,,False,,,,False,False,,False,False,,
01023,63,72.0,62.0,,,,109.0,1.4,,1.9,76.4,,,9.0,-1.0,,,,46.0,-61.6,,-61.1,13.4,,,True,,,,False,False,,False,False,,
01025,312,192.0,300.0,,,,324.0,95.2,,182.4,277.9,,,-120.0,-12.0,,,,12.0,-216.8,,-129.6,-34.1,,,True,,,,True,False,,False,True,,
01027,300,156.0,79.0,,,,110.0,75.7,,13.1,111.1,,,-144.0,-221.0,,,,-190.0,-224.3,,-286.9,-188.9,,,False,,,,False,False,,False,False,,
01029,267,144.0,224.0,,,,85.0,28.3,,78.9,111.2,,,-123.0,-43.0,,,,-182.0,-238.7,,-188.1,-155.8,,,True,,,,False,False,,False,False,,
01031,582,294.0,373.0,,,,577.0,141.5,,21.6,244.2,,,-288.0,-209.0,,,,-5.0,-440.5,,-560.4,-337.8,,,True,,,,True,False,,False,False,,
01033,386,486.0,486.0,,,,525.0,285.6,,201.2,429.5,,,100.0,100.0,,,,139.0,-100.4,,-184.8,43.5,,,False,,,,False,False,,False,True,,
01035,120,84.0,42.0,,,,155.0,8.4,0.0,38.0,53.0,,,-36.0,-78.0,,,,35.0,-111.6,-120.0,-82.0,-67.0,,,False,,,,True,False,False,False,False,,
01037,82,0.0,3.0,,,,73.0,2.6,24.5,5.2,38.3,,,-82.0,-79.0,,,,-9.0,-79.4,-57.5,-76.8,-43.7,,,True,,,,True,True,True,True,True,,
01039,751,0.0,89.0,,,,448.0,31.0,75.1,108.4,48.3,,,-751.0,-662.0,,,,-303.0,-720.0,-675.9,-642.6,-702.7,,,True,,,,True,True,True,True,True,,
01041,178,132.0,43.0,,,,166.0,53.6,0.0,2.8,291.9,,,-46.0,-135.0,,,,-12.0,-124.4,-178.0,-175.2,113.9,,,False,,,,True,False,False,False,False,,
01043,627,378.0,461.0,,,,731.0,106.2,176.8,18.3,352.3,,,-249.0,-166.0,,,,104.0,-520.8,-450.2,-608.7,-274.7,,,True,,,,True,False,False,False,False,,
01045,546,288.0,784.0,,,,495.0,158.1,160.9,231.1,141.4,,,-258.0,238.0,,,,-51.0,-387.9,-385.1,-314.9,-404.6,,,True,,,,True,False,False,False,False,,
01047,423,60.0,103.0,,,,481.0,46.6,2.2,87.0,91.7,,,-363.0,-320.0,,,,58.0,-376.4,-420.8,-336.0,-331.3,,,True,,,,True,False,False,True,True,,
