,predicted_cases,actual_cases,error,perc_error
IowaStateLW-STEM,1514959.0,1478620,36339.0,2.5%
COVIDhub-baseline,1419380.0,1478620,-59240.0,-4.0%
Columbia_UNC-SurvCon,1545372.0,1478620,66752.0,4.5%
QJHong-Encounter,1314100.5,1478620,-164519.5,-11.1%
JCB-PRM,1264757.5,1478620,-213862.5,-14.5%
Karlen-pypm,1257604.2,1478620,-221015.8,-14.9%
USACE-ERDC_SEIR,1245803.7,1478620,-232816.3,-15.7%
IBF-TimeSeries,1241071.7,1478620,-237548.3,-16.1%
JHU_IDD-CovidSP,1146088.2,1478620,-332531.8,-22.5%
USC-SI_kJalpha,1114001.0,1478620,-364619.0,-24.7%
Covid19Sim-Simulator,1034181.9,1478620,-444438.1,-30.1%
UCLA-SuEIR,995609.6,1478620,-483010.4,-32.7%
CU-select,2055281.0,1478620,576661.0,39.0%
CovidAnalytics-DELPHI,834985.0,1478620,-643635.0,-43.5%
LANL-GrowthRate,722791.6,1478620,-755828.4,-51.1%
RobertWalraven-ESG,699165.6,1478620,-779454.4,-52.7%
