,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
17005,305,136.0,,,,116.0,,72.3,159.3,,212.0,-169.0,,,,-189.0,,-232.7,-145.7,,-93.0,,,,False,,False,True,,True
17007,611,24.0,37.6,,,317.0,151.9,84.9,60.5,,4.0,-587.0,-573.4,,,-294.0,-459.1,-526.1,-550.5,,-607.0,True,,,True,True,True,True,,False
17009,66,16.0,,,,29.0,,5.4,4.7,,125.0,-50.0,,,,-37.0,,-60.6,-61.3,,59.0,,,,True,,False,False,,False
17011,523,632.0,,,,115.0,398.7,178.9,820.0,,381.0,109.0,,,,-408.0,-124.3,-344.1,297.0,,-142.0,,,,False,False,False,False,,False
17013,54,32.0,,,,4.0,,7.0,13.9,,29.0,-22.0,,,,-50.0,,-47.0,-40.1,,-25.0,,,,False,,False,False,,False
17015,193,200.0,,,,38.0,,308.9,165.1,,288.0,7.0,,,,-155.0,,115.9,-27.9,,95.0,,,,False,,False,False,,False
17017,180,168.0,,,,55.0,0.3,175.1,69.8,,61.0,-12.0,,,,-125.0,-179.7,-4.9,-110.2,,-119.0,,,,False,False,True,False,,False
17019,3534,712.0,1801.3,,,1018.0,613.2,381.7,252.2,,481.0,-2822.0,-1732.7,,,-2516.0,-2920.8,-3152.3,-3281.8,,-3053.0,True,,,True,False,False,False,,False
17021,549,104.0,,,,219.0,162.6,6.1,52.3,,29.0,-445.0,,,,-330.0,-386.4,-542.9,-496.7,,-520.0,,,,True,True,False,False,,False
17023,138,96.0,,,,91.0,,61.9,118.2,,51.0,-42.0,,,,-47.0,,-76.1,-19.8,,-87.0,,,,False,,False,True,,False
17025,211,72.0,,,,65.0,,37.1,,,79.0,-139.0,,,,-146.0,,-173.9,,,-132.0,,,,False,,False,,,True
17027,932,576.0,,,,263.0,229.3,683.8,603.3,,326.0,-356.0,,,,-669.0,-702.7,-248.2,-328.7,,-606.0,,,,False,False,True,True,,False
17029,1029,1024.0,1138.3,,,377.0,190.4,563.5,628.4,,723.0,-5.0,109.3,,,-652.0,-838.6,-465.5,-400.6,,-306.0,False,,,False,False,False,False,,False
17031,38170,35832.0,4277.2,,,23467.0,2919.6,34208.1,63376.0,,22741.0,-2338.0,-33892.8,,,-14703.0,-35250.4,-3961.9,25206.0,,-15429.0,False,,,False,False,False,False,,False
17033,509,48.0,,,,104.0,,3.6,47.8,,442.0,-461.0,,,,-405.0,,-505.4,-461.2,,-67.0,,,,True,,False,False,,True
17035,169,64.0,,,,68.0,,33.7,89.3,,38.0,-105.0,,,,-101.0,,-135.3,-79.7,,-131.0,,,,True,,False,True,,False
17037,882,400.0,844.5,,,415.0,302.5,297.2,313.5,,119.0,-482.0,-37.5,,,-467.0,-579.5,-584.8,-568.5,,-763.0,True,,,True,False,False,False,,False
17039,153,40.0,,,,81.0,,0.0,54.5,,9.0,-113.0,,,,-72.0,,-153.0,-98.5,,-144.0,,,,True,,False,True,,False
17041,230,200.0,,,,116.0,102.3,0.0,213.4,,361.0,-30.0,,,,-114.0,-127.7,-230.0,-16.6,,131.0,,,,False,False,False,True,,False
17043,6341,5280.0,2688.2,,,5069.0,1269.3,5776.0,5154.5,,3353.0,-1061.0,-3652.8,,,-1272.0,-5071.7,-565.0,-1186.5,,-2988.0,False,,,False,False,True,False,,False
17045,99,40.0,,,,96.0,,22.8,57.9,,85.0,-59.0,,,,-3.0,,-76.2,-41.1,,-14.0,,,,True,,False,True,,True
17047,57,64.0,,,,26.0,,1.4,,,46.0,7.0,,,,-31.0,,-55.5,,,-11.0,,,,False,,False,,,False
17049,742,624.0,,,,231.0,142.3,804.4,681.4,,486.0,-118.0,,,,-511.0,-599.7,62.4,-60.6,,-256.0,,,,False,False,True,True,,False
17051,429,104.0,,,,140.0,,36.9,55.1,,296.0,-325.0,,,,-289.0,,-392.1,-373.9,,-133.0,,,,True,,False,False,,True
17053,72,64.0,,,,68.0,,132.9,54.0,,14.0,-8.0,,,,-4.0,,60.9,-18.0,,-58.0,,,,True,,False,False,,False
17055,406,512.0,,,,228.0,309.1,434.6,428.9,,487.0,106.0,,,,-178.0,-96.9,28.6,22.9,,81.0,,,,False,True,True,True,,True
17057,220,88.0,,,,112.0,,34.6,49.6,,78.0,-132.0,,,,-108.0,,-185.4,-170.4,,-142.0,,,,True,,False,False,,False
17059,36,0.0,,,,37.0,,0.4,,,2.0,-36.0,,,,1.0,,-35.6,,,-34.0,,,,True,,True,,,True
17061,176,256.0,,,,62.0,,30.1,,,132.0,80.0,,,,-114.0,,-145.9,,,-44.0,,,,False,,False,,,True
17063,397,496.0,379.5,,,272.0,288.1,232.8,618.9,,547.0,99.0,-17.5,,,-125.0,-108.9,-164.2,221.9,,150.0,True,,,False,False,False,False,,False
17065,55,40.0,,,,57.0,,29.2,,,15.0,-15.0,,,,2.0,,-25.8,,,-40.0,,,,True,,False,,,False
17067,170,256.0,,,,58.0,,447.0,160.4,,235.0,86.0,,,,-112.0,,277.0,-9.6,,65.0,,,,False,,False,True,,True
17069,27,0.0,,,,35.0,,0.8,,,0.0,-27.0,,,,8.0,,-26.2,,,-27.0,,,,True,,True,,,False
17071,63,80.0,,,,13.0,,33.5,,,161.0,17.0,,,,-50.0,,-29.5,,,98.0,,,,False,,False,,,False
17073,462,408.0,,,,185.0,287.4,677.4,214.8,,317.0,-54.0,,,,-277.0,-174.6,215.4,-247.2,,-145.0,,,,False,False,False,False,,False
17075,123,144.0,,,,162.0,211.4,81.6,152.0,,205.0,21.0,,,,39.0,88.4,-41.4,29.0,,82.0,,,,False,False,False,False,,False
17077,585,416.0,567.5,,,379.0,351.5,210.6,361.2,,174.0,-169.0,-17.5,,,-206.0,-233.5,-374.4,-223.8,,-411.0,True,,,False,False,False,False,,False
17079,164,48.0,,,,43.0,,11.1,59.7,,16.0,-116.0,,,,-121.0,,-152.9,-104.3,,-148.0,,,,False,,False,True,,False
17081,427,504.0,,,,283.0,320.5,248.0,905.3,,389.0,77.0,,,,-144.0,-106.5,-179.0,478.3,,-38.0,,,,False,False,False,False,,True
17083,277,328.0,,,,82.0,113.8,227.4,364.5,,184.0,51.0,,,,-195.0,-163.2,-49.6,87.5,,-93.0,,,,False,False,True,False,,False
17085,193,128.0,,,,64.0,253.4,17.1,153.3,,72.0,-65.0,,,,-129.0,60.4,-175.9,-39.7,,-121.0,,,,False,True,False,True,,False
17087,178,88.0,,,,119.0,,28.6,83.8,,30.0,-90.0,,,,-59.0,,-149.4,-94.2,,-148.0,,,,True,,False,False,,False
17089,3908,3576.0,1098.1,,,3458.0,938.5,2291.1,5977.4,,1697.0,-332.0,-2809.9,,,-450.0,-2969.5,-1616.9,2069.4,,-2211.0,False,,,False,False,False,False,,False
17091,1086,848.0,730.5,,,771.0,223.8,822.7,642.5,,1188.0,-238.0,-355.5,,,-315.0,-862.2,-263.3,-443.5,,102.0,False,,,False,False,False,False,,True
17093,781,752.0,617.8,,,567.0,300.6,334.9,905.6,,765.0,-29.0,-163.2,,,-214.0,-480.4,-446.1,124.6,,-16.0,False,,,False,False,False,False,,True
17095,491,432.0,352.0,,,280.0,167.9,396.3,445.9,,300.0,-59.0,-139.0,,,-211.0,-323.1,-94.7,-45.1,,-191.0,False,,,False,False,False,True,,False
17097,4910,4912.0,2952.7,,,4259.0,1368.7,2862.5,5532.6,,3159.0,2.0,-1957.3,,,-651.0,-3541.3,-2047.5,622.6,,-1751.0,False,,,False,False,False,False,,False
17099,1015,1544.0,2146.9,,,462.0,920.5,578.9,1437.7,,838.0,529.0,1131.9,,,-553.0,-94.5,-436.1,422.7,,-177.0,False,,,False,True,True,True,,True
17101,229,80.0,,,,130.0,,23.7,,,221.0,-149.0,,,,-99.0,,-205.3,,,-8.0,,,,True,,False,,,True
17103,306,176.0,,,,164.0,177.9,80.0,48.5,,102.0,-130.0,,,,-142.0,-128.1,-226.0,-257.5,,-204.0,,,,False,True,False,False,,False
17105,326,264.0,,,,183.0,300.9,198.7,398.0,,360.0,-62.0,,,,-143.0,-25.1,-127.3,72.0,,34.0,,,,False,True,False,False,,True
17107,309,632.0,,,,152.0,87.4,115.5,395.5,,502.0,323.0,,,,-157.0,-221.6,-193.4,86.5,,193.0,,,,True,True,True,True,,True
17109,400,112.0,,,,79.0,22.1,32.5,148.2,,85.0,-288.0,,,,-321.0,-377.9,-367.6,-251.8,,-315.0,,,,False,False,False,True,,False
17111,1693,1608.0,1345.2,,,1448.0,1067.6,2186.4,1831.2,,932.0,-85.0,-347.8,,,-245.0,-625.4,493.4,138.2,,-761.0,False,,,False,False,False,False,,False
17113,2796,944.0,933.1,,,589.0,836.1,2296.6,711.5,,1130.0,-1852.0,-1862.9,,,-2207.0,-1959.9,-499.4,-2084.5,,-1666.0,False,,,False,False,True,False,,True
17115,1234,1040.0,638.8,,,547.0,504.3,196.6,1156.8,,662.0,-194.0,-595.2,,,-687.0,-729.7,-1037.4,-77.2,,-572.0,False,,,False,False,False,True,,False
17117,403,520.0,,,,220.0,235.1,283.0,280.9,,699.0,117.0,,,,-183.0,-167.9,-120.0,-122.1,,296.0,,,,False,False,False,False,,False
17119,3230,4168.0,4775.9,,,1975.0,928.0,2986.7,5243.8,,2586.0,938.0,1545.9,,,-1255.0,-2302.0,-243.3,2013.8,,-644.0,False,,,False,False,True,False,,True
17121,557,184.0,,,,219.0,152.4,179.8,51.8,,137.0,-373.0,,,,-338.0,-404.6,-377.2,-505.2,,-420.0,,,,True,False,False,False,,False
17123,86,72.0,,,,33.0,,21.8,55.2,,131.0,-14.0,,,,-53.0,,-64.2,-30.8,,45.0,,,,False,,False,False,,False
17125,140,120.0,,,,43.0,,0.0,42.9,,245.0,-20.0,,,,-97.0,,-140.0,-97.1,,105.0,,,,False,,False,False,,False
17127,88,32.0,,,,153.0,,22.3,44.0,,46.0,-56.0,,,,65.0,,-65.7,-44.0,,-42.0,,,,False,,False,True,,True
17129,82,56.0,,,,38.0,,37.2,14.8,,25.0,-26.0,,,,-44.0,,-44.8,-67.2,,-57.0,,,,False,,False,False,,False
17131,102,32.0,,,,47.0,,4.5,31.3,,8.0,-70.0,,,,-55.0,,-97.5,-70.7,,-94.0,,,,True,,False,False,,False
17133,440,328.0,,,,189.0,76.8,106.0,331.0,,206.0,-112.0,,,,-251.0,-363.2,-334.0,-109.0,,-234.0,,,,False,False,False,True,,False
17135,278,144.0,,,,223.0,134.2,99.2,73.2,,71.0,-134.0,,,,-55.0,-143.8,-178.8,-204.8,,-207.0,,,,True,False,False,False,,False
17137,353,1008.0,,,,198.0,147.8,2621.6,773.6,,600.0,655.0,,,,-155.0,-205.2,2268.6,420.6,,247.0,,,,True,True,False,True,,True
17139,159,256.0,,,,84.0,94.1,139.2,294.7,,143.0,97.0,,,,-75.0,-64.9,-19.8,135.7,,-16.0,,,,True,True,True,False,,True
17141,462,184.0,178.1,,,185.0,286.4,143.0,102.4,,76.0,-278.0,-283.9,,,-277.0,-175.6,-319.0,-359.6,,-386.0,False,,,True,True,False,False,,False
17143,1982,2336.0,3904.9,,,1155.0,830.2,910.5,1955.7,,1304.0,354.0,1922.9,,,-827.0,-1151.8,-1071.5,-26.3,,-678.0,False,,,False,False,False,True,,False
17145,174,336.0,,,,219.0,151.4,332.4,1015.3,,157.0,162.0,,,,45.0,-22.6,158.4,841.3,,-17.0,,,,True,True,True,False,,True
17147,104,48.0,,,,76.0,,103.3,30.1,,23.0,-56.0,,,,-28.0,,-0.7,-73.9,,-81.0,,,,True,,True,False,,False
17149,146,96.0,,,,29.0,,34.6,,,95.0,-50.0,,,,-117.0,,-111.4,,,-51.0,,,,False,,False,,,False
17151,23,16.0,,,,32.0,,1.4,6.9,,64.0,-7.0,,,,9.0,,-21.6,-16.1,,41.0,,,,False,,False,False,,False
17153,108,64.0,,,,73.0,12.4,24.2,26.2,,74.0,-44.0,,,,-35.0,-95.6,-83.8,-81.8,,-34.0,,,,True,False,False,False,,True
17155,61,16.0,,,,17.0,,9.8,,,2.0,-45.0,,,,-44.0,,-51.2,,,-59.0,,,,True,,False,,,False
17157,530,384.0,,,,353.0,183.5,262.2,314.0,,297.0,-146.0,,,,-177.0,-346.5,-267.8,-216.0,,-233.0,,,,False,False,False,False,,False
17159,248,96.0,,,,87.0,,462.4,,,187.0,-152.0,,,,-161.0,,214.4,,,-61.0,,,,False,,False,,,True
17161,1488,952.0,1464.1,,,950.0,436.6,814.3,655.9,,870.0,-536.0,-23.9,,,-538.0,-1051.4,-673.7,-832.1,,-618.0,True,,,False,False,False,False,,False
17163,2798,3336.0,5076.6,,,2083.0,953.7,2657.4,3657.3,,1714.0,538.0,2278.6,,,-715.0,-1844.3,-140.6,859.3,,-1084.0,False,,,False,False,True,False,,False
17165,297,48.0,,,,222.0,193.9,3.7,156.8,,7.0,-249.0,,,,-75.0,-103.1,-293.3,-140.2,,-290.0,,,,True,True,False,True,,False
17167,1501,1544.0,1870.8,,,1109.0,931.6,785.8,1539.2,,768.0,43.0,369.8,,,-392.0,-569.4,-715.2,38.2,,-733.0,False,,,False,False,False,True,,False
17169,52,0.0,,,,18.0,,8.2,3.3,,1.0,-52.0,,,,-34.0,,-43.8,-48.7,,-51.0,,,,True,,True,True,,True
17171,49,128.0,,,,9.0,,25.1,,,88.0,79.0,,,,-40.0,,-23.9,,,39.0,,,,True,,True,,,True
17173,399,176.0,,,,121.0,176.0,153.4,225.4,,144.0,-223.0,,,,-278.0,-223.0,-245.6,-173.6,,-255.0,,,,False,False,False,True,,False
17175,57,0.0,,,,8.0,,1.0,1.9,,0.0,-57.0,,,,-49.0,,-56.0,-55.1,,-57.0,,,,True,,True,True,,False
17177,325,120.0,,,,181.0,31.0,25.8,80.2,,141.0,-205.0,,,,-144.0,-294.0,-299.2,-244.8,,-184.0,,,,True,False,False,False,,True
17179,1407,1392.0,1876.6,,,583.0,1021.3,849.3,3093.2,,907.0,-15.0,469.6,,,-824.0,-385.7,-557.7,1686.2,,-500.0,False,,,False,False,False,False,,False
17181,298,184.0,,,,195.0,46.3,31.9,199.9,,74.0,-114.0,,,,-103.0,-251.7,-266.1,-98.1,,-224.0,,,,True,False,False,True,,False
17183,947,240.0,391.5,,,477.0,207.1,111.1,174.5,,206.0,-707.0,-555.5,,,-470.0,-739.9,-835.9,-772.5,,-741.0,True,,,True,False,False,False,,False
17185,131,192.0,,,,77.0,,380.5,108.2,,270.0,61.0,,,,-54.0,,249.5,-22.8,,139.0,,,,True,,False,True,,False
17187,186,72.0,,,,80.0,78.3,63.4,127.2,,41.0,-114.0,,,,-106.0,-107.7,-122.6,-58.8,,-145.0,,,,True,True,False,True,,False
17189,181,56.0,,,,67.0,,0.0,72.4,,54.0,-125.0,,,,-114.0,,-181.0,-108.6,,-127.0,,,,True,,False,True,,False
17191,288,96.0,,,,117.0,,18.8,130.5,,39.0,-192.0,,,,-171.0,,-269.2,-157.5,,-249.0,,,,True,,False,True,,False
17193,123,104.0,,,,85.0,,34.1,,,118.0,-19.0,,,,-38.0,,-88.9,,,-5.0,,,,False,,False,,,True
17195,592,296.0,278.5,,,203.0,152.4,295.0,461.0,,282.0,-296.0,-313.5,,,-389.0,-439.6,-297.0,-131.0,,-310.0,False,,,False,False,False,True,,False
17197,5590,5224.0,2366.8,,,3753.0,1349.8,5751.7,5359.8,,3558.0,-366.0,-3223.2,,,-1837.0,-4240.2,161.7,-230.2,,-2032.0,False,,,False,False,True,True,,False
17199,1020,992.0,1448.8,,,661.0,316.8,1168.3,1554.1,,862.0,-28.0,428.8,,,-359.0,-703.2,148.3,534.1,,-158.0,False,,,False,False,False,False,,False
17201,3810,648.0,1732.6,,,1850.0,245.5,728.7,572.7,,332.0,-3162.0,-2077.4,,,-1960.0,-3564.5,-3081.3,-3237.3,,-3478.0,True,,,True,False,True,False,,False
17203,292,304.0,,,,167.0,338.2,44.5,510.7,,192.0,12.0,,,,-125.0,46.2,-247.5,218.7,,-100.0,,,,False,False,False,False,,False
18001,227,288.0,,,,153.0,270.2,114.2,157.6,,822.0,61.0,,,,-74.0,43.2,-112.8,-69.4,,595.0,,,,False,True,False,False,,False
18003,2800,3120.0,3682.9,,,1922.0,960.6,833.9,2996.0,,4146.0,320.0,882.9,,,-878.0,-1839.4,-1966.1,196.0,,1346.0,False,,,False,False,False,True,,False
18005,385,864.0,167.4,,,379.0,127.8,1678.2,1196.6,,1503.0,479.0,-217.6,,,-6.0,-257.2,1293.2,811.6,,1118.0,True,,,True,True,False,False,,False
18007,29,56.0,,,,32.0,,0.3,29.5,,157.0,27.0,,,,3.0,,-28.7,0.5,,128.0,,,,True,,False,True,,False
18009,94,24.0,,,,52.0,,7.5,24.8,,29.0,-70.0,,,,-42.0,,-86.5,-69.2,,-65.0,,,,True,,False,True,,True
18011,372,432.0,212.9,,,363.0,299.1,457.1,830.4,,403.0,60.0,-159.1,,,-9.0,-72.9,85.1,458.4,,31.0,False,,,True,False,False,False,,True
18013,44,40.0,,,,25.0,,36.8,46.0,,19.0,-4.0,,,,-19.0,,-7.2,2.0,,-25.0,,,,False,,False,True,,False
18015,75,320.0,,,,107.0,132.3,66.5,363.7,,404.0,245.0,,,,32.0,57.3,-8.5,288.7,,329.0,,,,True,True,True,False,,False
18017,294,256.0,,,,280.0,3.7,251.1,210.8,,27.0,-38.0,,,,-14.0,-290.3,-42.9,-83.2,,-267.0,,,,True,False,False,False,,False
18019,1157,1464.0,572.8,,,599.0,279.4,1192.2,1727.9,,1165.0,307.0,-584.2,,,-558.0,-877.6,35.2,570.9,,8.0,False,,,False,False,True,False,,True
18021,204,376.0,,,,104.0,80.5,166.3,248.2,,787.0,172.0,,,,-100.0,-123.5,-37.7,44.2,,583.0,,,,True,True,True,True,,False
18023,250,352.0,,,,199.0,108.7,40.7,253.5,,402.0,102.0,,,,-51.0,-141.3,-209.3,3.5,,152.0,,,,True,False,False,True,,False
18025,76,64.0,,,,14.0,,15.3,26.8,,190.0,-12.0,,,,-62.0,,-60.7,-49.2,,114.0,,,,False,,False,False,,False
18027,431,360.0,,,,144.0,137.8,146.2,1280.7,,266.0,-71.0,,,,-287.0,-293.2,-284.8,849.7,,-165.0,,,,False,False,False,False,,False
18029,236,296.0,,,,161.0,139.3,125.6,166.7,,119.0,60.0,,,,-75.0,-96.7,-110.4,-69.3,,-117.0,,,,False,False,False,False,,False
18031,118,184.0,,,,74.0,109.6,15.2,605.4,,124.0,66.0,,,,-44.0,-8.4,-102.8,487.4,,6.0,,,,True,True,False,False,,True
18033,334,160.0,,,,185.0,111.3,0.0,162.0,,157.0,-174.0,,,,-149.0,-222.7,-334.0,-172.0,,-177.0,,,,True,False,False,True,,False
18035,1597,656.0,390.6,,,613.0,237.1,347.7,654.2,,731.0,-941.0,-1206.4,,,-984.0,-1359.9,-1249.3,-942.8,,-866.0,False,,,False,False,False,False,,True
18037,442,432.0,,,,217.0,258.5,36.3,233.9,,177.0,-10.0,,,,-225.0,-183.5,-405.7,-208.1,,-265.0,,,,False,False,False,False,,False
18039,2343,2408.0,1163.6,,,1385.0,261.0,2149.1,1850.7,,1365.0,65.0,-1179.4,,,-958.0,-2082.0,-193.9,-492.3,,-978.0,False,,,False,False,False,False,,False
18041,273,232.0,,,,97.0,76.7,160.5,201.3,,250.0,-41.0,,,,-176.0,-196.3,-112.5,-71.7,,-23.0,,,,False,False,False,False,,True
18043,700,840.0,364.5,,,338.0,159.1,760.4,829.4,,561.0,140.0,-335.5,,,-362.0,-540.9,60.4,129.4,,-139.0,False,,,False,False,True,True,,True
18045,132,24.0,,,,86.0,,0.8,16.0,,39.0,-108.0,,,,-46.0,,-131.2,-116.0,,-93.0,,,,True,,False,False,,True
18047,74,96.0,,,,62.0,165.0,8.4,299.1,,39.0,22.0,,,,-12.0,91.0,-65.6,225.1,,-35.0,,,,True,False,False,False,,False
18049,106,104.0,,,,146.0,69.0,38.5,553.7,,50.0,-2.0,,,,40.0,-37.0,-67.5,447.7,,-56.0,,,,False,False,False,False,,False
18051,471,200.0,,,,168.0,207.6,85.1,275.0,,272.0,-271.0,,,,-303.0,-263.4,-385.9,-196.0,,-199.0,,,,False,True,False,True,,True
18053,529,96.0,573.4,,,313.0,141.4,6.6,181.4,,35.0,-433.0,44.4,,,-216.0,-387.6,-522.4,-347.6,,-494.0,True,,,True,True,False,True,,False
18055,206,136.0,,,,152.0,118.3,105.1,128.8,,129.0,-70.0,,,,-54.0,-87.7,-100.9,-77.2,,-77.0,,,,True,False,False,False,,False
18057,2349,3040.0,1830.1,,,1784.0,1252.0,2046.1,4830.8,,3610.0,691.0,-518.9,,,-565.0,-1097.0,-302.9,2481.8,,1261.0,True,,,True,False,True,False,,False
18059,328,512.0,180.1,,,311.0,208.2,409.7,702.9,,443.0,184.0,-147.9,,,-17.0,-119.8,81.7,374.9,,115.0,True,,,True,True,True,False,,True
18061,294,360.0,,,,113.0,102.4,359.4,650.4,,377.0,66.0,,,,-181.0,-191.6,65.4,356.4,,83.0,,,,False,False,True,False,,False
18063,945,1000.0,304.6,,,886.0,231.8,629.9,2569.0,,1280.0,55.0,-640.4,,,-59.0,-713.2,-315.1,1624.0,,335.0,False,,,False,False,False,False,,False
18065,503,1008.0,,,,268.0,282.2,78.4,385.2,,1595.0,505.0,,,,-235.0,-220.8,-424.6,-117.8,,1092.0,,,,True,True,True,True,,False
18067,512,648.0,521.4,,,499.0,210.5,465.6,704.0,,640.0,136.0,9.4,,,-13.0,-301.5,-46.4,192.0,,128.0,True,,,True,False,True,False,,True
18069,192,72.0,,,,187.0,96.6,87.9,35.1,,120.0,-120.0,,,,-5.0,-95.4,-104.1,-156.9,,-72.0,,,,True,True,True,False,,True
18071,287,288.0,,,,148.0,62.4,298.4,166.8,,539.0,1.0,,,,-139.0,-224.6,11.4,-120.2,,252.0,,,,False,False,False,False,,False
18073,168,288.0,,,,184.0,180.4,166.7,270.3,,377.0,120.0,,,,16.0,12.4,-1.3,102.3,,209.0,,,,True,True,True,True,,False
18075,135,64.0,,,,74.0,35.3,21.1,30.8,,262.0,-71.0,,,,-61.0,-99.7,-113.9,-104.2,,127.0,,,,True,False,False,False,,False
18077,123,160.0,,,,84.0,41.6,140.2,85.2,,328.0,37.0,,,,-39.0,-81.4,17.2,-37.8,,205.0,,,,False,False,True,False,,False
18079,103,88.0,,,,78.0,57.6,33.8,34.3,,104.0,-15.0,,,,-25.0,-45.4,-69.2,-68.7,,1.0,,,,False,False,False,False,,True
18081,818,736.0,410.8,,,931.0,489.9,622.5,446.2,,685.0,-82.0,-407.2,,,113.0,-328.1,-195.5,-371.8,,-133.0,False,,,False,False,False,False,,False
18083,411,264.0,,,,165.0,157.4,36.8,468.4,,324.0,-147.0,,,,-246.0,-253.6,-374.2,57.4,,-87.0,,,,False,False,False,True,,True
18085,599,272.0,823.1,,,348.0,98.4,112.2,170.8,,110.0,-327.0,224.1,,,-251.0,-500.6,-486.8,-428.2,,-489.0,True,,,True,False,False,False,,False
18087,132,120.0,,,,247.0,63.7,6.5,87.8,,64.0,-12.0,,,,115.0,-68.3,-125.5,-44.2,,-68.0,,,,False,False,False,False,,False
18089,3696,4288.0,2749.3,,,2380.0,1224.6,2170.1,4038.5,,3681.0,592.0,-946.7,,,-1316.0,-2471.4,-1525.9,342.5,,-15.0,False,,,False,False,False,True,,True
18091,822,680.0,389.1,,,523.0,192.0,723.0,631.8,,680.0,-142.0,-432.9,,,-299.0,-630.0,-99.0,-190.2,,-142.0,False,,,False,False,True,False,,False
18093,264,160.0,,,,176.0,117.5,115.2,181.3,,104.0,-104.0,,,,-88.0,-146.5,-148.8,-82.7,,-160.0,,,,True,False,False,True,,False
18095,918,1088.0,187.1,,,753.0,253.1,369.4,474.6,,1777.0,170.0,-730.9,,,-165.0,-664.9,-548.6,-443.4,,859.0,False,,,True,False,False,False,,False
18097,6499,6704.0,2329.0,,,6789.0,248.6,9561.3,6698.9,,4645.0,205.0,-4170.0,,,290.0,-6250.4,3062.3,199.9,,-1854.0,False,,,False,False,False,True,,False
18099,331,264.0,,,,273.0,95.7,51.1,128.1,,150.0,-67.0,,,,-58.0,-235.3,-279.9,-202.9,,-181.0,,,,True,False,False,False,,False
18101,134,88.0,,,,24.0,,17.5,127.6,,253.0,-46.0,,,,-110.0,,-116.5,-6.4,,119.0,,,,False,,False,True,,False
18103,195,120.0,,,,260.0,86.0,78.3,80.9,,66.0,-75.0,,,,65.0,-109.0,-116.7,-114.1,,-129.0,,,,True,False,False,False,,False
18105,2166,384.0,1342.5,,,605.0,246.0,276.5,205.9,,222.0,-1782.0,-823.5,,,-1561.0,-1920.0,-1889.5,-1960.1,,-1944.0,True,,,True,False,False,False,,False
18107,162,128.0,,,,223.0,26.6,12.2,110.8,,109.0,-34.0,,,,61.0,-135.4,-149.8,-51.2,,-53.0,,,,False,False,False,False,,False
18109,319,304.0,86.2,,,359.0,219.3,135.2,630.3,,371.0,-15.0,-232.8,,,40.0,-99.7,-183.8,311.3,,52.0,False,,,False,False,False,False,,False
18111,66,32.0,,,,64.0,33.2,0.7,21.9,,53.0,-34.0,,,,-2.0,-32.8,-65.3,-44.1,,-13.0,,,,True,True,False,False,,True
18113,276,488.0,,,,192.0,126.0,320.9,306.4,,599.0,212.0,,,,-84.0,-150.0,44.9,30.4,,323.0,,,,True,True,True,True,,False
18115,21,8.0,,,,8.0,,87.1,40.8,,13.0,-13.0,,,,-13.0,,66.1,19.8,,-8.0,,,,False,,False,False,,True
18117,142,168.0,,,,60.0,37.8,72.0,98.9,,474.0,26.0,,,,-82.0,-104.2,-70.0,-43.1,,332.0,,,,False,False,False,False,,False
18119,69,216.0,,,,72.0,155.1,47.1,288.5,,478.0,147.0,,,,3.0,86.1,-21.9,219.5,,409.0,,,,True,True,True,False,,False
18121,98,72.0,,,,66.0,,36.6,51.4,,70.0,-26.0,,,,-32.0,,-61.4,-46.6,,-28.0,,,,False,,False,False,,False
18123,66,56.0,,,,56.0,33.9,58.4,37.9,,87.0,-10.0,,,,-10.0,-32.1,-7.6,-28.1,,21.0,,,,False,False,True,False,,False
18125,195,160.0,,,,48.0,,17.2,155.5,,124.0,-35.0,,,,-147.0,,-177.8,-39.5,,-71.0,,,,False,,False,False,,False
18127,1111,1152.0,908.3,,,623.0,490.8,580.8,704.6,,1167.0,41.0,-202.7,,,-488.0,-620.2,-530.2,-406.4,,56.0,False,,,False,False,False,False,,False
18129,361,128.0,,,,128.0,187.2,59.8,77.9,,58.0,-233.0,,,,-233.0,-173.8,-301.2,-283.1,,-303.0,,,,False,True,False,False,,False
18131,41,48.0,,,,80.0,,156.2,16.5,,149.0,7.0,,,,39.0,,115.2,-24.5,,108.0,,,,False,,False,False,,False
18133,317,432.0,,,,195.0,98.6,124.2,496.1,,554.0,115.0,,,,-122.0,-218.4,-192.8,179.1,,237.0,,,,False,False,False,False,,False
18135,143,128.0,,,,79.0,139.1,20.9,90.3,,188.0,-15.0,,,,-64.0,-3.9,-122.1,-52.7,,45.0,,,,False,True,False,False,,False
