,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01101,2094,3680.0,962.2,,,2969.0,1089.8,3004.7,3898.3,,,1586.0,-1131.8,,,875.0,-1004.2,910.7,1804.3,,,True,,,True,True,True,False,,
01103,1120,952.0,860.9,,,1343.0,305.3,509.0,749.2,,,-168.0,-259.1,,,223.0,-814.7,-611.0,-370.8,,,False,,,False,False,False,False,,
01105,82,120.0,,,,92.0,0.0,19.9,128.4,,,38.0,,,,10.0,-82.0,-62.1,46.4,,,,,,True,False,False,False,,
01107,275,336.0,,,,258.0,72.5,225.6,150.6,,,61.0,,,,-17.0,-202.5,-49.4,-124.4,,,,,,True,False,True,False,,
01109,476,152.0,,,,380.0,0.1,235.3,296.7,,,-324.0,,,,-96.0,-475.9,-240.7,-179.3,,,,,,True,False,True,True,,
01111,309,104.0,,,,217.0,67.9,97.5,69.3,,,-205.0,,,,-92.0,-241.1,-211.5,-239.7,,,,,,True,False,False,False,,
01113,418,376.0,2288.6,,,598.0,53.8,63.2,913.4,,,-42.0,1870.6,,,180.0,-364.2,-354.8,495.4,,,False,,,False,False,False,False,,
01115,1071,536.0,1242.6,,,772.0,431.0,165.1,350.5,,,-535.0,171.6,,,-299.0,-640.0,-905.9,-720.5,,,True,,,True,False,False,False,,
01117,2986,1648.0,10288.9,,,1866.0,431.3,942.4,894.1,,,-1338.0,7302.9,,,-1120.0,-2554.7,-2043.6,-2091.9,,,False,,,True,False,False,False,,
01119,73,104.0,,,,147.0,0.3,89.0,123.0,,,31.0,,,,74.0,-72.7,16.0,50.0,,,,,,False,False,True,False,,
01121,986,904.0,1497.1,,,909.0,330.2,524.4,771.0,,,-82.0,511.1,,,-77.0,-655.8,-461.6,-215.0,,,False,,,True,False,False,False,,
01123,254,264.0,,,,399.0,33.7,33.9,293.7,,,10.0,,,,145.0,-220.3,-220.1,39.7,,,,,,False,False,False,False,,
01125,4917,1768.0,1159.5,,,2247.0,466.7,1771.4,1178.4,,,-3149.0,-3757.5,,,-2670.0,-4450.3,-3145.6,-3738.6,,,False,,,True,False,True,False,,
01127,867,632.0,565.1,,,843.0,119.7,351.8,349.8,,,-235.0,-301.9,,,-24.0,-747.3,-515.2,-517.2,,,False,,,True,False,False,False,,
01129,133,624.0,,,,276.0,104.8,150.1,474.2,,,491.0,,,,143.0,-28.2,17.1,341.2,,,,,,True,True,True,True,,
01131,85,176.0,,,,115.0,1.3,58.8,69.4,,,91.0,,,,30.0,-83.7,-26.2,-15.6,,,,,,True,True,True,True,,
01133,347,112.0,,,,302.0,106.5,148.1,54.3,,,-235.0,,,,-45.0,-240.5,-198.9,-292.7,,,,,,True,False,True,False,,
02013,11,0.0,,,,,,0.3,0.8,,,-11.0,,,,,,-10.7,-10.2,,,,,,,,True,True,,
02016,6,8.0,,,,,,4.6,7.5,,,2.0,,,,,,-1.4,1.5,,,,,,,,True,True,,
02020,2931,2464.0,4154.9,,,,879.8,1585.8,2985.7,,,-467.0,1223.9,,,,-2051.2,-1345.2,54.7,,,False,,,,False,False,True,,
02050,143,56.0,,,,,,8.6,73.5,,,-87.0,,,,,,-134.4,-69.5,,,,,,,,False,True,,
02060,0,16.0,,,,,,0.5,20.1,,,16.0,,,,,,0.5,20.1,,,,,,,,True,False,,
02068,13,0.0,,,,,,0.0,,,,-13.0,,,,,,-13.0,,,,,,,,,False,,,
02070,10,8.0,,,,,,3.2,,,,-2.0,,,,,,-6.8,,,,,,,,,False,,,
02090,1044,400.0,890.3,,,,174.8,179.4,359.2,,,-644.0,-153.7,,,,-869.2,-864.6,-684.8,,,True,,,,False,False,False,,
02100,1,8.0,,,,,,0.0,12.4,,,7.0,,,,,,-1.0,11.4,,,,,,,,True,False,,
