,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,299,270.0,346.9,250.0,265.0,,,,,,440.0,314.8,,195.4,280.8,,546.0,,,176.1,,,,,,-29.0,47.9,-49.0,-34.0,,,,,,141.0,15.8,,-103.6,-18.2,,247.0,,,-122.9,,,,,,False,False,False,,,,,,False,True,,False,True,,False,,,False,,,,,
01003,1248,2472.0,2174.5,2289.0,3817.0,,,,,,2039.0,2330.7,,3432.1,2055.0,,2626.0,,,2455.5,3016.0,,,,,1224.0,926.5,1041.0,2569.0,,,,,,791.0,1082.7,,2184.1,807.0,,1378.0,,,1207.5,1768.0,,,,,True,True,False,,,,,,True,True,,False,True,,False,,,True,False,,,,
01005,109,153.0,,143.0,207.0,,,,,,177.0,152.0,,89.7,166.1,,316.0,,,120.9,,,,,,44.0,,34.0,98.0,,,,,,68.0,43.0,,-19.3,57.1,,207.0,,,11.9,,,,,,,True,False,,,,,,False,True,,True,False,,False,,,True,,,,,
01007,157,156.0,,139.0,185.0,,,,,,127.0,173.4,,118.9,163.0,,222.0,,,172.5,,,,,,-1.0,,-18.0,28.0,,,,,,-30.0,16.4,,-38.1,6.0,,65.0,,,15.5,,,,,,,False,False,,,,,,False,False,,False,False,,False,,,False,,,,,
01009,360,444.0,400.5,425.0,665.0,,,,,,361.0,641.1,,454.9,380.8,,483.0,,,487.4,,,,,,84.0,40.5,65.0,305.0,,,,,,1.0,281.1,,94.9,20.8,,123.0,,,127.4,,,,,,True,True,False,,,,,,True,False,,False,True,,False,,,False,,,,,
01011,89,48.0,,25.0,0.0,,,,,,79.0,29.4,,15.7,43.0,,215.0,,,34.9,,,,,,-41.0,,-64.0,-89.0,,,,,,-10.0,-59.6,,-73.3,-46.0,,126.0,,,-54.1,,,,,,,False,False,,,,,,True,False,,False,False,,False,,,False,,,,,
01013,81,117.0,,84.0,79.0,,,,,,238.0,43.8,,44.0,108.0,,391.0,,,93.0,,,,,,36.0,,3.0,-2.0,,,,,,157.0,-37.2,,-37.0,27.0,,310.0,,,12.0,,,,,,,True,True,,,,,,False,False,,False,True,,False,,,True,,,,,
01015,914,915.0,799.0,852.0,1097.0,,,,,,811.0,1045.1,,1100.8,990.1,,972.0,,,540.1,,,,,,1.0,-115.0,-62.0,183.0,,,,,,-103.0,131.1,,186.8,76.1,,58.0,,,-373.9,,,,,,False,False,False,,,,,,False,False,,False,False,,False,,,False,,,,,
01017,107,111.0,,118.0,90.0,,,,,,222.0,197.5,,81.5,140.1,,421.0,,,101.1,,,,,,4.0,,11.0,-17.0,,,,,,115.0,90.5,,-25.5,33.1,,314.0,,,-5.9,,,,,,,False,False,,,,,,False,False,,False,False,,False,,,False,,,,,
01019,128,102.0,,101.0,125.0,,,,,,100.0,185.0,,45.1,94.1,,129.0,,,102.5,,,,,,-26.0,,-27.0,-3.0,,,,,,-28.0,57.0,,-82.9,-33.9,,1.0,,,-25.5,,,,,,,False,True,,,,,,False,False,,False,False,,True,,,True,,,,,
