,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,2141567.0,2108851,32716.0,1.6%
COVIDhub-baseline,2023420.0,2108851,-85431.0,-4.1%
JHU_IDD-CovidSP,1846573.3,2108851,-262277.7,-12.4%
UCLA-SuEIR,2404995.4,2108851,296144.4,14.0%
USACE-ERDC_SEIR,1655079.8,2108851,-453771.2,-21.5%
IowaStateLW-STEM,2580834.0,2108851,471983.0,22.4%
CovidAnalytics-DELPHI,1612493.0,2108851,-496358.0,-23.5%
Covid19Sim-Simulator,2729310.9,2108851,620459.9,29.4%
LANL-GrowthRate,1423059.9,2108851,-685791.1,-32.5%
USC-SI_kJalpha,2874057.3,2108851,765206.3,36.3%
