,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,18231,22438.0,25135.0,,34741.4,29117.0,21282.3,12246.8,42732.1,24816.0,23289.9,43175.4,25628.3,22941.3,24185.0,,26591.7,34943.2,32413.6,23047.6,17737.0,4207.0,6904.0,,16510.4,10886.0,3051.3,-5984.2,24501.1,6585.0,5058.9,24944.4,7397.3,4710.3,5954.0,,8360.7,16712.2,14182.6,4816.6,-494.0,False,,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,True
Alaska,1020,1594.0,1778.0,,1890.7,1591.0,1360.5,829.0,32.9,,2395.5,3518.5,1777.1,1621.1,2402.0,,2298.6,2283.0,,2555.7,1700.0,574.0,758.0,,870.7,571.0,340.5,-191.0,-987.1,,1375.5,2498.5,757.1,601.1,1382.0,,1278.6,1263.0,,1535.7,680.0,False,,False,True,True,True,False,,False,False,False,False,False,,False,False,,False,False
Arizona,15652,33922.0,29768.0,,26534.4,29634.0,32143.6,18794.1,100954.5,34635.0,18744.9,33306.2,22679.0,29902.9,28074.0,,29768.6,31164.3,43892.7,25967.0,23449.0,18270.0,14116.0,,10882.4,13982.0,16491.6,3142.1,85302.5,18983.0,3092.9,17654.2,7027.0,14250.9,12422.0,,14116.6,15512.3,28240.7,10315.0,7797.0,True,,True,True,True,True,False,False,True,True,True,True,True,,True,True,False,True,True
Arkansas,9219,10384.0,10206.0,,11058.5,12464.0,8908.8,4787.9,9886.7,11537.0,10638.5,15471.9,8374.0,9015.2,10823.0,,10320.7,10200.7,13621.9,8600.0,8911.0,1165.0,987.0,,1839.5,3245.0,-310.2,-4431.1,667.7,2318.0,1419.5,6252.9,-845.0,-203.8,1604.0,,1101.7,981.7,4402.9,-619.0,-308.0,True,,False,False,True,False,True,False,False,False,True,True,False,,True,True,False,True,True
California,111381,120322.0,124633.0,,139949.2,145219.0,98357.4,56454.5,150243.2,138697.0,138111.5,123016.5,72114.3,102401.3,118633.0,,110004.0,137873.0,164264.3,83067.5,98332.0,8941.0,13252.0,,28568.2,33838.0,-13023.6,-54926.5,38862.2,27316.0,26730.5,11635.5,-39266.7,-8979.7,7252.0,,-1377.0,26492.0,52883.3,-28313.5,-13049.0,False,,False,False,False,False,False,False,False,False,False,False,True,,True,False,False,False,False
Colorado,5570,6956.0,6725.0,,10260.5,2848.0,6851.8,3582.4,12082.6,6992.0,9561.4,15043.7,5497.3,6649.8,8667.0,,5492.7,6445.0,,5865.7,6553.0,1386.0,1155.0,,4690.5,-2722.0,1281.8,-1987.6,6512.6,1422.0,3991.4,9473.7,-72.7,1079.8,3097.0,,-77.3,875.0,,295.7,983.0,True,,False,False,True,False,False,False,False,False,True,True,False,,True,True,,True,True
Connecticut,1087,2068.0,1926.0,,1949.1,94.0,1005.0,925.1,7409.7,1667.0,2843.0,2426.8,1372.0,1317.3,2788.0,,920.8,1968.6,,2140.4,2844.0,981.0,839.0,,862.1,-993.0,-82.0,-161.9,6322.7,580.0,1756.0,1339.8,285.0,230.3,1701.0,,-166.2,881.6,,1053.4,1757.0,True,,True,False,True,True,False,True,False,False,True,True,False,,True,True,,False,False
Delaware,1519,1404.0,1338.0,,1467.0,270.0,1509.0,732.6,1810.5,1365.0,1374.6,2011.2,966.1,1183.5,1344.0,,1234.8,1736.7,,1063.5,1386.0,-115.0,-181.0,,-52.0,-1249.0,-10.0,-786.4,291.5,-154.0,-144.4,492.2,-552.9,-335.5,-175.0,,-284.2,217.7,,-455.5,-133.0,False,,True,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False
District of Columbia,954,680.0,666.0,,1379.8,307.0,711.8,144.2,1363.8,1071.0,817.6,1337.3,208.8,353.5,566.0,,,907.7,,353.5,488.0,-274.0,-288.0,,425.8,-647.0,-242.2,-809.8,409.8,117.0,-136.4,383.3,-745.2,-600.5,-388.0,,,-46.3,,-600.5,-466.0,False,,False,False,True,False,False,True,True,False,False,False,False,,,True,,False,False
Florida,89609,131034.0,121445.0,,158995.1,146400.0,127116.7,64109.9,246380.3,133734.0,100824.6,171720.3,89392.4,108354.2,118747.0,,111812.1,118047.1,146403.2,90249.3,98053.0,41425.0,31836.0,,69386.1,56791.0,37507.7,-25499.1,156771.3,44125.0,11215.6,82111.3,-216.6,18745.2,29138.0,,22203.1,28438.1,56794.2,640.3,8444.0,True,,False,False,True,True,False,False,True,False,True,True,True,,True,True,False,True,True
