,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,63710,46674.0,,54963.7,54193.0,60908.0,50734.0,32997.9,64328.5,38434.2,63643.0,-17036.0,,-8746.3,-9517.0,-2802.0,-12976.0,-30712.1,618.5,-25275.8,-67.0,,True,True,True,True,False,True,False,True
Alaska,3654,1536.0,,1507.8,2971.1,649.0,,1406.6,1412.2,2622.4,12557.6,-2118.0,,-2146.2,-682.9,-3005.0,,-2247.4,-2241.8,-1031.6,8903.6,,False,True,False,,False,False,True,False
Arizona,98087,146658.0,,257609.1,210932.3,223171.0,155913.0,120940.0,97860.1,106032.6,120568.7,48571.0,,159522.1,112845.3,125084.0,57826.0,22853.0,-226.9,7945.6,22481.7,,False,False,False,False,True,True,True,True
Arkansas,29183,23394.0,,29194.9,41121.4,30741.0,37732.0,18493.1,30849.5,19606.1,21566.8,-5789.0,,11.9,11938.4,1558.0,8549.0,-10689.9,1666.5,-9576.9,-7616.2,,True,False,True,False,False,True,False,False
California,365099,253218.0,,418303.4,548122.7,285487.0,353256.0,425727.7,349134.7,211351.9,119757.9,-111881.0,,53204.4,183023.7,-79612.0,-11843.0,60628.7,-15964.3,-153747.1,-245341.1,,True,False,True,True,True,True,False,False
Colorado,18972,11058.0,,10263.3,9724.1,3322.0,13342.0,6052.4,8433.2,2975.4,16134.1,-7914.0,,-8708.7,-9247.9,-15650.0,-5630.0,-12919.6,-10538.8,-15996.6,-2837.9,,False,False,False,True,False,False,False,True
Connecticut,4180,3066.0,,639.9,2662.7,567.0,1484.0,820.4,1975.7,366.6,1878.9,-1114.0,,-3540.1,-1517.3,-3613.0,-2696.0,-3359.6,-2204.3,-3813.4,-2301.1,,False,False,False,False,False,False,False,False
Delaware,4427,5430.0,,3831.0,4970.0,1266.0,2584.0,3073.5,2703.1,428.0,7796.6,1003.0,,-596.0,543.0,-3161.0,-1843.0,-1353.5,-1723.9,-3999.0,3369.6,,True,True,False,False,False,False,False,False
District of Columbia,2712,1386.0,,565.5,797.7,397.0,2012.0,642.9,856.9,310.7,732.6,-1326.0,,-2146.5,-1914.3,-2315.0,-700.0,-2069.1,-1855.1,-2401.3,-1979.4,,False,False,False,True,False,False,False,False
Florida,379585,345042.0,,791991.2,1461002.3,352897.0,421716.0,436999.2,264398.3,407898.6,326680.6,-34543.0,,412406.2,1081417.3,-26688.0,42131.0,57414.2,-115186.7,28313.6,-52904.4,,False,False,True,False,False,False,True,False
Georgia,141849,110004.0,,135879.1,392482.8,80109.0,81458.0,69984.9,98756.4,73743.6,235556.5,-31845.0,,-5969.9,250633.8,-61740.0,-60391.0,-71864.1,-43092.6,-68105.4,93707.5,,True,False,False,False,False,False,False,False
Hawaii,3826,762.0,,1257.8,1820.1,105.0,,612.6,1003.9,18.7,2172.0,-3064.0,,-2568.2,-2005.9,-3721.0,,-3213.4,-2822.1,-3807.3,-1654.0,,True,True,False,,False,True,False,True
Idaho,20105,12288.0,,25260.3,15166.0,7839.0,35309.0,14424.7,19626.6,35142.6,21591.4,-7817.0,,5155.3,-4939.0,-12266.0,15204.0,-5680.3,-478.4,15037.6,1486.4,,True,True,False,False,True,True,False,True
Illinois,59239,33210.0,,13607.0,25106.9,3254.0,47408.0,17413.1,21992.8,3939.7,49033.1,-26029.0,,-45632.0,-34132.1,-55985.0,-11831.0,-41825.9,-37246.2,-55299.3,-10205.9,,False,False,False,True,False,False,False,True
Indiana,32244,17142.0,,16715.2,13805.6,6111.0,10862.0,14660.4,14769.2,5669.9,26846.5,-15102.0,,-15528.8,-18438.4,-26133.0,-21382.0,-17583.6,-17474.8,-26574.1,-5397.5,,False,False,False,False,False,False,False,True
Iowa,21004,17928.0,,18570.5,15591.3,4387.0,10045.0,12241.0,19668.4,5809.8,30752.7,-3076.0,,-2433.5,-5412.7,-16617.0,-10959.0,-8763.0,-1335.6,-15194.2,9748.7,,True,False,False,False,False,True,False,False
Kansas,17974,13764.0,,17493.9,17075.1,2928.0,14717.0,8068.2,11120.4,3192.3,45302.5,-4210.0,,-480.1,-898.9,-15046.0,-3257.0,-9905.8,-6853.6,-14781.7,27328.5,,True,True,False,True,False,False,False,False
