,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,29450,38688.0,38191.0,,50407.3,48329.0,25560.9,14134.1,58198.0,39730.0,38101.1,67088.0,24442.8,33243.4,53306.0,,28724.9,42291.6,54760.1,25400.7,33123.0,9238.0,8741.0,,20957.3,18879.0,-3889.1,-15315.9,28748.0,10280.0,8651.1,37638.0,-5007.2,3793.4,23856.0,,-725.1,12841.6,25310.1,-4049.3,3673.0,True,,False,False,True,False,False,False,True,False,True,True,False,,True,False,False,True,True
Alaska,1817,1629.0,2132.0,,2164.1,1458.0,1128.3,523.9,25.4,,3084.6,2064.3,2683.4,2358.8,2526.0,,1350.4,2271.1,,4799.0,2801.0,-188.0,315.0,,347.1,-359.0,-688.7,-1293.1,-1791.6,,1267.6,247.3,866.4,541.8,709.0,,-466.6,454.1,,2982.0,984.0,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,,False,False
Arizona,32613,56328.0,47241.0,,79109.6,55941.0,45575.9,20805.2,80041.1,48948.0,37441.8,55982.4,36680.9,50556.7,46510.0,,42663.7,48889.1,81651.7,42968.6,37128.0,23715.0,14628.0,,46496.6,23328.0,12962.9,-11807.8,47428.1,16335.0,4828.8,23369.4,4067.9,17943.7,13897.0,,10050.7,16276.1,49038.7,10355.6,4515.0,True,,False,True,True,True,False,True,True,True,True,True,True,,True,True,False,True,True
Arkansas,14411,16344.0,15672.0,,16813.0,16309.0,10300.5,5706.4,14524.8,17666.0,17602.0,24156.9,12616.1,15179.6,17714.0,,,13865.2,22784.1,15697.8,15176.0,1933.0,1261.0,,2402.0,1898.0,-4110.5,-8704.6,113.8,3255.0,3191.0,9745.9,-1794.9,768.6,3303.0,,,-545.8,8373.1,1286.8,765.0,True,,False,True,False,False,True,False,False,False,True,True,False,,,True,False,True,True
California,171542,197121.0,201656.0,,269765.6,217556.0,110786.7,63420.2,331944.6,202109.0,235062.4,363396.8,105319.1,170557.3,226000.0,,182241.4,212938.8,274258.3,135914.8,164292.0,25579.0,30114.0,,98223.6,46014.0,-60755.3,-108121.8,160402.6,30567.0,63520.4,191854.8,-66222.9,-984.7,54458.0,,10699.4,41396.8,102716.3,-35627.2,-7250.0,False,,False,False,False,False,False,False,False,False,False,True,False,,True,False,False,False,True
Colorado,9048,12003.0,14722.0,,14610.0,3900.0,7418.0,4440.7,24474.7,9179.0,16021.3,25292.9,10821.8,14878.6,23452.0,,24479.2,19705.1,,20951.4,12488.0,2955.0,5674.0,,5562.0,-5148.0,-1630.0,-4607.3,15426.7,131.0,6973.3,16244.9,1773.8,5830.6,14404.0,,15431.2,10657.1,,11903.4,3440.0,False,,False,False,True,False,False,True,False,False,True,False,False,,False,False,,False,False
Connecticut,2121,2649.0,1694.0,,1289.8,100.0,1035.5,954.1,9618.6,1731.0,4077.6,1348.7,1896.0,1860.3,4996.0,,1188.9,3487.8,,2683.7,2865.0,528.0,-427.0,,-831.2,-2021.0,-1085.5,-1166.9,7497.6,-390.0,1956.6,-772.3,-225.0,-260.7,2875.0,,-932.1,1366.8,,562.7,744.0,True,,False,False,False,False,False,True,False,False,True,True,False,,False,False,,False,False
Delaware,2221,2238.0,2137.0,,3082.5,447.0,2649.7,1186.4,1080.4,1307.0,2546.9,2830.4,1767.7,2392.0,2844.0,,1498.8,2511.6,,2307.5,2104.0,17.0,-84.0,,861.5,-1774.0,428.7,-1034.6,-1140.6,-914.0,325.9,609.4,-453.3,171.0,623.0,,-722.2,290.6,,86.5,-117.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False
District of Columbia,1442,1569.0,1230.0,,1246.5,413.0,1205.8,512.3,3092.2,987.0,1544.2,3215.9,1062.5,1798.5,2675.0,,999.4,2241.8,,1954.5,1751.0,127.0,-212.0,,-195.5,-1029.0,-236.2,-929.7,1650.2,-455.0,102.2,1773.9,-379.5,356.5,1233.0,,-442.6,799.8,,512.5,309.0,False,,False,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False
Florida,155126,230826.0,205518.0,,384291.1,212007.0,143766.3,77893.5,283322.6,206743.0,158780.0,329117.5,181784.1,200683.3,259826.0,,206887.4,200952.9,347053.8,198187.2,148294.0,75700.0,50392.0,,229165.1,56881.0,-11359.7,-77232.5,128196.6,51617.0,3654.0,173991.5,26658.1,45557.3,104700.0,,51761.4,45826.9,191927.8,43061.2,-6832.0,True,,False,True,True,False,False,True,True,False,True,True,False,,True,True,False,True,True
