,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,7407,10824.0,10429.1,10429.0,9185.0,,11314.0,9787.0,11635.4,11699.6,11276.1,11777.5,8883.0,8475.4,10279.0,,8684.0,11515.9,12445.0,9066.2,9329.0,3417.0,3022.1,3022.0,1778.0,,3907.0,2380.0,4228.4,4292.6,3869.1,4370.5,1476.0,1068.4,2872.0,,1277.0,4108.9,5038.0,1659.2,1922.0,True,True,True,,False,True,False,False,False,False,True,True,True,,True,False,False,True,True
Alaska,582,477.0,438.7,471.0,352.0,,756.0,600.7,336.6,100.0,1074.0,828.7,453.6,470.8,574.0,,389.9,634.9,662.9,427.7,516.0,-105.0,-143.3,-111.0,-230.0,,174.0,18.7,-245.4,-482.0,492.0,246.7,-128.4,-111.2,-8.0,,-192.1,52.9,80.9,-154.3,-66.0,False,False,False,,False,True,False,False,False,False,False,False,True,,False,True,True,False,True
Arizona,6547,9105.0,8805.2,8805.0,7311.0,,11865.0,7429.7,7768.7,28884.6,7076.8,14850.4,6601.4,6958.0,7863.0,,8994.3,9726.3,5198.6,6595.4,7107.0,2558.0,2258.2,2258.0,764.0,,5318.0,882.7,1221.7,22337.6,529.8,8303.4,54.4,411.0,1316.0,,2447.3,3179.3,-1348.4,48.4,560.0,True,True,True,,False,True,True,False,True,False,True,True,True,,True,False,True,True,True
Arkansas,3581,5638.0,5579.6,5580.0,5407.0,,5986.0,4187.9,5737.5,7679.4,4952.8,6160.4,4520.1,4860.6,5432.0,,8489.7,6041.0,5413.7,4843.5,5050.0,2057.0,1998.6,1999.0,1826.0,,2405.0,606.9,2156.5,4098.4,1371.8,2579.4,939.1,1279.6,1851.0,,4908.7,2460.0,1832.7,1262.5,1469.0,True,True,True,,False,True,False,False,True,False,True,True,True,,False,False,True,True,True
California,63606,47775.0,47174.2,47174.0,44855.0,,86484.0,42011.8,49308.7,118850.4,54479.4,48442.0,35547.0,44493.9,44068.0,,40448.3,56369.9,60187.4,43645.9,42606.0,-15831.0,-16431.8,-16432.0,-18751.0,,22878.0,-21594.2,-14297.3,55244.4,-9126.6,-15164.0,-28059.0,-19112.1,-19538.0,,-23157.7,-7236.1,-3418.6,-19960.1,-21000.0,False,False,False,,False,False,True,False,True,True,False,False,False,,False,True,True,False,False
Colorado,2513,3057.0,3093.7,3057.0,2653.0,,1462.0,3458.2,3149.0,10304.5,4111.4,3616.3,2680.9,2614.7,2912.0,,3171.7,3025.5,2300.1,2644.7,2872.0,544.0,580.7,544.0,140.0,,-1051.0,945.2,636.0,7791.5,1598.4,1103.3,167.9,101.7,399.0,,658.7,512.5,-212.9,131.7,359.0,False,False,True,,False,False,False,False,False,False,True,True,True,,False,True,True,True,True
Connecticut,577,510.0,536.3,510.0,459.0,,28.0,356.4,255.8,2270.5,1097.7,1263.9,205.1,430.2,526.0,,484.4,728.6,200.3,537.7,453.0,-67.0,-40.7,-67.0,-118.0,,-549.0,-220.6,-321.2,1693.5,520.7,686.9,-371.9,-146.8,-51.0,,-92.6,151.6,-376.7,-39.3,-124.0,True,False,False,,False,False,False,False,False,False,False,False,True,,False,False,False,True,False
Delaware,894,625.0,631.1,563.0,508.0,,132.0,648.3,515.6,682.7,642.1,960.9,513.1,540.7,567.0,,532.6,770.2,439.8,562.8,498.0,-269.0,-262.9,-331.0,-386.0,,-762.0,-245.7,-378.4,-211.3,-251.9,66.9,-380.9,-353.3,-327.0,,-361.4,-123.8,-454.2,-331.2,-396.0,True,False,False,,False,True,False,True,True,True,False,False,False,,False,True,False,False,False
District of Columbia,506,448.0,436.6,466.0,470.0,,176.0,597.8,456.1,211.7,415.2,662.1,461.7,513.7,506.0,,,561.1,,549.1,423.0,-58.0,-69.4,-40.0,-36.0,,-330.0,91.8,-49.9,-294.3,-90.8,156.1,-44.3,7.7,0.0,,,55.1,,43.1,-83.0,False,True,True,,False,False,True,False,False,False,True,True,True,,,True,,True,False
Florida,43060,46549.0,47777.3,45667.0,40977.0,,57211.0,42858.9,47247.0,104918.8,44493.0,55260.8,41217.2,39444.9,41512.0,,45667.3,50592.0,55330.7,38695.0,41204.0,3489.0,4717.3,2607.0,-2083.0,,14151.0,-201.1,4187.0,61858.8,1433.0,12200.8,-1842.8,-3615.1,-1548.0,,2607.3,7532.0,12270.7,-4365.0,-1856.0,False,True,True,,False,True,False,False,True,False,True,False,True,,True,False,False,False,True
