,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,188,176.0,406.8,177.0,112.0,,,,,,261.0,183.9,,153.4,210.1,,235.0,,191.5,177.9,,,,,,-12.0,218.8,-11.0,-76.0,,,,,,73.0,-4.1,,-34.6,22.1,,47.0,,3.5,-10.1,,,,,,False,True,False,,,,,,False,True,,False,False,,False,,True,True,,,,,
01003,729,950.0,1211.6,1029.0,549.0,,,,,,1274.0,1442.3,,1080.4,895.6,,983.0,,884.5,1148.5,949.0,,,,,221.0,482.6,300.0,-180.0,,,,,,545.0,713.3,,351.4,166.6,,254.0,,155.5,419.5,220.0,,,,,False,False,True,,,,,,False,False,,False,True,,False,,True,False,True,,,,
01005,61,76.0,,80.0,73.0,,,,,,128.0,80.5,,40.8,81.5,,120.0,,100.6,88.9,,,,,,15.0,,19.0,12.0,,,,,,67.0,19.5,,-20.2,20.5,,59.0,,39.6,27.9,,,,,,,False,True,,,,,,False,False,,False,False,,False,,False,False,,,,,
01007,108,96.0,,92.0,120.0,,,,,,95.0,104.9,,58.6,83.5,,96.0,,100.5,85.6,,,,,,-12.0,,-16.0,12.0,,,,,,-13.0,-3.1,,-49.4,-24.5,,-12.0,,-7.5,-22.4,,,,,,,False,False,,,,,,False,True,,False,False,,False,,True,False,,,,,
01009,194,270.0,230.1,254.0,238.0,,,,,,249.0,373.0,,320.0,254.2,,249.0,,250.3,369.6,,,,,,76.0,36.1,60.0,44.0,,,,,,55.0,179.0,,126.0,60.2,,55.0,,56.3,175.6,,,,,,True,True,True,,,,,,True,False,,False,True,,True,,True,False,,,,,
01011,59,56.0,,38.0,13.0,,,,,,70.0,20.2,,12.5,40.1,,97.0,,40.2,41.0,,,,,,-3.0,,-21.0,-46.0,,,,,,11.0,-38.8,,-46.5,-18.9,,38.0,,-18.8,-18.0,,,,,,,False,False,,,,,,False,False,,False,False,,False,,False,False,,,,,
01013,43,66.0,,60.0,61.0,,,,,,135.0,28.7,,42.2,79.7,,149.0,,57.3,49.0,,,,,,23.0,,17.0,18.0,,,,,,92.0,-14.3,,-0.8,36.7,,106.0,,14.3,6.0,,,,,,,True,True,,,,,,False,True,,True,False,,False,,True,True,,,,,
01015,459,818.0,611.8,828.0,1002.0,,,,,,533.0,798.4,,1068.0,875.0,,,,1326.8,860.0,,,,,,359.0,152.8,369.0,543.0,,,,,,74.0,339.4,,609.0,416.0,,,,867.8,401.0,,,,,,True,False,False,,,,,,True,True,,False,False,,,,False,False,,,,,
01017,58,80.0,,78.0,64.0,,,,,,148.0,115.1,,35.9,75.8,,161.0,,53.2,85.1,,,,,,22.0,,20.0,6.0,,,,,,90.0,57.1,,-22.1,17.8,,103.0,,-4.8,27.1,,,,,,,True,True,,,,,,False,False,,False,True,,False,,True,False,,,,,
01019,83,60.0,,67.0,56.0,,,,,,85.0,114.4,,45.9,74.1,,63.0,,77.6,64.1,,,,,,-23.0,,-16.0,-27.0,,,,,,2.0,31.4,,-37.1,-8.9,,-20.0,,-5.4,-18.9,,,,,,,True,False,,,,,,True,False,,False,True,,True,,True,True,,,,,
01021,175,206.0,,216.0,165.0,,,,,,243.0,250.7,,213.3,219.3,,211.0,,248.2,438.1,,,,,,31.0,,41.0,-10.0,,,,,,68.0,75.7,,38.3,44.3,,36.0,,73.2,263.1,,,,,,,False,True,,,,,,False,False,,False,False,,False,,False,False,,,,,
01023,21,30.0,,26.0,33.0,,,,,,78.0,34.3,,7.9,27.1,,53.0,,23.8,26.1,,,,,,9.0,,5.0,12.0,,,,,,57.0,13.3,,-13.1,6.1,,32.0,,2.8,5.1,,,,,,,True,False,,,,,,False,False,,False,True,,False,,True,True,,,,,
01025,364,96.0,,95.0,113.0,,,,,,185.0,106.3,,70.2,91.6,,122.0,,90.5,106.3,,,,,,-268.0,,-269.0,-251.0,,,,,,-179.0,-257.7,,-293.8,-272.4,,-242.0,,-273.5,-257.7,,,,,,,False,True,,,,,,True,True,,False,False,,True,,False,True,,,,,
01027,92,104.0,,95.0,128.0,,,,,,44.0,55.8,,82.5,105.3,,75.0,,178.1,87.9,,,,,,12.0,,3.0,36.0,,,,,,-48.0,-36.2,,-9.5,13.3,,-17.0,,86.1,-4.1,,,,,,,True,False,,,,,,False,False,,True,False,,False,,False,True,,,,,
01029,26,34.0,,31.0,55.0,,,,,,34.0,37.6,,9.4,29.0,,28.0,,7.9,58.9,,,,,,8.0,,5.0,29.0,,,,,,8.0,11.6,,-16.6,3.0,,2.0,,-18.1,32.9,,,,,,,True,False,,,,,,False,False,,False,True,,True,,False,False,,,,,
