,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,132,98.0,175.9,101.4,,99.0,84.0,,,,,,94.6,,227.2,194.6,173.0,,80.0,98.5,,,,,,253.5,-34.0,43.9,-30.6,,-33.0,-48.0,,,,,,-37.4,,95.2,62.6,41.0,,-52.0,-33.5,,,,,,121.5,False,True,,True,False,,,,,,False,,False,False,False,,False,True,,,,,,False
01003,337,407.0,893.1,450.4,,348.0,298.0,,,,,,679.8,,355.7,314.0,414.0,,293.7,341.2,286.0,,,,,636.9,70.0,556.1,113.4,,11.0,-39.0,,,,,,342.8,,18.7,-23.0,77.0,,-43.3,4.2,-51.0,,,,,299.9,False,False,,True,True,,,,,,False,,True,True,False,,True,True,True,,,,,False
01005,25,19.0,,18.1,,18.0,18.0,,,,,,32.4,,6.2,14.2,,,15.9,27.5,,,,,,60.8,-6.0,,-6.9,,-7.0,-7.0,,,,,,7.4,,-18.8,-10.8,,,-9.1,2.5,,,,,,35.8,,False,,False,False,,,,,,False,,False,False,,,False,True,,,,,,False
01007,43,66.0,,64.5,,63.0,69.0,,,,,,59.4,,61.0,59.4,73.0,,27.1,66.9,,,,,,106.8,23.0,,21.5,,20.0,26.0,,,,,,16.4,,18.0,16.4,30.0,,-15.9,23.9,,,,,,63.8,,True,,True,False,,,,,,True,,True,True,False,,True,False,,,,,,False
01009,66,84.0,155.6,86.4,,84.0,59.0,,,,,,168.2,,61.9,76.3,84.0,,64.0,118.7,,,,,,208.9,18.0,89.6,20.4,,18.0,-7.0,,,,,,102.2,,-4.1,10.3,18.0,,-2.0,52.7,,,,,,142.9,False,False,,False,True,,,,,,False,,True,True,False,,True,False,,,,,,False
01011,32,27.0,,27.0,,17.0,7.0,,,,,,11.2,,11.8,25.1,37.0,,11.0,21.5,,,,,,54.3,-5.0,,-5.0,,-15.0,-25.0,,,,,,-20.8,,-20.2,-6.9,5.0,,-21.0,-10.5,,,,,,22.3,,True,,False,False,,,,,,False,,False,False,False,,False,False,,,,,,False
01013,30,15.0,,17.3,,16.0,24.0,,,,,,13.0,,10.1,21.5,38.0,,38.8,14.6,,,,,,29.4,-15.0,,-12.7,,-14.0,-6.0,,,,,,-17.0,,-19.9,-8.5,8.0,,8.8,-15.4,,,,,,-0.6,,True,,True,True,,,,,,False,,False,True,True,,True,False,,,,,,True
01015,142,323.0,385.8,327.5,,290.0,290.0,,,,,,426.3,,224.0,232.9,260.0,,232.5,289.2,,,,,,480.8,181.0,243.8,185.5,,148.0,148.0,,,,,,284.3,,82.0,90.9,118.0,,90.5,147.2,,,,,,338.8,False,False,,True,True,,,,,,False,,True,True,True,,True,True,,,,,,False
01017,14,33.0,,33.8,,32.0,28.0,,,,,,59.2,,6.6,21.5,47.0,,34.0,31.5,,,,,,45.7,19.0,,19.8,,18.0,14.0,,,,,,45.2,,-7.4,7.5,33.0,,20.0,17.5,,,,,,31.7,,False,,True,True,,,,,,False,,True,True,False,,False,True,,,,,,False
01019,29,48.0,,47.8,,43.0,43.0,,,,,,60.1,,19.1,31.8,37.0,,37.3,48.7,,,,,,79.1,19.0,,18.8,,14.0,14.0,,,,,,31.1,,-9.9,2.8,8.0,,8.3,19.7,,,,,,50.1,,True,,True,True,,,,,,False,,True,True,True,,True,False,,,,,,False
