,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01021,618,276.0,,618.0,,,,398.0,359.3,,,,,-342.0,,0.0,,,,-220.0,-258.7,,,,,,True,,,,True,True,,,,
01023,97,42.0,,0.0,,,,213.0,3.6,,,,,-55.0,,-97.0,,,,116.0,-93.4,,,,,,False,,,,False,False,,,,
01025,567,102.0,,332.0,,,,299.0,24.8,,,,,-465.0,,-235.0,,,,-268.0,-542.2,,,,,,True,,,,True,False,,,,
01027,232,174.0,,18.0,,,,28.0,25.7,,,,,-58.0,,-214.0,,,,-204.0,-206.3,,,,,,False,,,,False,False,,,,
01029,96,66.0,,46.0,,,,13.0,14.0,,,,,-30.0,,-50.0,,,,-83.0,-82.0,,,,,,False,,,,False,False,,,,
01031,432,204.0,,523.0,,,,600.0,92.8,,,,,-228.0,,91.0,,,,168.0,-339.2,,,,,,True,,,,True,False,,,,
01033,874,300.0,,364.0,,,,748.0,123.7,,,,,-574.0,,-510.0,,,,-126.0,-750.3,,,,,,True,,,,True,False,,,,
01035,199,246.0,,50.0,,,,155.0,135.7,258.5,,,,47.0,,-149.0,,,,-44.0,-63.3,59.5,,,,,False,,,,True,False,False,,,
01037,50,18.0,,20.0,,,,11.0,35.2,,,,,-32.0,,-30.0,,,,-39.0,-14.8,,,,,,True,,,,False,True,,,,
01039,417,366.0,,977.0,,,,510.0,291.8,1203.4,,,,-51.0,,560.0,,,,93.0,-125.2,786.4,,,,,False,,,,False,False,False,,,
01041,224,24.0,,0.0,,,,432.0,3.3,168.1,,,,-200.0,,-224.0,,,,208.0,-220.7,-55.9,,,,,False,,,,False,False,True,,,
01043,819,402.0,,1139.0,,,,1018.0,118.1,1530.8,,,,-417.0,,320.0,,,,199.0,-700.9,711.8,,,,,True,,,,True,False,False,,,
01045,589,312.0,,0.0,,,,456.0,389.0,836.6,,,,-277.0,,-589.0,,,,-133.0,-200.0,247.6,,,,,False,,,,True,True,True,,,
01047,487,810.0,,928.0,,,,530.0,265.8,1514.7,,,,323.0,,441.0,,,,43.0,-221.2,1027.7,,,,,False,,,,True,True,False,,,
01049,1186,1074.0,,5065.0,,,,872.0,1663.6,2558.7,,,,-112.0,,3879.0,,,,-314.0,477.6,1372.7,,,,,False,,,,False,False,False,,,
01051,897,792.0,,720.0,,,,921.0,929.6,1587.3,431.7,,,-105.0,,-177.0,,,,24.0,32.6,690.3,-465.3,,,,False,,,,True,True,False,False,,
01053,767,732.0,,2555.0,,,,489.0,614.0,993.9,,,,-35.0,,1788.0,,,,-278.0,-153.0,226.9,,,,,False,,,,False,False,False,,,
01055,1501,1080.0,,4223.0,,,,1507.0,1277.4,2853.4,2247.8,,,-421.0,,2722.0,,,,6.0,-223.6,1352.4,746.8,,,,False,,,,True,True,False,False,,
01057,169,18.0,,42.0,,,,47.0,63.3,,,,,-151.0,,-127.0,,,,-122.0,-105.7,,,,,,True,,,,True,True,,,,
01059,436,360.0,,405.0,,,,1033.0,183.5,454.2,,,,-76.0,,-31.0,,,,597.0,-252.5,18.2,,,,,True,,,,False,False,True,,,
01061,199,114.0,,205.0,,,,488.0,20.5,,,,,-85.0,,6.0,,,,289.0,-178.5,,,,,,True,,,,False,False,,,,
01063,74,114.0,,71.0,,,,30.0,58.9,23.3,,,,40.0,,-3.0,,,,-44.0,-15.1,-50.7,,,,,True,,,,False,True,False,,,
01065,188,222.0,,281.0,,,,163.0,53.3,296.6,,,,34.0,,93.0,,,,-25.0,-134.7,108.6,,,,,False,,,,True,False,False,,,
01067,142,0.0,,58.0,,,,66.0,3.9,261.8,,,,-142.0,,-84.0,,,,-76.0,-138.1,119.8,,,,,True,,,,True,True,True,,,
01069,1031,354.0,,705.0,,,,1199.0,325.8,1648.0,,,,-677.0,,-326.0,,,,168.0,-705.2,617.0,,,,,True,,,,True,False,True,,,
01071,852,444.0,,1379.0,,,,265.0,627.8,1489.6,,,,-408.0,,527.0,,,,-587.0,-224.2,637.6,,,,,False,,,,False,True,False,,,
01073,8961,8046.0,,37236.0,,,,9906.0,12440.7,19887.4,12627.2,,,-915.0,,28275.0,,,,945.0,3479.7,10926.4,3666.2,,,,False,,,,False,False,False,False,,
01075,165,66.0,,0.0,,,,45.0,58.1,,,,,-99.0,,-165.0,,,,-120.0,-106.9,,,,,,False,,,,False,False,,,,
01077,742,756.0,,1557.0,,,,1224.0,590.1,2736.5,,,,14.0,,815.0,,,,482.0,-151.9,1994.5,,,,,False,,,,False,False,False,,,
01079,261,102.0,,351.0,,,,96.0,26.1,507.1,,,,-159.0,,90.0,,,,-165.0,-234.9,246.1,,,,,True,,,,False,False,False,,,
01081,1402,1890.0,,4170.0,,,,1463.0,2300.1,4420.2,4570.6,,,488.0,,2768.0,,,,61.0,898.1,3018.2,3168.6,,,,False,,,,True,False,False,False,,
01083,951,780.0,,3506.0,,,,820.0,927.5,3057.6,,,,-171.0,,2555.0,,,,-131.0,-23.5,2106.6,,,,,False,,,,True,True,False,,,
01085,114,186.0,,421.0,,,,83.0,13.2,29.3,,,,72.0,,307.0,,,,-31.0,-100.8,-84.7,,,,,False,,,,True,False,False,,,
01087,160,150.0,,245.0,,,,38.0,49.0,362.3,,,,-10.0,,85.0,,,,-122.0,-111.0,202.3,,,,,False,,,,False,False,False,,,
01089,4302,2778.0,,22232.0,,,,3148.0,7614.1,10848.1,6229.5,,,-1524.0,,17930.0,,,,-1154.0,3312.1,6546.1,1927.5,,,,False,,,,True,False,False,False,,
01091,282,228.0,,778.0,,,,249.0,76.3,321.2,,,,-54.0,,496.0,,,,-33.0,-205.7,39.2,,,,,False,,,,True,False,True,,,
01093,381,186.0,,476.0,,,,207.0,130.1,455.2,,,,-195.0,,95.0,,,,-174.0,-250.9,74.2,,,,,True,,,,True,False,True,,,
