,predicted_cases,actual_cases,error,perc_error
IowaStateLW-STEM,2645940.0,2514047,131893.0,5.2%
UCLA-SuEIR,2184722.7,2514047,-329324.3,-13.1%
Covid19Sim-Simulator,2995238.0,2514047,481191.0,19.1%
COVIDhub-baseline,1975062.0,2514047,-538985.0,-21.4%
CovidAnalytics-DELPHI,1853217.0,2514047,-660830.0,-26.3%
Columbia_UNC-SurvCon,3221854.0,2514047,707807.0,28.2%
USC-SI_kJalpha,3297064.0,2514047,783017.0,31.1%
USACE-ERDC_SEIR,1649867.7,2514047,-864179.3,-34.4%
LANL-GrowthRate,1368971.4,2514047,-1145075.6,-45.5%
CovidActNow-SEIR_CAN,,2514047,,
