,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,408,536.0,564.5,501.0,1039.0,,,,,,482.0,618.6,427.3,541.2,,794.0,,,,,,,,,128.0,156.5,93.0,631.0,,,,,,74.0,210.6,19.3,133.2,,386.0,,,,,,,,,False,True,False,,,,,,True,False,True,False,,False,,,,,,,,
01003,2043,2356.0,2039.6,4233.0,5663.0,,,,,,2470.0,1479.5,5649.4,3508.4,,2543.0,,,3279.4,6442.0,,,,,313.0,-3.4,2190.0,3620.0,,,,,,427.0,-563.5,3606.4,1465.4,,500.0,,,1236.4,4399.0,,,,,True,False,False,,,,,,False,False,False,False,,False,,,False,False,,,,
01005,133,284.0,,273.0,530.0,,,,,,223.0,253.7,230.6,304.7,,479.0,,,,,,,,,151.0,,140.0,397.0,,,,,,90.0,120.7,97.6,171.7,,346.0,,,,,,,,,,True,False,,,,,,True,True,True,False,,False,,,,,,,,
01007,209,156.0,,160.0,221.0,,,,,,157.0,217.2,136.3,189.1,,262.0,,,,,,,,,-53.0,,-49.0,12.0,,,,,,-52.0,8.2,-72.7,-19.9,,53.0,,,,,,,,,,True,True,,,,,,True,True,False,True,,False,,,,,,,,
01009,433,500.0,475.4,626.0,1096.0,,,,,,567.0,387.4,822.4,556.3,,532.0,,,,,,,,,67.0,42.4,193.0,663.0,,,,,,134.0,-45.6,389.4,123.3,,99.0,,,,,,,,,True,False,False,,,,,,False,True,False,False,,False,,,,,,,,
01011,103,60.0,,48.0,13.0,,,,,,98.0,51.1,19.7,64.6,,311.0,,,,,,,,,-43.0,,-55.0,-90.0,,,,,,-5.0,-51.9,-83.3,-38.4,,208.0,,,,,,,,,,False,False,,,,,,True,False,False,True,,False,,,,,,,,
01013,119,80.0,,80.0,96.0,,,,,,202.0,71.0,44.8,112.7,,,,,,,,,,,-39.0,,-39.0,-23.0,,,,,,83.0,-48.0,-74.2,-6.3,,,,,,,,,,,,False,True,,,,,,False,False,False,True,,,,,,,,,,
01015,1179,936.0,392.0,1220.0,1120.0,,,,,,1179.0,480.1,1483.7,1239.8,,974.0,,,,,,,,,-243.0,-787.0,41.0,-59.0,,,,,,0.0,-698.9,304.7,60.8,,-205.0,,,,,,,,,False,True,True,,,,,,True,False,False,True,,True,,,,,,,,
01017,124,224.0,,190.0,279.0,,,,,,241.0,157.8,125.5,222.0,,619.0,,,,,,,,,100.0,,66.0,155.0,,,,,,117.0,33.8,1.5,98.0,,495.0,,,,,,,,,,True,False,,,,,,False,True,True,True,,False,,,,,,,,
01019,141,140.0,,160.0,312.0,,,,,,146.0,149.4,133.8,201.3,,182.0,,,,,,,,,-1.0,,19.0,171.0,,,,,,5.0,8.4,-7.2,60.3,,41.0,,,,,,,,,,False,False,,,,,,False,False,False,False,,False,,,,,,,,
01021,430,416.0,,680.0,936.0,,,,,,451.0,374.9,946.9,677.2,,530.0,,,,,,,,,-14.0,,250.0,506.0,,,,,,21.0,-55.1,516.9,247.2,,100.0,,,,,,,,,,False,False,,,,,,False,False,False,False,,False,,,,,,,,
01023,57,92.0,,73.0,0.0,,,,,,96.0,50.6,31.9,93.5,,202.0,,,,,,,,,35.0,,16.0,-57.0,,,,,,39.0,-6.4,-25.1,36.5,,145.0,,,,,,,,,,True,False,,,,,,False,True,True,False,,False,,,,,,,,
01025,464,256.0,,268.0,401.0,,,,,,293.0,207.4,275.1,274.9,,391.0,,,,,,,,,-208.0,,-196.0,-63.0,,,,,,-171.0,-256.6,-188.9,-189.1,,-73.0,,,,,,,,,,True,True,,,,,,True,False,True,True,,True,,,,,,,,
01027,188,92.0,,109.0,0.0,,,,,,47.0,74.0,91.2,147.4,,130.0,,,,,,,,,-96.0,,-79.0,-188.0,,,,,,-141.0,-114.0,-96.8,-40.6,,-58.0,,,,,,,,,,True,False,,,,,,False,False,False,True,,True,,,,,,,,
01029,60,120.0,,106.0,170.0,,,,,,52.0,53.1,55.7,142.0,,126.0,,,,,,,,,60.0,,46.0,110.0,,,,,,-8.0,-6.9,-4.3,82.0,,66.0,,,,,,,,,,True,False,,,,,,True,True,True,False,,False,,,,,,,,
01031,286,380.0,220.6,425.0,1244.0,,,,,,620.0,371.7,420.9,474.4,,567.0,,,,,,,,,94.0,-65.4,139.0,958.0,,,,,,334.0,85.7,134.9,188.4,,281.0,,,,,,,,,True,False,False,,,,,,False,True,False,False,,False,,,,,,,,
01033,563,828.0,593.8,893.0,2022.0,,,,,,499.0,537.5,919.8,930.6,,959.0,,,,,,,,,265.0,30.8,330.0,1459.0,,,,,,-64.0,-25.5,356.8,367.6,,396.0,,,,,,,,,True,False,False,,,,,,True,True,False,False,,False,,,,,,,,
01035,124,196.0,,160.0,42.0,,,,,,120.0,196.9,106.0,179.9,54.3,293.0,,,,,,,,,72.0,,36.0,-82.0,,,,,,-4.0,72.9,-18.0,55.9,-69.7,169.0,,,,,,,,,,True,False,,,,,,True,False,True,True,True,False,,,,,,,,
01037,38,16.0,,32.0,9.0,,,,,,21.0,28.6,52.6,27.0,,55.0,,,,,,,,,-22.0,,-6.0,-29.0,,,,,,-17.0,-9.4,14.6,-11.0,,17.0,,,,,,,,,,True,False,,,,,,True,True,True,True,,True,,,,,,,,
