,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,54124,45425.0,,50641.3,53721.0,65312.0,38947.2,45627.4,64382.2,39780.3,53715.5,-8699.0,,-3482.7,-403.0,11188.0,-15176.8,-8496.6,10258.2,-14343.7,-408.5,,True,True,False,False,True,False,False,True
Alaska,3335,1390.0,,2031.5,994.0,,1905.4,2346.7,2874.5,3568.8,12077.2,-1945.0,,-1303.5,-2341.0,,-1429.6,-988.3,-460.5,233.8,8742.2,,True,False,,True,True,True,True,False
Arizona,72724,126815.0,,210653.8,164284.0,129893.0,55955.0,57341.8,105071.8,77882.4,92585.5,54091.0,,137929.8,91560.0,57169.0,-16769.0,-15382.2,32347.8,5158.4,19861.5,,False,False,False,True,True,True,True,True
Arkansas,24528,23275.0,,21202.2,22285.0,33181.0,26978.7,17330.9,18136.0,16756.8,17249.7,-1253.0,,-3325.8,-2243.0,8653.0,2450.7,-7197.1,-6392.0,-7771.2,-7278.3,,False,False,False,False,False,False,False,False
California,296132,329330.0,,396839.8,287921.0,319329.0,265678.9,146695.2,356202.9,293350.5,85444.3,33198.0,,100707.8,-8211.0,23197.0,-30453.1,-149436.8,60070.9,-2781.5,-210687.7,,False,True,True,True,False,False,True,False
Colorado,16247,13620.0,,13153.2,3228.0,10124.0,14700.8,9264.5,10918.5,4124.3,13963.9,-2627.0,,-3093.8,-13019.0,-6123.0,-1546.2,-6982.5,-5328.5,-12122.7,-2283.1,,False,False,False,True,False,False,False,True
Connecticut,3610,2850.0,,1028.2,265.0,25021.0,13199.6,927.3,2231.2,219.8,1416.2,-760.0,,-2581.8,-3345.0,21411.0,9589.6,-2682.7,-1378.8,-3390.2,-2193.8,,False,False,False,False,False,False,False,False
Delaware,3680,3735.0,,5035.1,985.0,3034.0,6625.6,1353.4,6069.6,458.5,6690.2,55.0,,1355.1,-2695.0,-646.0,2945.6,-2326.6,2389.6,-3221.5,3010.2,,False,False,False,False,False,False,False,False
District of Columbia,2358,1770.0,,601.2,332.0,2220.0,2593.2,1070.3,1169.7,260.0,542.4,-588.0,,-1756.8,-2026.0,-138.0,235.2,-1287.7,-1188.3,-2098.0,-1815.6,,False,False,True,True,False,False,False,False
Florida,315126,322295.0,,688247.1,272787.0,460239.0,140678.9,600471.3,505501.4,287633.1,252407.1,7169.0,,373121.1,-42339.0,145113.0,-174447.1,285345.3,190375.4,-27492.9,-62718.9,,False,False,False,False,False,False,False,False
Georgia,120767,105410.0,,158900.5,79044.0,110794.0,62040.6,67042.2,98957.3,81387.1,208061.5,-15357.0,,38133.5,-41723.0,-9973.0,-58726.4,-53724.8,-21809.7,-39379.9,87294.5,,False,False,True,False,False,False,False,False
Hawaii,3625,1005.0,,1554.4,134.0,,2524.7,787.5,1206.7,351.0,2008.9,-2620.0,,-2070.6,-3491.0,,-1100.3,-2837.5,-2418.3,-3274.0,-1616.1,,True,False,,True,False,True,False,True
Idaho,16969,15680.0,,28186.5,8753.0,29656.0,10625.3,15065.0,20511.4,7639.1,18681.3,-1289.0,,11217.5,-8216.0,12687.0,-6343.7,-1904.0,3542.4,-9329.9,1712.3,,False,False,False,False,False,False,False,False
Illinois,51757,37410.0,,24466.0,1832.0,30748.0,85189.7,21182.3,55539.7,3513.0,42438.4,-14347.0,,-27291.0,-49925.0,-21009.0,33432.7,-30574.7,3782.7,-48244.0,-9318.6,,False,False,False,False,False,True,False,True
