,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,542,465.0,975.5,481.0,,,,,799.0,750.7,300.9,414.3,,550.0,,,,,,,,-77.0,433.5,-61.0,,,,,257.0,208.7,-241.1,-127.7,,8.0,,,,,,,,False,True,,,,,False,False,False,False,,True,,,,,,,
01003,2632,1805.0,1504.8,2799.0,,,,,1891.0,1323.0,3388.9,2112.4,,1499.0,,,2845.8,4918.0,,,,-827.0,-1127.2,167.0,,,,,-741.0,-1309.0,756.9,-519.6,,-1133.0,,,213.8,2286.0,,,,False,True,,,,,True,False,True,True,,False,,,True,False,,,
01005,204,235.0,,533.0,,,,,190.0,275.6,148.8,,,318.0,,,,,,,,31.0,,329.0,,,,,-14.0,71.6,-55.2,,,114.0,,,,,,,,,False,,,,,True,False,False,,,False,,,,,,,
01007,248,170.0,,274.0,,,,,111.0,181.7,120.5,,,186.0,,,,,,,,-78.0,,26.0,,,,,-137.0,-66.3,-127.5,,,-62.0,,,,,,,,,True,,,,,False,True,False,,,True,,,,,,,
01009,558,330.0,405.1,540.0,,,,,359.0,363.1,690.3,475.3,,307.0,,,,,,,,-228.0,-152.9,-18.0,,,,,-199.0,-194.9,132.3,-82.7,,-251.0,,,,,,,,True,True,,,,,True,True,True,True,,False,,,,,,,
01011,118,45.0,,33.0,,,,,123.0,69.0,11.3,,,,,,,,,,,-73.0,,-85.0,,,,,5.0,-49.0,-106.7,,,,,,,,,,,,False,,,,,True,True,False,,,,,,,,,,
01013,139,135.0,,201.0,,,,,405.0,110.2,21.1,,,,,,,,,,,-4.0,,62.0,,,,,266.0,-28.8,-117.9,,,,,,,,,,,,False,,,,,False,False,False,,,,,,,,,,
01015,1413,790.0,298.9,3932.0,,,,,1240.0,802.0,1015.5,919.1,,570.0,,,,,,,,-623.0,-1114.2,2519.0,,,,,-173.0,-611.0,-397.5,-493.9,,-843.0,,,,,,,,False,False,,,,,True,True,True,True,,False,,,,,,,
01017,180,250.0,,341.0,,,,,360.0,102.4,102.8,,,,,,,,,,,70.0,,161.0,,,,,180.0,-77.6,-77.2,,,,,,,,,,,,False,,,,,False,False,False,,,,,,,,,,
01019,176,190.0,,404.0,,,,,101.0,175.0,85.1,,,117.0,,,,,,,,14.0,,228.0,,,,,-75.0,-1.0,-90.9,,,-59.0,,,,,,,,,False,,,,,False,True,False,,,False,,,,,,,
01021,534,420.0,,1270.0,,,,,352.0,276.8,652.8,,,353.0,,,,,,,,-114.0,,736.0,,,,,-182.0,-257.2,118.8,,,-181.0,,,,,,,,,False,,,,,False,False,False,,,False,,,,,,,
01023,80,85.0,,95.0,,,,,120.0,64.0,43.1,,,163.0,,,,,,,,5.0,,15.0,,,,,40.0,-16.0,-36.9,,,83.0,,,,,,,,,False,,,,,False,False,False,,,False,,,,,,,
01025,528,195.0,,313.0,,,,,400.0,201.6,168.3,,,257.0,,,,,,,,-333.0,,-215.0,,,,,-128.0,-326.4,-359.7,,,-271.0,,,,,,,,,True,,,,,True,True,False,,,True,,,,,,,
01027,211,105.0,,0.0,,,,,31.0,67.7,27.3,,,86.0,,,,,,,,-106.0,,-211.0,,,,,-180.0,-143.3,-183.7,,,-125.0,,,,,,,,,False,,,,,False,False,False,,,False,,,,,,,
01029,90,30.0,,49.0,,,,,24.0,41.4,13.3,,,35.0,,,,,,,,-60.0,,-41.0,,,,,-66.0,-48.6,-76.7,,,-55.0,,,,,,,,,True,,,,,False,True,False,,,True,,,,,,,
01031,381,255.0,223.3,457.0,,,,,748.0,453.0,194.0,221.3,,339.0,,,,,,,,-126.0,-157.7,76.0,,,,,367.0,72.0,-187.0,-159.7,,-42.0,,,,,,,,False,True,,,,,False,True,False,False,,True,,,,,,,
01033,770,520.0,312.6,1126.0,,,,,727.0,482.1,533.4,488.9,,485.0,,,,,,,,-250.0,-457.4,356.0,,,,,-43.0,-287.9,-236.6,-281.1,,-285.0,,,,,,,,False,False,,,,,True,False,True,False,,False,,,,,,,
01035,173,130.0,,13.0,,,,,155.0,211.4,21.2,,55.2,176.0,,,,,,,,-43.0,,-160.0,,,,,-18.0,38.4,-151.8,,-117.8,3.0,,,,,,,,,False,,,,,True,True,False,,False,True,,,,,,,
01037,43,35.0,,4.0,,,,,12.0,43.7,27.8,,,51.0,,,,,,,,-8.0,,-39.0,,,,,-31.0,0.7,-15.2,,,8.0,,,,,,,,,False,,,,,False,True,False,,,False,,,,,,,
01039,357,300.0,,438.0,,,,,674.0,645.6,183.0,,295.2,332.0,,,,,,,,-57.0,,81.0,,,,,317.0,288.6,-174.0,,-61.8,-25.0,,,,,,,,,False,,,,,False,False,False,,False,True,,,,,,,
01041,221,10.0,,17.0,,,,,140.0,35.5,5.6,,27.5,,,,,,,,,-211.0,,-204.0,,,,,-81.0,-185.5,-215.4,,-193.5,,,,,,,,,,True,,,,,True,True,False,,True,,,,,,,,
01043,687,660.0,866.7,2016.0,,,,,945.0,947.9,569.1,839.6,485.4,618.0,,,,,,,,-27.0,179.7,1329.0,,,,,258.0,260.9,-117.9,152.6,-201.6,-69.0,,,,,,,,False,False,,,,,False,False,False,False,False,False,,,,,,,
01045,480,545.0,,1631.0,,,,,651.0,593.7,825.4,,308.6,437.0,,,,,,,,65.0,,1151.0,,,,,171.0,113.7,345.4,,-171.4,-43.0,,,,,,,,,False,,,,,False,False,False,,False,True,,,,,,,
01047,370,585.0,,516.0,,,,,744.0,439.0,312.6,,151.7,798.0,,,,,,,,215.0,,146.0,,,,,374.0,69.0,-57.4,,-218.3,428.0,,,,,,,,,True,,,,,False,True,True,,False,False,,,,,,,
01049,952,1170.0,689.1,3509.0,,,,,1157.0,582.6,2142.3,1158.3,648.9,1023.0,,,,,,,,218.0,-262.9,2557.0,,,,,205.0,-369.4,1190.3,206.3,-303.1,71.0,,,,,,,,False,False,,,,,True,False,False,True,False,True,,,,,,,
01051,771,630.0,1587.5,784.0,,,,,1043.0,729.7,579.6,607.9,364.2,812.0,,,598.1,,,,,-141.0,816.5,13.0,,,,,272.0,-41.3,-191.4,-163.1,-406.8,41.0,,,-172.9,,,,,False,True,,,,,False,True,False,False,False,True,,,False,,,,
01053,624,715.0,,1044.0,,,,,847.0,537.5,272.1,,213.5,463.0,,,,,,,,91.0,,420.0,,,,,223.0,-86.5,-351.9,,-410.5,-161.0,,,,,,,,,False,,,,,False,True,False,,False,False,,,,,,,
01055,1277,1120.0,1283.5,1932.0,,,,,2066.0,860.1,1799.9,1511.3,810.0,1052.0,,,1197.5,,,,,-157.0,6.5,655.0,,,,,789.0,-416.9,522.9,234.3,-467.0,-225.0,,,-79.5,,,,,True,False,,,,,False,False,False,False,False,False,,,True,,,,
01057,155,70.0,,0.0,,,,,50.0,114.0,51.3,,,75.0,,,,,,,,-85.0,,-155.0,,,,,-105.0,-41.0,-103.7,,,-80.0,,,,,,,,,False,,,,,False,True,False,,,True,,,,,,,
01059,393,215.0,,188.0,,,,,963.0,371.0,95.5,,84.3,,,,,,,,,-178.0,,-205.0,,,,,570.0,-22.0,-297.5,,-308.7,,,,,,,,,,False,,,,,False,True,False,,False,,,,,,,,
01061,182,85.0,,240.0,,,,,371.0,152.4,22.1,,,83.0,,,,,,,,-97.0,,58.0,,,,,189.0,-29.6,-159.9,,,-99.0,,,,,,,,,True,,,,,False,True,False,,,False,,,,,,,
