,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Austria,711,1474.4,1008.0,,763.4,297.0,,True,False
Belgium,9800,23361.0,12048.0,,13561.0,2248.0,,True,False
Bulgaria,299,233.7,208.0,58.3,-65.3,-91.0,-240.7,False,False
Canada,8892,15890.7,9629.0,5098.6,6998.7,737.0,-3793.4,True,True
Croatia,120,199.6,236.0,60.4,79.6,116.0,-59.6,False,True
Cyprus,19,50.1,32.0,19.5,31.1,13.0,0.5,True,True
Czechia,358,562.7,449.0,,204.7,91.0,,True,False
Denmark,611,1165.0,741.0,,554.0,130.0,,True,False
Estonia,69,167.1,115.0,92.9,98.1,46.0,23.9,True,True
Finland,328,1305.9,826.0,433.4,977.9,498.0,105.4,True,True
France,30155,58778.6,37223.0,24917.7,28623.6,7068.0,-5237.3,True,True
Germany,9091,20932.9,16782.0,6945.8,11841.9,7691.0,-2145.2,True,True
Greece,194,370.3,247.0,140.2,176.3,53.0,-53.8,True,True
Hungary,596,1228.9,892.0,306.4,632.9,296.0,-289.6,True,True
Ireland,1753,5963.4,2810.0,1404.0,4210.4,1057.0,-349.0,True,True
Italy,35042,60515.0,41645.0,27544.2,25473.0,6603.0,-7497.8,True,True
Latvia,31,106.7,59.0,451.7,75.7,28.0,420.7,True,False
Lithuania,80,87.9,95.0,,7.9,15.0,,False,False
Luxembourg,111,240.3,148.0,138.7,129.3,37.0,27.7,True,True
Netherlands,6155,13554.0,9519.0,,7399.0,3364.0,,True,False
Norway,255,486.1,395.0,,231.1,140.0,,True,False
Poland,1618,2694.0,2071.0,,1076.0,453.0,,True,False
Portugal,1684,3188.9,2654.0,1021.0,1504.9,970.0,-663.0,True,True
Romania,2009,2550.4,2289.0,663.2,541.4,280.0,-1345.8,True,False
Slovakia,28,76.6,41.0,24.7,48.6,13.0,-3.3,True,True
Slovenia,111,153.3,140.0,91.8,42.3,29.0,-19.2,True,True
Spain,28420,54786.4,31772.0,25329.3,26366.4,3352.0,-3090.7,True,True
Sweden,5619,10403.7,6988.0,15625.0,4784.7,1369.0,10006.0,True,False
Switzerland,1969,4429.6,2623.0,,2460.6,654.0,,True,False
United Kingdom,45358,87355.3,41905.0,31476.2,41997.3,-3453.0,-13881.8,True,True
