,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,3877,3716.6,3999.7,3738.9,3770.0,3738.0,3720.0,3720.0,3640.2,3720.0,3415.0,3593.6,3552.6,3708.6,,3694.0,3701.2,3485.5,3813.0,3656.6,3738.3,3753.0,3819.4,3687.0,3824.6,3766.5,,3554.0,3733.9,4288.0,,3642.1,4062.3,3791.0,3538.7,3730.0,3390.9,,3654.6,3853.6,3736.0,3583.2,3839.1,3856.0,3642.0,3452.8,3658.0,-160.4,122.7,-138.1,-107.0,-139.0,-157.0,-157.0,-236.8,-157.0,-462.0,-283.4,-324.4,-168.4,,-183.0,-175.8,-391.5,-64.0,-220.4,-138.7,-124.0,-57.6,-190.0,-52.4,-110.5,,-323.0,-143.1,411.0,,-234.9,185.3,-86.0,-338.3,-147.0,-486.1,,-222.4,-23.4,-141.0,-293.8,-37.9,-21.0,-235.0,-424.2,-219.0,True,True,True,True,True,True,False,True,False,False,False,False,,False,False,False,True,False,True,True,True,False,True,True,,False,True,False,,False,False,True,False,True,False,,False,True,True,False,True,True,False,False,False
Alaska,143,138.0,142.3,141.9,158.0,140.0,142.0,151.0,140.9,146.0,122.0,114.5,126.1,147.8,,,129.9,130.7,193.0,179.4,158.4,119.0,147.7,224.0,156.6,162.5,,111.1,143.4,137.0,,,148.4,140.0,167.7,167.0,114.8,,146.3,156.1,152.0,114.7,170.7,138.0,110.0,109.7,127.0,-5.0,-0.7,-1.1,15.0,-3.0,-1.0,8.0,-2.1,3.0,-21.0,-28.5,-16.9,4.8,,,-13.1,-12.3,50.0,36.4,15.4,-24.0,4.7,81.0,13.6,19.5,,-31.9,0.4,-6.0,,,5.4,-3.0,24.7,24.0,-28.2,,3.3,13.1,9.0,-28.3,27.7,-5.0,-33.0,-33.3,-16.0,True,True,False,True,True,False,True,True,False,False,False,True,,,False,False,False,False,False,False,True,False,False,False,,False,True,False,,,False,True,False,False,False,,True,False,False,False,False,False,False,False,False
Arizona,6925,6696.3,6756.4,6739.5,6780.0,6759.3,6906.0,6906.0,6939.1,7505.0,6399.0,6690.7,6925.8,7076.2,,6728.0,6995.0,7026.0,6808.0,6816.2,7231.2,7150.0,6972.7,6769.0,6792.1,6964.0,,6800.4,6919.0,7723.5,,6868.8,6684.1,7052.0,7226.1,7135.0,6656.9,,6781.2,6807.5,7070.0,6778.2,7222.0,7127.0,7032.5,6534.5,6662.0,-228.7,-168.6,-185.5,-145.0,-165.7,-19.0,-19.0,14.1,580.0,-526.0,-234.3,0.8,151.2,,-197.0,70.0,101.0,-117.0,-108.8,306.2,225.0,47.7,-156.0,-132.9,39.0,,-124.6,-6.0,798.5,,-56.2,-240.9,127.0,301.1,210.0,-268.1,,-143.8,-117.5,145.0,-146.8,297.0,202.0,107.5,-390.5,-263.0,True,True,True,True,True,True,True,False,False,False,True,True,,True,True,True,True,True,False,True,True,True,True,True,,True,True,False,,True,False,True,False,True,False,,True,True,True,True,False,True,True,False,False
Arkansas,2620,2463.0,2403.7,2435.6,2471.0,2431.9,2520.0,2515.0,2525.0,2804.0,2580.0,2515.6,2459.7,2791.2,,2582.0,2615.8,2710.1,2603.0,2501.7,2675.4,2483.0,2540.2,2556.0,2519.5,2522.2,,2249.1,2746.5,2490.0,,2708.6,2306.6,2513.0,2901.1,2703.0,2350.4,,2598.8,2530.3,2536.0,2479.4,2492.9,2532.0,2440.5,2379.2,2312.0,-157.0,-216.3,-184.4,-149.0,-188.1,-100.0,-105.0,-95.0,184.0,-40.0,-104.4,-160.3,171.2,,-38.0,-4.2,90.1,-17.0,-118.3,55.4,-137.0,-79.8,-64.0,-100.5,-97.8,,-370.9,126.5,-130.0,,88.6,-313.4,-107.0,281.1,83.0,-269.6,,-21.2,-89.7,-84.0,-140.6,-127.1,-88.0,-179.5,-240.8,-308.0,False,False,True,False,True,True,True,False,True,True,False,False,,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,,True,False,True,False,True,False,,True,True,True,True,True,True,False,False,False
California,19883,19087.7,19429.9,19118.2,19240.0,19128.4,19385.0,20083.0,19568.5,19731.0,18647.0,19056.4,19301.9,19384.8,,19175.0,19446.7,19617.3,19453.0,20223.7,19806.5,19289.0,19775.1,19338.0,19410.3,19190.1,,19105.9,19317.9,19621.0,,19157.4,19395.2,19570.0,17021.0,19689.0,19139.8,19339.0,18821.8,19418.2,20075.0,19895.5,20561.9,19512.0,18859.0,19146.1,19087.0,-792.3,-450.1,-761.8,-640.0,-751.6,-495.0,203.0,-311.5,-149.0,-1233.0,-823.6,-578.1,-495.2,,-705.0,-433.3,-262.7,-427.0,343.7,-73.5,-591.0,-104.9,-542.0,-469.7,-689.9,,-774.1,-562.1,-259.0,,-722.6,-484.8,-310.0,-2859.0,-191.0,-740.2,-541.0,-1058.2,-461.8,195.0,15.5,681.9,-368.0,-1021.0,-733.9,-793.0,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,False
Colorado,3357,2980.3,3271.6,2935.8,3032.0,2933.2,3144.0,3341.0,3154.7,3590.0,4161.0,3037.0,3327.5,3200.8,,2974.0,3148.6,3213.1,3128.0,3274.4,3382.8,3533.0,3362.0,3012.0,3052.9,3159.3,,3015.1,3093.7,3715.0,,2858.0,3306.3,2957.0,3560.6,3007.0,2863.6,,3059.7,3067.7,3412.0,2743.2,4879.9,3256.0,3218.5,2652.3,3100.0,-376.7,-85.4,-421.2,-325.0,-423.8,-213.0,-16.0,-202.3,233.0,804.0,-320.0,-29.5,-156.2,,-383.0,-208.4,-143.9,-229.0,-82.6,25.8,176.0,5.0,-345.0,-304.1,-197.7,,-341.9,-263.3,358.0,,-499.0,-50.7,-400.0,203.6,-350.0,-493.4,,-297.3,-289.3,55.0,-613.8,1522.9,-101.0,-138.5,-704.7,-257.0,True,False,True,False,True,True,True,True,False,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,True,False,True,True,False,,True,True,True,False,False,True,True,False,True
Connecticut,5146,4925.6,4982.2,4930.9,4985.0,4936.7,5005.0,5112.0,5009.0,5278.0,5236.0,4982.7,5253.9,5172.8,,4935.0,5017.3,5287.8,4979.0,5119.4,5141.7,5106.0,4989.3,4920.0,5029.2,4997.3,,4865.0,4992.2,4746.0,,4956.2,4850.3,5191.0,5449.9,4895.0,4886.6,,4991.2,5043.2,5092.0,4875.8,6626.9,5093.0,4906.0,4774.7,4973.0,-220.4,-163.8,-215.1,-161.0,-209.3,-141.0,-34.0,-137.0,132.0,90.0,-163.3,107.9,26.8,,-211.0,-128.7,141.8,-167.0,-26.6,-4.3,-40.0,-156.7,-226.0,-116.8,-148.7,,-281.0,-153.8,-400.0,,-189.8,-295.7,45.0,303.9,-251.0,-259.4,,-154.8,-102.8,-54.0,-270.2,1480.9,-53.0,-240.0,-371.3,-173.0,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,,False,True,False,,True,False,True,False,False,False,,True,True,True,False,False,True,False,False,True
Delaware,782,787.4,793.1,802.7,792.0,796.6,809.0,809.0,791.0,851.0,779.0,816.2,848.2,802.1,,790.0,818.6,816.1,811.0,805.1,829.7,791.0,788.5,785.0,805.0,789.5,,832.2,820.8,827.0,,,755.6,841.0,768.4,816.0,744.5,,790.6,821.7,814.0,785.4,907.6,812.0,772.0,760.3,798.0,5.4,11.1,20.7,10.0,14.6,27.0,27.0,9.0,69.0,-3.0,34.2,66.2,20.1,,8.0,36.6,34.1,29.0,23.1,47.7,9.0,6.5,3.0,23.0,7.5,,50.2,38.8,45.0,,,-26.4,59.0,-13.6,34.0,-37.5,,8.6,39.7,32.0,3.4,125.6,30.0,-10.0,-21.7,16.0,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,True,False,False,False,False,False
District of Columbia,695,677.1,679.7,671.2,677.0,671.1,679.0,695.0,681.5,698.0,680.0,685.4,677.4,694.3,,665.0,682.2,698.9,679.0,693.0,689.0,673.0,678.0,690.0,,,,672.4,677.5,669.0,,,670.5,676.0,666.3,702.0,662.9,,700.4,,689.0,,755.9,683.0,676.0,666.8,,-17.9,-15.3,-23.8,-18.0,-23.9,-16.0,0.0,-13.5,3.0,-15.0,-9.6,-17.6,-0.7,,-30.0,-12.8,3.9,-16.0,-2.0,-6.0,-22.0,-17.0,-5.0,,,,-22.6,-17.5,-26.0,,,-24.5,-19.0,-28.7,7.0,-32.1,,5.4,,-6.0,,60.9,-12.0,-19.0,-28.2,,True,False,False,False,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,False,True,True,,,,False,True,False,,,False,False,False,True,False,,True,,True,,False,True,False,False,
Florida,19084,18652.3,19145.5,18722.1,18766.0,18655.4,18830.0,19086.0,18916.5,18537.0,18332.0,18532.9,18805.2,18967.6,,18821.0,19013.4,18526.5,18857.0,19420.3,19200.2,18588.0,18991.9,18527.0,18313.4,18637.1,,19098.6,18935.7,19615.0,,18840.9,18837.6,19132.0,19625.3,18941.0,18681.4,,18328.3,18322.1,19290.0,18926.8,19330.2,19026.0,18169.0,18499.2,18508.0,-431.7,61.5,-361.9,-318.0,-428.6,-254.0,2.0,-167.5,-547.0,-752.0,-551.1,-278.8,-116.4,,-263.0,-70.6,-557.5,-227.0,336.3,116.2,-496.0,-92.1,-557.0,-770.6,-446.9,,14.6,-148.3,531.0,,-243.1,-246.4,48.0,541.3,-143.0,-402.6,,-755.7,-761.9,206.0,-157.2,246.2,-58.0,-915.0,-584.8,-576.0,True,True,True,True,True,True,True,False,False,False,True,True,,True,True,False,True,True,True,False,True,False,False,False,,True,True,False,,True,True,True,False,True,True,,False,False,True,True,True,True,False,False,False
