,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,9793,9651.1,9691.7,9611.4,9666.0,9669.0,9694.0,9566.0,9685.7,9254.0,10151.6,9859.0,9791.3,9775.9,9834.4,9694.7,,9670.0,9776.0,9740.3,9400.4,9745.0,9342.5,9794.5,9628.0,9640.5,9698.0,9716.6,9643.6,9650.4,9692.6,9440.5,,9783.5,9582.9,9897.0,9524.1,9626.0,9678.8,,9860.1,9718.5,9628.3,9692.0,,9848.8,9699.0,9612.0,9375.0,9218.0,-141.9,-101.3,-181.6,-127.0,-124.0,-99.0,-227.0,-107.3,-539.0,358.6,66.0,-1.7,-17.1,41.4,-98.3,,-123.0,-17.0,-52.7,-392.6,-48.0,-450.5,1.5,-165.0,-152.5,-95.0,-76.4,-149.4,-142.6,-100.4,-352.5,,-9.5,-210.1,104.0,-268.9,-167.0,-114.2,,67.1,-74.5,-164.7,-101.0,,55.8,-94.0,-181.0,-418.0,-575.0,True,False,True,True,True,False,True,False,False,True,True,True,True,True,,True,True,True,False,True,False,True,False,False,True,True,False,False,True,False,,True,False,True,False,False,True,,True,True,False,True,,True,True,False,False,False
Hawaii,261,253.4,259.7,248.9,255.0,249.0,250.0,249.0,248.1,235.0,248.8,252.0,251.4,,262.0,254.2,,,,240.3,239.4,250.0,257.2,246.9,248.0,249.0,249.0,250.6,251.3,291.8,252.1,243.0,,,232.2,247.0,268.2,257.0,248.7,,244.8,253.8,247.6,251.0,,244.6,252.0,252.0,247.8,256.0,-7.6,-1.3,-12.1,-6.0,-12.0,-11.0,-12.0,-12.9,-26.0,-12.2,-9.0,-9.6,,1.0,-6.8,,,,-20.7,-21.6,-11.0,-3.8,-14.1,-13.0,-12.0,-12.0,-10.4,-9.7,30.8,-8.9,-18.0,,,-28.8,-14.0,7.2,-4.0,-12.3,,-16.2,-7.2,-13.4,-10.0,,-16.4,-9.0,-9.0,-13.2,-5.0,True,False,True,False,False,False,False,False,False,False,False,,True,True,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,,,False,False,True,True,False,,False,True,False,False,,False,False,False,False,True
Idaho,1032,980.9,995.8,978.2,982.0,979.0,999.0,972.0,1000.7,952.0,1090.5,995.0,992.1,998.8,1017.5,1008.5,,969.0,1022.0,1020.0,1037.0,999.0,986.2,1005.1,998.0,986.0,1018.0,1012.9,999.6,1001.2,1023.0,1026.0,,,1042.4,1017.0,1038.1,979.0,969.7,,1042.6,1017.7,988.8,981.0,,1015.4,981.0,966.0,954.9,999.0,-51.1,-36.2,-53.8,-50.0,-53.0,-33.0,-60.0,-31.3,-80.0,58.5,-37.0,-39.9,-33.2,-14.5,-23.5,,-63.0,-10.0,-12.0,5.0,-33.0,-45.8,-26.9,-34.0,-46.0,-14.0,-19.1,-32.4,-30.8,-9.0,-6.0,,,10.4,-15.0,6.1,-53.0,-62.3,,10.6,-14.3,-43.2,-51.0,,-16.6,-51.0,-66.0,-77.1,-33.0,True,False,True,False,True,False,True,False,False,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,False,False,,True,True,True,True,,True,True,False,False,True
Illinois,14016,13595.1,13999.1,13724.3,13743.0,13725.0,13745.0,13605.0,13745.2,12933.0,14450.7,13639.0,13608.1,13894.6,13864.4,13783.2,,13721.0,13766.0,13917.8,14091.6,13710.0,13434.7,13852.2,13656.0,13615.5,13833.0,13818.4,13769.3,13338.1,13838.0,13604.0,,13777.2,15026.4,13904.0,13526.0,13435.0,13683.7,,14040.0,13838.8,13533.8,13591.0,13675.4,15983.8,13844.0,13650.0,13121.5,13547.0,-420.9,-16.9,-291.7,-273.0,-291.0,-271.0,-411.0,-270.8,-1083.0,434.7,-377.0,-407.9,-121.4,-151.6,-232.8,,-295.0,-250.0,-98.2,75.6,-306.0,-581.3,-163.8,-360.0,-400.5,-183.0,-197.6,-246.7,-677.9,-178.0,-412.0,,-238.8,1010.4,-112.0,-490.0,-581.0,-332.3,,24.0,-177.2,-482.2,-425.0,-340.6,1967.8,-172.0,-366.0,-894.5,-469.0,True,True,True,True,True,True,True,False,False,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,,True,False,True,False,False,True,,True,True,False,False,True,False,True,True,False,False
Indiana,6207,6010.7,6179.6,6082.1,6058.0,6080.0,6102.0,6064.0,6119.7,5725.0,6385.7,6161.0,6047.2,6148.6,6078.1,6124.6,,6052.0,6106.0,6175.2,6226.4,6110.0,5738.7,6156.7,5971.0,6032.1,6108.0,6164.2,6082.6,6065.1,6138.0,6046.0,,6066.8,6104.0,6115.0,6357.3,5948.0,6079.9,,6241.1,6170.0,6021.9,6064.0,6075.9,7114.1,6127.0,6008.0,5539.9,6102.0,-196.3,-27.4,-124.9,-149.0,-127.0,-105.0,-143.0,-87.3,-482.0,178.7,-46.0,-159.8,-58.4,-128.9,-82.4,,-155.0,-101.0,-31.8,19.4,-97.0,-468.3,-50.3,-236.0,-174.9,-99.0,-42.8,-124.4,-141.9,-69.0,-161.0,,-140.2,-103.0,-92.0,150.3,-259.0,-127.1,,34.1,-37.0,-185.1,-143.0,-131.1,907.1,-80.0,-199.0,-667.1,-105.0,True,True,True,True,True,True,True,False,True,True,True,True,True,True,,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,,True,True,True,True,False,True,,True,True,True,True,True,False,True,False,False,True
Iowa,2682,2567.9,2625.6,2564.0,2579.0,2559.0,2583.0,2582.0,2622.1,2392.0,2716.9,2610.0,2603.2,2553.9,2606.5,2583.1,,2540.0,2628.0,2604.6,2639.6,2605.0,2581.4,2563.4,2569.0,2564.8,2670.0,2577.9,2591.6,2614.0,2620.0,2568.0,,2629.3,2780.8,2585.0,3075.0,2503.0,2547.5,,2702.4,2581.2,2537.6,2552.0,,2932.2,2574.0,2592.0,2470.6,2561.0,-114.1,-56.4,-118.0,-103.0,-123.0,-99.0,-100.0,-59.9,-290.0,34.9,-72.0,-78.8,-128.1,-75.5,-98.9,,-142.0,-54.0,-77.4,-42.4,-77.0,-100.6,-118.6,-113.0,-117.2,-12.0,-104.1,-90.4,-68.0,-62.0,-114.0,,-52.7,98.8,-97.0,393.0,-179.0,-134.5,,20.4,-100.8,-144.4,-130.0,,250.2,-108.0,-90.0,-211.4,-121.0,True,False,True,False,True,True,True,False,True,True,True,False,True,True,,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,,True,True,True,False,False,False,,True,True,False,False,,False,True,True,False,False
Kansas,1786,1631.0,1713.7,1659.6,1653.0,1648.0,1679.0,1566.0,1678.2,1597.0,1769.0,1727.0,1592.0,1735.0,1707.1,1681.8,,1642.0,1737.0,1686.7,1721.0,1696.0,1559.0,1697.8,1632.0,1616.2,1747.0,1678.2,1661.2,1666.9,1709.0,1673.0,,,1994.5,1680.0,1605.0,1618.0,1669.7,,1765.1,1681.0,1658.5,1678.0,,1721.6,1680.0,1614.0,1478.1,1666.0,-155.0,-72.3,-126.4,-133.0,-138.0,-107.0,-220.0,-107.8,-189.0,-17.0,-59.0,-194.0,-51.0,-78.9,-104.2,,-144.0,-49.0,-99.3,-65.0,-90.0,-227.0,-88.2,-154.0,-169.8,-39.0,-107.8,-124.8,-119.1,-77.0,-113.0,,,208.5,-106.0,-181.0,-168.0,-116.3,,-20.9,-105.0,-127.5,-108.0,,-64.4,-106.0,-172.0,-307.9,-120.0,True,True,True,True,True,False,True,False,True,True,False,True,True,True,,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,,,False,True,False,False,True,,True,True,True,True,,True,True,False,False,True
Kentucky,2062,1989.4,2052.2,1988.3,2000.0,1987.0,2006.0,2006.0,2066.5,1924.0,2047.0,2018.0,1998.5,1982.2,2029.5,2033.5,,1971.0,2077.0,2017.1,1964.5,2032.0,2076.5,2022.5,2031.0,2010.4,2106.0,2001.9,2024.1,1970.6,2065.0,2005.0,,,2238.3,1995.0,2300.5,1999.0,1983.0,,2106.3,2006.0,2011.3,2017.0,,2209.4,2014.0,1986.0,1950.0,2005.0,-72.6,-9.8,-73.7,-62.0,-75.0,-56.0,-56.0,4.5,-138.0,-15.0,-44.0,-63.5,-79.8,-32.5,-28.5,,-91.0,15.0,-44.9,-97.5,-30.0,14.5,-39.5,-31.0,-51.6,44.0,-60.1,-37.9,-91.4,3.0,-57.0,,,176.3,-67.0,238.5,-63.0,-79.0,,44.3,-56.0,-50.7,-45.0,,147.4,-48.0,-76.0,-112.0,-57.0,True,False,True,False,True,True,True,False,True,True,True,False,True,True,,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,,,False,True,False,True,False,,True,True,True,True,,False,True,False,False,True
Louisiana,6548,6533.0,6601.3,6547.8,6548.0,6549.0,6553.0,6509.0,6579.3,6499.0,6661.3,6501.0,6519.6,6569.6,6593.6,6567.4,,6507.0,6537.0,6577.4,6846.8,6604.0,6522.6,6567.9,6507.0,6514.0,6671.0,6585.7,6553.7,6533.9,6553.3,6558.0,,6538.9,6487.0,6618.0,6511.5,6518.0,6563.4,,6591.8,6590.1,6533.0,6542.0,,6840.6,6641.0,6497.0,6488.4,6548.0,-15.0,53.3,-0.2,0.0,1.0,5.0,-39.0,31.3,-49.0,113.3,-47.0,-28.4,21.6,45.6,19.4,,-41.0,-11.0,29.4,298.8,56.0,-25.4,19.9,-41.0,-34.0,123.0,37.7,5.7,-14.1,5.3,10.0,,-9.1,-61.0,70.0,-36.5,-30.0,15.4,,43.8,42.1,-15.0,-6.0,,292.6,93.0,-51.0,-59.6,0.0,False,True,True,True,True,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,,True,False,False,False,False,False,,False,False,True,True,,False,False,False,False,True
Maine,227,203.9,212.1,207.8,208.0,208.0,208.0,188.0,206.4,192.0,226.1,205.0,202.9,209.2,201.1,214.7,,201.0,217.0,210.3,214.4,208.0,228.5,214.1,198.0,199.5,221.0,209.1,208.4,196.4,207.2,205.0,,,186.4,222.0,226.2,204.0,193.9,,208.4,215.2,203.9,203.0,,227.2,206.0,207.0,194.0,207.0,-23.1,-14.9,-19.2,-19.0,-19.0,-19.0,-39.0,-20.6,-35.0,-0.9,-22.0,-24.1,-17.8,-25.9,-12.3,,-26.0,-10.0,-16.7,-12.6,-19.0,1.5,-12.9,-29.0,-27.5,-6.0,-17.9,-18.6,-30.6,-19.8,-22.0,,,-40.6,-5.0,-0.8,-23.0,-33.1,,-18.6,-11.8,-23.1,-24.0,,0.2,-21.0,-20.0,-33.0,-20.0,True,True,True,True,True,False,True,False,True,True,False,True,False,True,,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,,,False,True,True,True,False,,True,True,True,False,,True,True,True,False,True
Maryland,4820,4788.7,4871.1,4789.9,4770.0,4789.0,4788.0,4784.0,4771.3,4649.0,4815.5,4806.0,4775.5,4889.3,4849.8,4812.2,,4748.0,4774.0,4788.0,4782.9,4791.0,4721.2,4786.0,4813.0,4798.4,4776.0,4776.3,4794.1,4754.3,4800.1,4776.0,,4777.9,4666.0,4805.0,4807.8,4775.0,4795.1,,4784.6,4782.5,4731.7,4788.0,,5021.6,4820.0,4896.0,4625.5,4909.0,-31.3,51.1,-30.1,-50.0,-31.0,-32.0,-36.0,-48.7,-171.0,-4.5,-14.0,-44.5,69.3,29.8,-7.8,,-72.0,-46.0,-32.0,-37.1,-29.0,-98.8,-34.0,-7.0,-21.6,-44.0,-43.7,-25.9,-65.7,-19.9,-44.0,,-42.1,-154.0,-15.0,-12.2,-45.0,-24.9,,-35.4,-37.5,-88.3,-32.0,,201.6,0.0,76.0,-194.5,89.0,False,True,False,True,False,False,False,False,True,True,False,False,True,True,,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,,False,False,True,True,False,True,,False,False,False,False,,False,True,False,False,False
Massachusetts,10953,10902.0,10908.2,10865.8,10851.0,10864.0,10916.0,10921.0,10897.9,10706.0,11036.6,10990.0,10954.6,10956.8,10878.6,10932.6,,10809.0,10882.0,10930.4,10916.0,10873.0,10876.2,10941.2,10918.0,10910.1,10893.0,10920.8,10910.9,10975.5,10916.0,10782.0,,10914.0,10847.8,10883.0,11642.2,10996.0,10849.0,,10950.6,10923.6,10832.3,10930.0,,11762.8,10888.0,10948.0,10792.6,10771.0,-51.0,-44.8,-87.2,-102.0,-89.0,-37.0,-32.0,-55.1,-247.0,83.6,37.0,1.6,3.8,-74.4,-20.4,,-144.0,-71.0,-22.6,-37.0,-80.0,-76.8,-11.8,-35.0,-42.9,-60.0,-32.2,-42.1,22.5,-37.0,-171.0,,-39.0,-105.2,-70.0,689.2,43.0,-104.0,,-2.4,-29.4,-120.7,-23.0,,809.8,-65.0,-5.0,-160.4,-182.0,True,False,False,False,True,True,False,False,False,True,True,True,False,True,,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,,True,False,False,False,True,False,,True,True,False,True,,False,False,True,False,False
Michigan,10321,9974.4,10240.2,10055.1,10048.0,10059.0,10128.0,9901.0,10088.7,9484.0,10567.7,10130.0,9950.6,10250.8,10187.2,9985.4,,9993.0,10144.0,10184.4,10246.0,10067.0,9841.4,10308.4,10153.0,9979.5,10119.0,10154.7,10072.4,9698.4,10142.0,9864.0,,9955.3,10798.0,10485.0,10991.8,9838.0,10037.2,,10291.9,10171.2,9964.3,10035.0,10130.3,12277.8,10162.0,9960.0,9498.4,10036.0,-346.6,-80.8,-265.9,-273.0,-262.0,-193.0,-420.0,-232.3,-837.0,246.7,-191.0,-370.4,-70.2,-133.8,-335.6,,-328.0,-177.0,-136.6,-75.0,-254.0,-479.6,-12.6,-168.0,-341.5,-202.0,-166.3,-248.6,-622.6,-179.0,-457.0,,-365.7,477.0,164.0,670.8,-483.0,-283.8,,-29.1,-149.8,-356.7,-286.0,-190.7,1956.8,-159.0,-361.0,-822.6,-285.0,True,True,True,True,True,False,True,False,True,True,False,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,,False,False,True,False,False,True,,True,True,False,True,True,False,True,False,False,True
Minnesota,3979,3928.4,3997.8,3896.6,3921.0,3903.0,3984.0,4001.0,4015.0,3663.0,4367.1,4162.0,3922.2,3896.0,4012.4,3923.9,,3876.0,3985.0,4045.9,4101.6,3961.0,3862.6,4018.0,3960.0,3970.3,4055.0,3988.7,3980.9,3893.4,4030.0,3909.0,,4034.9,4434.1,4279.0,4620.1,3984.0,3892.8,,4178.8,3997.5,3881.4,3974.0,,4675.7,3979.0,4026.0,3667.7,4083.0,-50.6,18.8,-82.4,-58.0,-76.0,5.0,22.0,36.0,-316.0,388.1,183.0,-56.8,-83.0,33.4,-55.1,,-103.0,6.0,66.9,122.6,-18.0,-116.4,39.0,-19.0,-8.7,76.0,9.7,1.9,-85.6,51.0,-70.0,,55.9,455.1,300.0,641.1,5.0,-86.2,,199.8,18.5,-97.6,-5.0,,696.7,0.0,47.0,-311.3,104.0,True,False,False,False,True,True,True,False,False,False,False,False,True,False,,False,True,False,False,True,False,True,True,True,False,True,True,False,False,False,,False,False,False,False,True,False,,False,True,False,True,,False,True,True,False,False
Mississippi,3949,3917.4,3936.1,3899.9,3906.0,3901.0,3916.0,3803.0,3900.6,3823.0,3971.9,3881.0,3930.1,3920.6,3885.2,3933.7,,3899.0,3897.0,3910.4,3944.3,3914.0,3876.5,3927.5,3932.0,3911.6,3915.0,3898.9,3915.4,3917.1,3919.9,3914.5,,3896.4,3974.2,3929.0,4116.1,3940.0,3902.5,,3925.2,3905.3,3870.5,3892.0,,3998.3,3931.0,3917.5,3873.2,3935.0,-31.6,-12.9,-49.1,-43.0,-48.0,-33.0,-146.0,-48.4,-126.0,22.9,-68.0,-18.9,-28.4,-63.8,-15.3,,-50.0,-52.0,-38.6,-4.7,-35.0,-72.5,-21.5,-17.0,-37.4,-34.0,-50.1,-33.6,-31.9,-29.1,-34.5,,-52.6,25.2,-20.0,167.1,-9.0,-46.5,,-23.8,-43.7,-78.5,-57.0,,49.3,-18.0,-31.5,-75.8,-14.0,True,False,False,False,False,False,False,False,True,False,True,True,False,True,,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,,False,True,True,False,True,False,,True,False,False,False,,False,True,True,False,True
Missouri,4276,4083.1,4198.1,4091.6,4123.0,4114.0,4118.0,4131.0,4094.5,3824.0,4163.6,4190.0,4023.3,4142.6,4129.9,3818.4,,4064.0,4247.0,4132.1,3847.6,4148.0,3804.4,4133.6,3995.0,4055.7,4148.0,4108.2,4067.5,4140.7,4144.0,4060.0,,3772.0,4038.0,4059.0,4470.9,4014.0,4000.6,,4273.9,4139.4,4064.9,4080.0,,4402.4,4117.0,4058.0,3686.1,3872.0,-192.9,-77.9,-184.4,-153.0,-162.0,-158.0,-145.0,-181.5,-452.0,-112.4,-86.0,-252.7,-133.4,-146.1,-457.6,,-212.0,-29.0,-143.9,-428.4,-128.0,-471.6,-142.4,-281.0,-220.3,-128.0,-167.8,-208.5,-135.3,-132.0,-216.0,,-504.0,-238.0,-217.0,194.9,-262.0,-275.4,,-2.1,-136.6,-211.1,-196.0,,126.4,-159.0,-218.0,-589.9,-404.0,True,True,True,True,True,True,True,False,True,True,False,True,True,False,,False,True,True,False,True,False,True,False,False,True,True,False,True,True,False,,False,False,False,False,False,False,,True,True,False,False,,True,True,False,False,False
Montana,734,729.3,765.2,741.8,759.0,738.0,748.0,757.0,736.3,704.0,808.3,744.0,715.3,741.7,784.9,749.4,,751.0,767.0,775.2,747.8,759.0,726.6,759.4,713.0,721.6,776.0,753.2,751.1,679.6,779.0,759.0,,,922.9,760.0,805.4,727.0,734.1,,803.5,757.6,735.4,748.0,,774.6,774.0,714.0,712.3,747.0,-4.7,31.2,7.8,25.0,4.0,14.0,23.0,2.3,-30.0,74.3,10.0,-18.7,7.7,50.9,15.4,,17.0,33.0,41.2,13.8,25.0,-7.4,25.4,-21.0,-12.4,42.0,19.2,17.1,-54.4,45.0,25.0,,,188.9,26.0,71.4,-7.0,0.1,,69.5,23.6,1.4,14.0,,40.6,40.0,-20.0,-21.7,13.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,True,,False,False,True,False,,False,False,False,False,False
Nebraska,1194,1057.6,1131.4,1078.5,1082.0,1073.0,1101.0,1124.0,1106.5,1035.0,1207.8,1098.0,1080.0,1104.1,1101.0,1121.8,,1052.0,1158.0,1123.7,1147.0,1109.0,1073.0,1109.6,1093.0,1075.6,1168.0,1110.6,1099.5,1098.0,1159.0,1108.0,,,1373.8,1150.0,1116.6,1069.0,1023.7,,1157.1,1115.1,1082.5,1074.0,,1167.7,1097.0,1073.5,1023.5,1099.0,-136.4,-62.6,-115.5,-112.0,-121.0,-93.0,-70.0,-87.5,-159.0,13.8,-96.0,-114.0,-89.9,-93.0,-72.2,,-142.0,-36.0,-70.3,-47.0,-85.0,-121.0,-84.4,-101.0,-118.4,-26.0,-83.4,-94.5,-96.0,-35.0,-86.0,,,179.8,-44.0,-77.4,-125.0,-170.3,,-36.9,-78.9,-111.5,-120.0,,-26.3,-97.0,-120.5,-170.5,-95.0,True,True,True,True,True,True,True,False,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,False,True,True,True,False,,True,True,True,True,,True,True,True,False,True
Nevada,2301,2238.0,2295.9,2220.9,2234.0,2227.0,2254.0,2257.0,2245.2,2190.0,2273.4,2240.0,2231.5,2214.7,2203.5,2253.6,,2236.0,2221.0,2247.2,2284.6,2239.0,2258.2,2256.3,2283.0,2252.2,2257.0,2248.5,2256.1,2255.0,2261.1,2195.0,,2253.2,2538.5,2254.0,2475.2,2233.0,2224.8,,2267.5,2253.8,2230.7,2256.0,,2310.6,2264.0,2278.0,2179.6,2299.0,-63.0,-5.1,-80.1,-67.0,-74.0,-47.0,-44.0,-55.8,-111.0,-27.6,-61.0,-69.5,-86.3,-97.5,-47.4,,-65.0,-80.0,-53.8,-16.4,-62.0,-42.8,-44.7,-18.0,-48.8,-44.0,-52.5,-44.9,-46.0,-39.9,-106.0,,-47.8,237.5,-47.0,174.2,-68.0,-76.2,,-33.5,-47.2,-70.3,-45.0,,9.6,-37.0,-23.0,-121.4,-2.0,True,False,False,False,True,True,True,False,True,True,False,False,False,True,,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,False,True,False,False,False,,True,True,False,True,,True,True,True,False,True
New Hampshire,559,538.0,542.0,538.4,534.0,538.0,542.0,542.0,544.8,521.0,534.2,554.0,542.4,553.3,531.6,549.5,,537.0,545.0,538.2,545.0,545.0,553.6,542.6,542.0,539.5,552.0,539.5,543.9,543.1,542.1,537.0,,,525.5,552.0,593.6,547.0,530.9,,549.0,546.0,541.5,541.0,,644.8,540.0,540.0,526.7,540.0,-21.0,-17.0,-20.6,-25.0,-21.0,-17.0,-17.0,-14.2,-38.0,-24.8,-5.0,-16.6,-5.7,-27.4,-9.5,,-22.0,-14.0,-20.8,-14.0,-14.0,-5.4,-16.4,-17.0,-19.5,-7.0,-19.5,-15.1,-15.9,-16.9,-22.0,,,-33.5,-7.0,34.6,-12.0,-28.1,,-10.0,-13.0,-17.5,-18.0,,85.8,-19.0,-19.0,-32.3,-19.0,True,True,False,False,True,True,True,False,False,True,True,True,False,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,,False,True,False,True,False,,True,True,True,True,,False,True,True,False,True
New Jersey,17306,17164.0,17338.9,17183.5,17203.0,17184.0,17228.0,17377.0,17221.2,17024.0,17350.6,17189.0,17166.0,17458.2,17184.4,17328.6,,17176.0,17277.0,17236.3,17346.1,17210.0,17239.8,17249.6,17219.0,17196.5,17241.0,17219.9,17196.3,17139.5,17235.0,16973.0,,17180.2,17092.0,17202.0,17324.0,17153.0,17192.9,,17269.1,17227.9,17145.2,17160.0,,18863.5,17266.0,17412.0,17007.2,17427.0,-142.0,32.9,-122.5,-103.0,-122.0,-78.0,71.0,-84.8,-282.0,44.6,-117.0,-140.0,152.2,-121.6,22.6,,-130.0,-29.0,-69.7,40.1,-96.0,-66.2,-56.4,-87.0,-109.5,-65.0,-86.1,-109.7,-166.5,-71.0,-333.0,,-125.8,-214.0,-104.0,18.0,-153.0,-113.1,,-36.9,-78.1,-160.8,-146.0,,1557.5,-40.0,106.0,-298.8,121.0,True,True,True,True,True,True,True,False,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,,True,False,True,True,False,True,,True,True,False,False,,False,True,True,False,True
