,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3877,3492.7,3337.7,3472.4,5157.0,3869.5,3216.0,,3393.0,3526.1,3678.7,3250.9,3694.6,3584.0,,3667.7,3660.0,,,3400.9,,3590.0,3259.6,-384.3,-539.3,-404.6,1280.0,-7.5,-661.0,,-484.0,-350.9,-198.3,-626.1,-182.4,-293.0,,-209.3,-217.0,,,-476.1,,-287.0,-617.4,False,False,False,True,False,,False,True,True,False,True,True,,True,True,,,False,,True,False
Alaska,143,155.9,87.4,152.0,161.0,157.1,117.0,,,124.2,125.8,114.5,181.2,113.0,,131.7,110.0,,,107.3,,144.0,98.1,12.9,-55.6,9.0,18.0,14.1,-26.0,,,-18.8,-17.2,-28.5,38.2,-30.0,,-11.3,-33.0,,,-35.7,,1.0,-44.9,False,True,False,False,False,,,False,False,False,False,False,,True,False,,,False,,True,False
Arizona,6925,6489.0,6377.7,6529.6,6579.0,6451.7,6082.0,,6220.0,6454.6,6293.7,6307.0,6635.7,6679.0,,6423.2,6197.0,,,6647.3,,6989.0,6338.9,-436.0,-547.3,-395.4,-346.0,-473.3,-843.0,,-705.0,-470.4,-631.3,-618.0,-289.3,-246.0,,-501.8,-728.0,,,-277.7,,64.0,-586.1,False,True,True,False,False,,False,False,False,False,True,True,,False,False,,,True,,True,False
Arkansas,2620,2667.1,2425.6,2564.9,2922.0,2710.4,2599.0,,2604.0,2778.5,2522.7,2257.5,2679.8,2516.5,,2265.2,2507.0,,,2433.8,,2650.0,2245.5,47.1,-194.4,-55.1,302.0,90.4,-21.0,,-16.0,158.5,-97.3,-362.5,59.8,-103.5,,-354.8,-113.0,,,-186.2,,30.0,-374.5,False,False,False,False,True,,True,False,False,False,False,False,,False,False,,,False,,True,False
California,19883,19191.3,20919.3,19237.5,20625.0,19879.2,18469.0,,19162.0,19684.8,19612.8,19212.8,19480.6,19277.5,,18453.5,20010.5,,,19080.1,19331.0,20116.0,19162.4,-690.7,1037.3,-644.5,743.0,-2.8,-1413.0,,-720.0,-197.2,-269.2,-669.2,-401.4,-604.5,,-1428.5,128.5,,,-801.9,-551.0,234.0,-719.6,False,True,False,True,False,,False,True,True,True,True,True,,False,True,,,False,True,True,False
Colorado,3357,2603.7,2419.8,2622.0,3720.0,3038.0,4781.0,,2579.0,2732.9,2959.4,2629.8,2944.1,2886.0,,2688.7,2567.0,,,2568.1,,2892.0,2404.9,-753.3,-937.2,-735.0,363.0,-319.0,1424.0,,-778.0,-624.1,-397.6,-727.2,-412.9,-471.0,,-668.3,-790.0,,,-788.9,,-465.0,-952.1,False,True,True,True,False,,False,True,True,True,True,True,,True,False,,,False,,True,False
Connecticut,5146,4805.4,5029.4,4838.5,5531.0,4995.3,5004.0,,4741.0,4902.1,5031.0,4762.3,5034.5,5216.0,,4768.0,4704.0,,,4732.8,,4914.0,4633.2,-340.6,-116.6,-307.5,385.0,-150.7,-142.0,,-405.0,-243.9,-115.0,-383.7,-111.5,70.0,,-378.0,-442.0,,,-413.2,,-232.0,-512.8,True,True,False,True,True,,False,True,True,False,True,True,,False,False,,,False,,True,False
Delaware,842,850.9,815.4,848.8,809.0,763.5,762.0,,763.0,829.4,741.0,751.4,793.5,781.0,,821.1,789.0,,,722.2,,851.0,747.2,36.9,1.4,34.8,-5.0,-50.5,-52.0,,-51.0,15.4,-73.0,-62.6,-20.5,-33.0,,7.1,-25.0,,,-91.8,,37.0,-66.8,True,True,True,False,False,,False,True,False,False,True,True,,True,True,,,False,,False,False
District of Columbia,695,665.4,647.5,670.0,664.0,679.1,653.0,,658.0,661.3,675.2,663.7,671.5,664.0,,663.2,668.0,,,654.6,,670.0,657.8,-29.6,-47.5,-25.0,-31.0,-15.9,-42.0,,-37.0,-33.7,-19.8,-31.3,-23.5,-31.0,,-31.8,-27.0,,,-40.4,,-25.0,-37.2,False,True,False,True,False,,False,False,True,False,True,False,,False,True,,,False,,True,False
Florida,19084,18537.6,18806.9,18480.5,22441.0,20840.9,18239.0,,18761.0,20264.1,19745.2,18757.6,19659.5,17839.0,,18361.3,18897.5,,,18004.4,,19494.0,18400.9,-546.4,-277.1,-603.5,3357.0,1756.9,-845.0,,-323.0,1180.1,661.2,-326.4,575.5,-1245.0,,-722.7,-186.5,,,-1079.6,,410.0,-683.1,True,False,False,False,False,,True,False,False,True,False,False,,False,True,,,False,,True,False
