,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3877,3322.9,3328.4,3333.3,4311.0,3654.8,3133.0,,4523.6,3314.0,3583.0,3581.6,3207.8,3362.6,,3671.3,3134.0,,,3215.9,4103.6,3570.0,3190.7,-554.1,-548.6,-543.7,434.0,-222.2,-744.0,,646.6,-563.0,-294.0,-295.4,-669.2,-514.4,,-205.7,-743.0,,,-661.1,226.6,-307.0,-686.3,True,True,True,True,False,,False,False,True,True,False,True,,True,False,,,False,True,True,False
Alaska,143,73.9,74.6,76.0,106.0,143.6,117.0,,116.5,,95.9,145.4,106.0,126.4,,128.5,69.0,,,83.7,196.3,82.0,78.7,-69.1,-68.4,-67.0,-37.0,0.6,-26.0,,-26.5,,-47.1,2.4,-37.0,-16.6,,-14.5,-74.0,,,-59.3,53.3,-61.0,-64.3,True,True,True,True,True,,True,,True,True,True,True,,True,False,,,True,True,True,True
Arizona,6925,6149.3,6415.1,6168.3,6381.0,6430.6,5995.0,,6360.4,6206.0,6370.8,6409.2,6242.4,6180.9,,6262.3,6004.0,,,6233.9,6992.6,6399.0,6316.5,-775.7,-509.9,-756.7,-544.0,-494.4,-930.0,,-564.6,-719.0,-554.2,-515.8,-682.6,-744.1,,-662.7,-921.0,,,-691.1,67.6,-526.0,-608.5,True,True,True,True,False,,True,True,True,True,True,True,,True,False,,,True,True,True,True
Arkansas,2620,2444.6,2357.7,2474.6,2498.0,2635.9,2555.0,,2905.7,2498.0,2869.2,2829.7,2201.6,2256.5,,2185.6,2316.0,,,2288.1,2279.9,2562.0,2120.0,-175.4,-262.3,-145.4,-122.0,15.9,-65.0,,285.7,-122.0,249.2,209.7,-418.4,-363.5,,-434.4,-304.0,,,-331.9,-340.1,-58.0,-500.0,False,True,True,True,True,,False,True,False,False,False,False,,False,False,,,False,False,True,False
California,19870,19577.9,21563.3,19664.8,20078.0,19803.1,18257.0,,20178.7,19241.0,19716.2,19378.3,19328.0,18659.5,,18296.1,18384.0,,,19413.9,20973.7,20542.0,19226.9,-292.1,1693.3,-205.2,208.0,-66.9,-1613.0,,308.7,-629.0,-153.8,-491.7,-542.0,-1210.5,,-1573.9,-1486.0,,,-456.1,1103.7,672.0,-643.1,False,True,True,True,False,,False,False,True,False,False,False,,False,False,,,False,False,False,False
Colorado,3357,2498.3,2354.5,2479.6,3056.0,2913.0,3353.0,,2929.1,2449.0,2741.3,3275.7,2630.4,2531.5,,2629.4,2324.0,,,2359.7,4620.4,2716.0,2352.4,-858.7,-1002.5,-877.4,-301.0,-444.0,-4.0,,-427.9,-908.0,-615.7,-81.3,-726.6,-825.5,,-727.6,-1033.0,,,-997.3,1263.4,-641.0,-1004.6,False,False,True,True,True,,True,False,True,True,True,True,,True,False,,,False,False,True,False
Connecticut,5146,4782.0,5162.8,4840.1,5130.0,4884.5,4995.0,,4628.9,4684.0,4800.5,5020.8,4755.0,4626.3,,4721.1,4706.0,,,4680.3,5780.3,4838.0,4592.1,-364.0,16.8,-305.9,-16.0,-261.5,-151.0,,-517.1,-462.0,-345.5,-125.2,-391.0,-519.7,,-424.9,-440.0,,,-465.7,634.3,-308.0,-553.9,True,True,True,True,True,,False,False,True,True,False,False,,False,False,,,False,False,True,False
Delaware,782,774.7,795.7,781.4,754.0,764.6,764.0,,756.0,726.0,758.7,741.4,726.9,708.9,,765.3,708.0,,,731.8,869.9,774.0,721.7,-7.3,13.7,-0.6,-28.0,-17.4,-18.0,,-26.0,-56.0,-23.3,-40.6,-55.1,-73.1,,-16.7,-74.0,,,-50.2,87.9,-8.0,-60.3,False,True,False,False,False,,False,False,False,False,False,False,,False,False,,,False,False,False,False
District of Columbia,695,647.9,644.5,659.9,680.0,696.0,649.0,,702.4,654.0,658.6,693.4,660.3,662.5,,656.8,653.0,,,651.7,743.5,670.0,655.6,-47.1,-50.5,-35.1,-15.0,1.0,-46.0,,7.4,-41.0,-36.4,-1.6,-34.7,-32.5,,-38.2,-42.0,,,-43.3,48.5,-25.0,-39.4,False,True,True,True,True,,True,True,True,True,True,True,,True,True,,,True,False,True,True
Florida,19084,19135.0,18993.5,19415.8,24221.0,20542.0,18320.0,,22254.4,19093.0,21093.0,20550.7,19493.9,18118.8,,19293.0,18392.0,,,18714.8,18766.3,21316.0,18367.6,51.0,-90.5,331.8,5137.0,1458.0,-764.0,,3170.4,9.0,2009.0,1466.7,409.9,-965.2,,209.0,-692.0,,,-369.2,-317.7,2232.0,-716.4,False,False,False,False,False,,False,True,False,False,False,False,,False,False,,,False,False,False,False
