,mean_rank
UMass-MechBayes,13.1
USC-SI_kJalpha,13.9
CU-select,14.2
COVIDhub-ensemble,14.3
Caltech-CS156,14.4
JCB-PRM,14.7
OliverWyman-Navigator,14.8
UA-EpiCovDA,15.2
LNQ-ens1,15.3
Karlen-pypm,15.5
UCSD_NEU-DeepGLEAM,15.6
JHU_CSSE-DECOM,15.6
Google_Harvard-CPF,15.7
SteveMcConnell-CovidComplete,16.1
BPagano-RtDriven,16.4
JHU_IDD-CovidSP,17.5
MOBS-GLEAM_COVID,18.3
MSRA-DeepST,18.4
GT-DeepCOVID,19.0
JHUAPL-Bucky,19.0
LANL-GrowthRate,20.2
MIT_CritData-GBCF,20.4
CMU-TimeSeries,20.6
Columbia_UNC-SurvCon,20.8
IowaStateLW-STEM,21.5
UCSB-ACTS,22.0
epiforecasts-ensemble1,23.1
RobertWalraven-ESG,23.6
CovidAnalytics-DELPHI,24.8
CEID-Walk,25.5
COVIDhub-baseline,25.7
UMich-RidgeTfReg,25.9
PSI-DRAFT,26.0
DDS-NBDS,26.3
UT-Mobility,26.3
USACE-ERDC_SEIR,26.4
NotreDame-mobility,27.3
TTU-squider,29.2
UCLA-SuEIR,30.3
WalmartLabsML-LogForecasting,37.0
