,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3877,3638.3,4561.7,3656.7,3365.1,3175.9,2986.0,,3682.7,3107.0,3414.3,3170.6,3194.8,3075.4,,,3156.4,3692.0,3156.3,-238.7,684.7,-220.3,-511.9,-701.1,-891.0,,-194.3,-770.0,-462.7,-706.4,-682.2,-801.6,,,-720.6,-185.0,-720.7,False,True,False,False,False,,True,False,False,False,False,False,,,False,True,False
Alaska,143,115.0,596.2,116.0,195.6,145.2,91.0,,88.3,,97.6,120.1,94.1,146.9,,,83.8,101.0,81.0,-28.0,453.2,-27.0,52.6,2.2,-52.0,,-54.7,,-45.4,-22.9,-48.9,3.9,,,-59.2,-42.0,-62.0,False,True,False,True,False,,False,,False,True,False,True,,,False,False,False
Arizona,6925,6293.3,7627.9,6302.1,6318.1,6254.9,6024.0,,6535.7,6125.0,6618.3,6263.1,6171.3,6310.3,,,6320.6,6519.0,6369.5,-631.7,702.9,-622.9,-606.9,-670.1,-901.0,,-389.3,-800.0,-306.7,-661.9,-753.7,-614.7,,,-604.4,-406.0,-555.5,False,True,True,False,False,,True,False,True,False,False,True,,,True,True,True
Arkansas,2620,2629.7,2693.0,2607.7,2372.6,2335.2,2254.0,,2860.6,2720.0,2818.2,2575.4,2225.2,2283.6,,,2288.2,2656.0,2042.0,9.7,73.0,-12.3,-247.4,-284.8,-366.0,,240.6,100.0,198.2,-44.6,-394.8,-336.4,,,-331.8,36.0,-578.0,False,False,False,False,False,,False,False,False,False,False,False,,,False,False,False
California,19883,19721.9,21228.9,19681.2,21125.4,19372.1,19245.0,,20556.4,18800.0,20137.0,19482.4,18126.5,18779.3,,,19350.6,19244.0,19009.0,-161.1,1345.9,-201.8,1242.4,-510.9,-638.0,,673.4,-1083.0,254.0,-400.6,-1756.5,-1103.7,,,-532.4,-639.0,-874.0,False,False,False,False,False,,False,False,False,False,False,False,,,False,False,False
Colorado,3357,2608.0,3056.3,2630.1,2788.5,2573.5,2538.0,,3283.9,2414.0,2564.7,2711.9,2399.0,2426.0,,,2260.9,2936.0,2320.7,-749.0,-300.7,-726.9,-568.5,-783.5,-819.0,,-73.1,-943.0,-792.3,-645.1,-958.0,-931.0,,,-1096.1,-421.0,-1036.3,True,True,True,False,False,,True,False,False,True,False,False,,,False,True,False
Connecticut,5146,4624.3,4612.5,4751.3,4984.7,4690.2,4622.0,,4664.5,4632.0,4670.7,4912.7,4583.4,4983.4,,,4591.4,4731.0,4554.6,-521.7,-533.5,-394.7,-161.3,-455.8,-524.0,,-481.5,-514.0,-475.3,-233.3,-562.6,-162.6,,,-554.6,-415.0,-591.4,False,True,True,True,False,,True,True,True,True,False,True,,,False,True,False
Delaware,782,740.4,720.4,753.7,756.3,751.0,734.0,,781.2,706.0,737.2,742.9,698.5,771.9,,,706.6,738.0,710.2,-41.6,-61.6,-28.3,-25.7,-31.0,-48.0,,-0.8,-76.0,-44.8,-39.1,-83.5,-10.1,,,-75.4,-44.0,-71.8,False,True,True,True,False,,True,False,False,True,False,True,,,False,False,False
District of Columbia,695,668.4,685.1,683.2,758.4,676.9,646.0,,719.1,651.0,672.1,698.4,661.2,692.1,,,653.4,715.0,652.3,-26.6,-9.9,-11.8,63.4,-18.1,-49.0,,24.1,-44.0,-22.9,3.4,-33.8,-2.9,,,-41.6,20.0,-42.7,True,True,False,True,False,,True,False,True,True,False,True,,,False,True,False
Florida,19084,20101.9,23140.9,21032.2,21397.0,19066.2,17981.0,,21753.5,18394.0,20849.2,19419.8,18479.0,18572.1,,,19179.3,20966.0,18168.0,1017.9,4056.9,1948.2,2313.0,-17.8,-1103.0,,2669.5,-690.0,1765.2,335.8,-605.0,-511.9,,,95.3,1882.0,-916.0,False,False,False,True,False,,False,True,False,True,True,True,,,True,False,True
