,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3877,3741.7,4552.7,5334.7,3244.0,,3106.5,-135.3,675.7,1457.7,-633.0,,-770.5,False,False,False,,False
Alaska,143,106.3,121.2,61.7,,,69.3,-36.7,-21.8,-81.3,,,-73.7,True,False,,,False
Arizona,6925,7676.7,6574.2,7230.1,7740.0,,6629.4,751.7,-350.8,305.1,815.0,,-295.6,True,True,False,,True
Arkansas,2620,2308.3,2251.1,2747.6,1907.0,,1847.9,-311.7,-368.9,127.6,-713.0,,-772.1,False,True,False,,False
California,19883,23939.6,17910.1,35548.2,21776.0,,20991.3,4056.6,-1972.9,15665.2,1893.0,,1108.3,True,False,True,,True
Colorado,3357,2357.7,2205.1,2819.1,2293.0,,2150.0,-999.3,-1151.9,-537.9,-1064.0,,-1207.0,False,True,False,,False
Connecticut,5146,4506.6,4555.1,4718.9,4612.0,,4537.3,-639.4,-590.9,-427.1,-534.0,,-608.7,True,True,True,,True
Delaware,842,673.3,684.2,1010.3,663.0,,648.1,-153.7,-142.8,183.3,-164.0,,-178.9,True,False,False,,False
District of Columbia,695,675.3,642.5,867.4,647.0,,682.2,-19.7,-52.5,172.4,-48.0,,-12.8,False,False,False,,True
Florida,19084,21234.7,15799.3,22839.1,18287.0,,17421.5,2150.7,-3284.7,3755.1,-797.0,,-1662.5,False,False,True,,True
Georgia,9793,11604.1,8948.7,12601.5,8454.0,,8693.0,1811.1,-844.3,2808.5,-1339.0,,-1100.0,True,False,True,,True
Hawaii,261,367.9,358.6,178.4,,,371.4,106.9,97.6,-82.6,,,110.4,True,True,,,False
Idaho,1032,719.3,646.1,1411.5,781.0,,633.4,-312.7,-385.9,379.5,-251.0,,-398.6,False,False,True,,False
Illinois,14017,10472.9,10449.5,15558.0,9452.0,,10480.5,-3544.1,-3567.5,1541.0,-4565.0,,-3536.5,False,True,False,,True
Indiana,6899,4302.6,4207.4,5759.1,4264.0,,4115.9,-2635.4,-2730.6,-1178.9,-2674.0,,-2822.1,False,True,False,,False
Iowa,2682,1861.3,2678.2,3253.6,2084.0,,1809.9,-820.7,-3.8,571.6,-598.0,,-872.1,True,True,True,,False
Kansas,1786,892.4,1044.3,1529.3,710.0,,861.0,-893.6,-741.7,-256.7,-1076.0,,-925.0,True,True,False,,False
Kentucky,2062,1857.4,2009.4,3704.8,1375.0,,1970.5,-204.6,-52.6,1642.8,-687.0,,-91.5,True,False,False,,True
Louisiana,6548,7175.9,5918.8,8177.1,6575.0,,6675.1,627.9,-629.2,1629.1,27.0,,127.1,False,False,True,,True
Maine,227,159.7,158.9,222.8,206.0,,146.0,-67.3,-68.1,-4.2,-21.0,,-81.0,False,True,True,,False
Maryland,4820,4403.3,4472.5,6445.5,4125.0,,4086.9,-416.7,-347.5,1625.5,-695.0,,-733.1,True,False,False,,False
Massachusetts,10953,10102.1,12972.4,13245.8,9487.0,,9308.5,-850.9,2019.4,2292.8,-1466.0,,-1644.5,False,False,False,,False
Michigan,10321,7551.7,7627.2,10772.4,7770.0,,7385.1,-2769.3,-2693.8,451.4,-2551.0,,-2935.9,True,True,True,,False
Minnesota,3979,2474.7,2672.4,5354.5,2432.0,,2494.2,-1504.3,-1306.6,1375.5,-1547.0,,-1484.8,True,True,False,,True
Mississippi,3949,4422.6,3851.3,3985.7,4434.0,,3497.7,473.6,-97.7,36.7,485.0,,-451.3,True,True,False,,True
Missouri,4305,3639.3,3552.8,4549.6,2354.0,,2462.9,-640.7,-727.2,269.6,-1926.0,,-1817.1,False,True,False,,False
Montana,734,284.1,343.7,213.4,365.0,,196.2,-449.9,-390.3,-520.6,-369.0,,-537.8,True,False,True,,False
Nebraska,1194,558.3,682.3,904.1,608.0,,491.9,-635.7,-511.7,-289.9,-586.0,,-702.1,True,True,True,,False
Nevada,2301,2507.6,1944.4,3602.4,2132.0,,2293.6,206.6,-356.6,1301.4,-169.0,,-7.4,False,False,True,,True
New Hampshire,559,445.9,468.0,566.0,464.0,,471.1,-113.1,-91.0,7.0,-95.0,,-87.9,True,True,True,,True
New Jersey,17306,16657.6,16197.3,16684.9,16443.0,,16555.5,-648.4,-1108.7,-621.1,-863.0,,-750.5,False,True,False,,False
New Mexico,1738,1227.3,1078.9,1856.2,1129.0,,1028.7,-510.7,-659.1,118.2,-609.0,,-709.3,False,True,False,,False
New York,34939,33989.9,33574.4,36024.5,33443.0,,33528.2,-949.1,-1364.6,1085.5,-1496.0,,-1410.8,False,False,False,,False
North Carolina,5516,5435.7,5511.0,8271.8,4951.0,,4882.2,-80.3,-5.0,2755.8,-565.0,,-633.8,True,False,False,,False
North Dakota,1013,336.0,502.7,497.8,277.0,,306.4,-677.0,-510.3,-515.2,-736.0,,-706.6,True,True,False,,False
Ohio,8817,5930.4,6078.6,8677.0,6157.0,,5315.1,-3150.6,-3002.4,-404.0,-2924.0,,-3765.9,True,True,True,,False
Oklahoma,1874,1547.3,1747.2,3180.1,1700.0,,1264.3,-326.7,-126.8,1306.1,-174.0,,-609.7,True,False,True,,False
Oregon,1027,776.7,769.2,2020.8,674.0,,693.7,-250.3,-257.8,993.8,-353.0,,-333.3,False,False,False,,False
Pennsylvania,11191,8932.9,9047.5,12186.3,8443.0,,8348.7,-2258.1,-2143.5,995.3,-2748.0,,-2842.3,True,True,False,,False
Rhode Island,1482,1170.7,1169.9,1856.5,1123.0,,1124.8,-278.3,-279.1,407.5,-326.0,,-324.2,False,False,False,,False
South Carolina,4517,5175.6,5013.4,5858.6,4218.0,,4324.3,658.6,496.4,1341.6,-299.0,,-192.7,True,False,True,,True
South Dakota,1091,250.1,484.4,321.2,312.0,,305.3,-840.9,-606.6,-769.8,-779.0,,-785.7,True,True,True,,True
Tennessee,4905,3382.1,3437.8,6112.3,3489.0,,3417.0,-1522.9,-1467.2,1207.3,-1416.0,,-1488.0,True,True,True,,True
Texas,23353,26138.3,19631.3,30913.9,23938.0,22446.0,20752.2,3081.3,-3425.7,7856.9,881.0,-611.0,-2304.8,False,False,True,True,True
Utah,939,614.9,802.3,1700.1,772.0,,633.1,-324.1,-136.7,761.1,-167.0,,-305.9,True,False,True,,True
Vermont,79,58.0,61.5,58.9,58.0,,60.5,-21.0,-17.5,-20.1,-21.0,,-18.5,True,True,False,,True
Virginia,4197,4079.4,4163.6,8178.7,3421.0,,3154.4,-117.6,-33.4,3981.7,-776.0,,-1042.6,True,False,False,,False
Washington,2867,2570.1,2239.9,3525.4,2341.0,,2644.1,-301.9,-632.1,653.4,-531.0,,-227.9,False,False,False,,True
West Virginia,829,699.0,1382.8,1260.1,419.0,,361.7,-130.0,553.8,431.1,-410.0,,-467.3,False,False,False,,False
Wisconsin,3934,1759.4,1969.2,2931.1,1644.0,,1699.5,-2118.6,-1908.8,-946.9,-2234.0,,-2178.5,True,True,False,,False
