,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3877,3496.9,5926.6,3512.8,3109.2,3033.9,,3103.0,3208.6,3025.1,,,3206.8,3574.5,3277.0,3045.8,-380.1,2049.6,-364.2,-767.8,-843.1,,-774.0,-668.4,-851.9,,,-670.2,-302.5,-600.0,-831.2,False,True,False,False,,False,False,False,,,False,True,False,False
Alaska,143,75.7,62.1,76.9,309.8,160.4,,,74.5,148.7,,,77.6,172.0,97.0,72.5,-67.3,-80.9,-66.1,166.8,17.4,,,-68.5,5.7,,,-65.4,29.0,-46.0,-70.5,False,True,False,True,,,False,True,,,True,True,True,False
Arizona,6925,6175.4,5838.7,6238.0,6338.2,6761.7,,6323.0,6654.4,6230.4,,,6559.2,6682.5,6358.0,6386.6,-749.6,-1086.3,-687.0,-586.8,-163.3,,-602.0,-270.6,-694.6,,,-365.8,-242.5,-567.0,-538.4,False,True,True,True,,True,True,True,,,True,True,True,True
Arkansas,2620,2700.4,3549.9,2711.8,1883.9,2489.3,,2544.0,2751.1,2321.6,,,2302.8,2052.0,2491.0,1921.0,80.4,929.9,91.8,-736.1,-130.7,,-76.0,131.1,-298.4,,,-317.2,-568.0,-129.0,-699.0,False,False,False,False,,True,False,False,,,False,False,False,False
California,19870,19973.3,19970.9,20183.1,23632.0,20216.0,,18985.0,20449.7,19420.6,,,19530.9,19746.1,20296.0,18856.8,103.3,100.9,313.1,3762.0,346.0,,-885.0,579.7,-449.4,,,-339.1,-123.9,426.0,-1013.2,True,False,False,False,,False,False,False,,,False,False,False,False
Colorado,3357,2466.6,3392.2,2541.3,2278.5,2471.7,,2287.5,2554.1,2638.1,,,2306.1,4331.9,2571.0,2227.6,-890.4,35.2,-815.7,-1078.5,-885.3,,-1069.5,-802.9,-718.9,,,-1050.9,974.9,-786.0,-1129.4,True,True,False,True,,False,True,True,,,False,False,True,False
Connecticut,5146,4663.6,4845.1,4822.0,4798.7,4659.6,,4622.0,4656.3,4867.2,,,4600.0,5498.0,4730.0,4552.2,-482.4,-300.9,-324.0,-347.3,-486.4,,-524.0,-489.7,-278.8,,,-546.0,352.0,-416.0,-593.8,True,True,True,False,,False,False,True,,,False,True,True,False
Delaware,782,724.7,744.5,740.9,750.4,747.9,,716.0,745.3,733.1,,,691.3,892.8,724.0,687.3,-57.3,-37.5,-41.1,-31.6,-34.1,,-66.0,-36.7,-48.9,,,-90.7,110.8,-58.0,-94.7,True,True,True,True,,False,True,True,,,False,False,False,False
District of Columbia,695,684.1,695.5,698.2,678.6,671.1,,652.0,672.0,701.6,,,651.4,889.7,725.0,650.9,-10.9,0.5,3.2,-16.4,-23.9,,-43.0,-23.0,6.6,,,-43.6,194.7,30.0,-44.1,True,True,False,False,,False,False,True,,,False,False,False,False
Florida,19084,20809.0,19448.8,19652.3,18564.9,19358.5,,18678.0,20040.8,18341.7,,,18350.1,17278.4,18158.0,17681.5,1725.0,364.8,568.3,-519.1,274.5,,-406.0,956.8,-742.3,,,-733.9,-1805.6,-926.0,-1402.5,True,True,True,True,,True,True,True,,,True,False,True,True
