,mean_rank
MSRA-DeepST,12.4
COVIDhub-ensemble,14.0
Karlen-pypm,15.3
Google_Harvard-CPF,15.9
Caltech-CS156,16.0
UMass-MechBayes,16.3
UA-EpiCovDA,17.2
LNQ-ens1,17.9
OliverWyman-Navigator,18.0
IowaStateLW-STEM,18.3
CU-select,18.6
USC-SI_kJalpha,18.6
UChicagoCHATTOPADHYAY-UnIT,18.7
MIT_CritData-GBCF,18.9
CMU-TimeSeries,19.0
JCB-PRM,19.1
UCSD_NEU-DeepGLEAM,19.6
GT-DeepCOVID,20.1
MOBS-GLEAM_COVID,20.8
BPagano-RtDriven,20.8
DDS-NBDS,20.9
UCLA-SuEIR,21.6
SteveMcConnell-CovidComplete,22.0
LANL-GrowthRate,22.1
COVIDhub-baseline,22.3
CovidAnalytics-DELPHI,22.3
epiforecasts-ensemble1,22.4
CEID-Walk,22.7
JHU_IDD-CovidSP,22.9
JHU_CSSE-DECOM,23.3
UT-Mobility,25.2
IHME-CurveFit,26.2
Columbia_UNC-SurvCon,26.5
UMich-RidgeTfReg,26.8
Covid19Sim-Simulator,27.0
JHUAPL-Bucky,28.3
RobertWalraven-ESG,29.0
IQVIA_ACOE-STAN,29.2
PSI-DRAFT,29.5
UCSB-ACTS,29.6
NotreDame-mobility,30.8
USACE-ERDC_SEIR,31.5
TTU-squider,32.4
WalmartLabsML-LogForecasting,40.0
