,mean_rank
BPagano-RtDriven,12.3
Google_Harvard-CPF,12.8
Karlen-pypm,12.8
OliverWyman-Navigator,13.3
IowaStateLW-STEM,13.3
MIT_CritData-GBCF,14.3
UCSB-ACTS,14.5
UCSD_NEU-DeepGLEAM,15.5
USC-SI_kJalpha,15.7
GT-DeepCOVID,16.0
MSRA-DeepST,16.5
COVIDhub-ensemble,16.7
JCB-PRM,17.7
JHU_CSSE-DECOM,17.7
Caltech-CS156,17.7
SteveMcConnell-CovidComplete,17.9
JHUAPL-Bucky,18.3
MOBS-GLEAM_COVID,18.4
CovidAnalytics-DELPHI,19.6
Geneva-DetGrowth,20.0
UMass-MechBayes,21.0
epiforecasts-ensemble1,21.7
JHU_IDD-CovidSP,21.8
Covid19Sim-Simulator,22.0
LANL-GrowthRate,22.4
CMU-TimeSeries,22.7
CU-select,24.6
DDS-NBDS,25.2
LNQ-ens1,25.3
COVIDhub-baseline,25.6
CEID-Walk,25.9
UT-Mobility,26.2
UA-EpiCovDA,27.0
NotreDame-mobility,27.2
USACE-ERDC_SEIR,27.5
PSI-DRAFT,28.0
UChicagoCHATTOPADHYAY-UnIT,28.0
UCLA-SuEIR,28.6
IQVIA_ACOE-STAN,30.8
TTU-squider,32.0
RobertWalraven-ESG,32.1
WalmartLabsML-LogForecasting,39.4
Columbia_UNC-SurvCon,39.6
