,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,3877,3131.9,2936.5,4049.7,3361.0,3052.1,-745.1,-940.5,172.7,-516.0,-824.9,False,True,True,False
Alaska,143,164.4,96.1,47.4,,82.4,21.4,-46.9,-95.6,,-60.6,False,False,,False
Arizona,6925,7062.1,6686.4,7619.0,6616.0,6677.2,137.1,-238.6,694.0,-309.0,-247.8,False,False,False,False
Arkansas,2620,2559.9,3211.4,2448.2,1942.0,2022.2,-60.1,591.4,-171.8,-678.0,-597.8,False,False,False,False
California,19883,21421.7,18904.8,29003.1,19076.0,19728.9,1538.7,-978.2,9120.1,-807.0,-154.1,True,False,True,True
Colorado,3357,2307.1,2506.1,2568.6,2267.0,2190.5,-1049.9,-850.9,-788.4,-1090.0,-1166.5,True,True,False,False
Connecticut,5146,4589.7,4598.0,5371.2,4597.0,4559.3,-556.3,-548.0,225.2,-549.0,-586.7,True,True,True,False
Delaware,842,751.3,735.1,801.2,685.0,688.6,-77.7,-93.9,-27.8,-144.0,-140.4,False,True,False,False
District of Columbia,695,663.4,650.6,704.3,637.0,650.3,-31.6,-44.4,9.3,-58.0,-44.7,False,True,False,False
Florida,19084,21286.9,18532.9,24715.2,17430.0,18574.2,2202.9,-551.1,5631.2,-1654.0,-509.8,True,False,True,True
Georgia,9793,10336.9,8219.1,9587.3,8609.0,9217.9,543.9,-1573.9,-205.7,-1184.0,-575.1,False,True,False,False
Hawaii,261,250.3,184.6,167.0,,203.8,-10.7,-76.4,-94.0,,-57.2,False,False,,False
Idaho,1032,627.6,719.0,823.3,651.0,648.3,-404.4,-313.0,-208.7,-381.0,-383.7,True,True,True,True
Illinois,14017,10412.3,9953.7,11524.8,9968.0,10088.3,-3604.7,-4063.3,-2492.2,-4049.0,-3928.7,False,True,False,False
Indiana,6899,4309.4,4156.6,5326.6,4214.0,4079.4,-2576.6,-2729.4,-1559.4,-2672.0,-2806.6,False,True,False,False
Iowa,2682,1818.7,1695.7,1791.3,1873.0,1821.2,-863.3,-986.3,-890.7,-809.0,-860.8,False,False,True,True
Kansas,1786,1029.3,1186.7,2874.3,931.0,976.6,-756.7,-599.3,1088.3,-855.0,-809.4,True,False,False,False
Kentucky,2062,1610.4,1578.6,2898.5,1570.0,1771.8,-451.6,-483.4,836.5,-492.0,-290.2,False,False,False,True
Louisiana,6548,6421.1,6137.5,7277.1,6357.0,6826.4,-126.9,-410.5,729.1,-191.0,278.4,False,False,False,False
Maine,227,149.9,175.1,180.3,224.0,147.8,-77.1,-51.9,-46.7,-3.0,-79.2,True,True,True,False
Maryland,4820,4487.0,4216.4,4488.5,4377.0,4181.0,-333.0,-603.6,-331.5,-443.0,-639.0,False,True,False,False
Massachusetts,10953,10330.6,10417.8,11234.7,9809.0,9786.8,-622.4,-535.2,281.7,-1144.0,-1166.2,True,True,False,False
Michigan,10321,7783.3,7614.7,8231.2,7862.0,7479.7,-2537.7,-2706.3,-2089.8,-2459.0,-2841.3,False,True,True,False
Minnesota,3979,2483.9,2514.1,3525.3,2633.0,2637.9,-1495.1,-1464.9,-453.7,-1346.0,-1341.1,True,True,True,True
Mississippi,3949,3993.4,3556.8,4223.9,3597.0,3748.9,44.4,-392.2,274.9,-352.0,-200.1,False,False,False,False
Missouri,4305,4290.6,3169.1,4169.6,2474.0,2980.0,14.6,-1106.9,-106.4,-1802.0,-1296.0,False,False,False,False
Montana,734,330.7,520.3,443.1,327.0,276.7,-403.3,-213.7,-290.9,-407.0,-457.3,True,True,False,False
Nebraska,1194,746.0,726.1,1342.5,695.0,583.5,-448.0,-467.9,148.5,-499.0,-610.5,False,True,False,False
Nevada,2301,2117.3,2047.2,2661.2,1946.0,2287.0,-183.7,-253.8,360.2,-355.0,-14.0,False,False,False,True
New Hampshire,559,448.9,465.2,516.6,461.0,468.1,-110.1,-93.8,-42.4,-98.0,-90.9,True,True,True,True
