,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3877,3240.3,3528.5,3129.0,,3029.5,-636.7,-348.5,-748.0,,-847.5,True,False,,False
Alaska,143,67.7,136.3,,,61.9,-75.3,-6.7,,,-81.1,True,,,False
Arizona,6925,6519.6,6610.6,7072.0,,6500.7,-405.4,-314.4,147.0,,-424.3,True,True,,False
Arkansas,2620,2012.6,2233.2,2592.0,,1714.8,-607.4,-386.8,-28.0,,-905.2,True,True,,False
California,19870,22049.6,17635.0,21374.0,,19507.5,2179.6,-2235.0,1504.0,,-362.5,False,True,,True
Colorado,3357,2177.7,2277.6,2379.0,,2118.9,-1179.3,-1079.4,-978.0,,-1238.1,True,True,,False
Connecticut,5146,4622.3,4576.3,4641.0,,4565.6,-523.7,-569.7,-505.0,,-580.4,False,True,,False
Delaware,782,686.1,738.4,663.0,,656.7,-95.9,-43.6,-119.0,,-125.3,True,False,,False
District of Columbia,695,675.3,657.4,656.0,,646.2,-19.7,-37.6,-39.0,,-48.8,False,False,,False
Florida,19084,21607.6,17257.9,18537.0,,18376.6,2523.6,-1826.1,-547.0,,-707.4,True,True,,True
Georgia,9793,9842.7,8544.3,9036.0,,9048.0,49.7,-1248.7,-757.0,,-745.0,False,False,,False
Hawaii,261,265.0,197.0,,,227.4,4.0,-64.0,,,-33.6,False,,,False
Idaho,1032,770.7,730.7,721.0,,664.4,-261.3,-301.3,-311.0,,-367.6,False,False,,False
Illinois,14016,10331.4,9849.6,10038.0,,9763.3,-3684.6,-4166.4,-3978.0,,-4252.7,False,False,,False
Indiana,6207,4315.4,4252.6,4742.0,,4003.3,-1891.6,-1954.4,-1465.0,,-2203.7,False,True,,False
Iowa,2682,1848.4,1888.0,2078.0,,1745.0,-833.6,-794.0,-604.0,,-937.0,True,True,,False
Kansas,1786,1085.3,950.7,702.0,,875.3,-700.7,-835.3,-1084.0,,-910.7,False,False,,False
Kentucky,2062,1818.9,1880.4,1978.0,,1732.3,-243.1,-181.6,-84.0,,-329.7,True,True,,False
