,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3877,4377.0,6195.7,5223.0,3292.0,,500.0,2318.7,1346.0,-585.0,,False,False,False,
Alaska,143,95.4,276.6,21.9,,,-47.6,133.6,-121.1,,,False,False,,
Arizona,6925,11979.3,5995.4,8914.6,9524.0,,5054.3,-929.6,1989.6,2599.0,,True,True,True,
Arkansas,2620,1589.0,1650.1,1164.4,1549.0,,-1031.0,-969.9,-1455.6,-1071.0,,True,False,False,
California,19870,26324.6,21863.5,21026.4,20349.0,,6454.6,1993.5,1156.4,479.0,,True,True,True,
Colorado,3357,2736.9,3015.7,3853.8,2208.0,,-620.1,-341.3,496.8,-1149.0,,True,True,False,
Connecticut,5146,4771.3,4676.5,5031.1,4523.0,,-374.7,-469.5,-114.9,-623.0,,False,True,False,
Delaware,782,692.1,717.1,824.2,643.0,,-89.9,-64.9,42.2,-139.0,,True,True,False,
District of Columbia,695,637.6,719.4,671.7,622.0,,-55.4,26.4,-21.3,-71.0,,True,True,False,
Florida,19084,29048.3,21074.3,17837.2,19883.0,,9964.3,1990.3,-1246.8,799.0,,True,True,True,
Georgia,9793,9947.1,8419.9,11281.9,6206.0,,154.1,-1373.1,1488.9,-3587.0,,False,False,False,
Hawaii,261,26.0,304.8,34.3,,,-235.0,43.8,-226.7,,,True,True,,
Idaho,1032,1107.7,1148.7,393.9,480.0,,75.7,116.7,-638.1,-552.0,,False,False,False,
Illinois,14016,9928.3,11229.6,8502.1,8707.0,,-4087.7,-2786.4,-5513.9,-5309.0,,True,False,False,
Indiana,6207,4260.7,4499.7,4466.7,3425.0,,-1946.3,-1707.3,-1740.3,-2782.0,,True,True,False,
Iowa,2682,1753.0,1703.4,2526.3,1041.0,,-929.0,-978.6,-155.7,-1641.0,,False,True,False,
Kansas,1786,896.7,1281.1,749.7,736.0,,-889.3,-504.9,-1036.3,-1050.0,,True,False,False,
Kentucky,2062,1492.0,2165.5,1324.9,1123.0,,-570.0,103.5,-737.1,-939.0,,True,False,False,
Louisiana,6548,8364.1,6504.7,7866.6,6828.0,,1816.1,-43.3,1318.6,280.0,,True,True,True,
Maine,227,194.4,144.2,148.6,222.0,,-32.6,-82.8,-78.4,-5.0,,False,False,True,
Maryland,4820,4854.3,5419.7,4290.7,3868.0,,34.3,599.7,-529.3,-952.0,,False,False,False,
Massachusetts,10953,10584.4,9492.3,10156.0,9081.0,,-368.6,-1460.7,-797.0,-1872.0,,False,False,False,
Michigan,10321,7474.9,7582.0,7156.9,7434.0,,-2846.1,-2739.0,-3164.1,-2887.0,,True,False,False,
Minnesota,3979,2368.3,3234.7,2189.7,1942.0,,-1610.7,-744.3,-1789.3,-2037.0,,True,False,False,
Mississippi,3949,5453.0,4053.2,4272.0,3134.0,,1504.0,104.2,323.0,-815.0,,True,True,True,
Missouri,4276,2472.4,7799.1,2999.2,1817.0,,-1803.6,3523.1,-1276.8,-2459.0,,False,True,False,
Montana,734,328.9,511.9,319.6,294.0,,-405.1,-222.1,-414.4,-440.0,,True,False,False,
Nebraska,1194,617.7,1124.9,1141.5,463.0,,-576.3,-69.1,-52.5,-731.0,,True,True,False,
Nevada,2301,2582.0,2544.2,3293.5,2159.0,,281.0,243.2,992.5,-142.0,,True,False,True,
New Hampshire,559,559.9,477.8,512.9,450.0,,0.9,-81.2,-46.1,-109.0,,False,False,False,
New Jersey,17306,16711.0,16153.9,17670.1,16246.0,,-595.0,-1152.1,364.1,-1060.0,,False,True,False,
New Mexico,1738,1368.3,1080.0,1021.0,1308.0,,-369.7,-658.0,-717.0,-430.0,,False,False,False,
New York,34900,34138.6,33240.5,35424.2,33164.0,,-774.4,-1672.5,511.2,-1749.0,,False,True,False,
North Carolina,5516,4947.3,4459.0,5216.0,4184.0,,-568.7,-1057.0,-300.0,-1332.0,,False,True,False,
North Dakota,1013,212.1,475.4,218.7,158.0,,-800.9,-537.6,-794.3,-855.0,,True,True,False,
Ohio,6946,7493.3,5212.1,7139.3,5060.0,,547.3,-1733.9,193.3,-1886.0,,False,True,False,
Oklahoma,1874,1514.3,2271.5,2632.2,1702.0,,-359.7,397.5,758.2,-172.0,,False,False,True,
Oregon,1027,986.7,884.4,913.4,572.0,,-40.3,-142.6,-113.6,-455.0,,False,False,False,
Pennsylvania,11191,8937.3,8860.3,9007.9,8013.0,,-2253.7,-2330.7,-2183.1,-3178.0,,False,True,False,
Rhode Island,1413,1096.3,1270.9,1066.6,1131.0,,-303.7,-129.1,-333.4,-269.0,,True,False,True,
South Carolina,4517,6884.1,3379.0,3355.2,3714.0,,2367.1,-1138.0,-1161.8,-803.0,,True,True,True,
South Dakota,1091,349.3,292.2,244.4,290.0,,-741.7,-798.8,-846.6,-801.0,,False,False,False,
Tennessee,4905,2965.9,4371.5,2610.1,2819.0,,-1939.1,-533.5,-2294.9,-2086.0,,True,False,False,
Texas,23055,39056.6,17578.0,27946.8,33936.0,20656.0,16712.6,-4766.0,5602.8,11592.0,-1688.0,True,True,True,True
Utah,939,971.7,1051.7,702.5,728.0,,32.7,112.7,-236.5,-211.0,,False,False,False,
Vermont,79,74.9,60.0,56.6,59.0,,-4.1,-19.0,-22.4,-20.0,,False,False,False,
Virginia,4197,4718.0,4386.6,2374.5,2572.0,,521.0,189.6,-1822.5,-1625.0,,True,False,False,
