,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3877,4226.7,3315.0,2868.5,3276.0,,3210.4,349.7,-562.0,-1008.5,-601.0,,-666.6,False,False,False,,False
Alaska,143,106.3,113.0,37.4,,,68.8,-36.7,-30.0,-105.6,,,-74.2,True,False,,,False
Arizona,6925,8619.0,6425.3,7274.0,7559.0,,7260.4,1694.0,-499.7,349.0,634.0,,335.4,True,True,True,,True
Arkansas,2620,2128.1,1651.5,2504.0,1905.0,,1632.2,-491.9,-968.5,-116.0,-715.0,,-987.8,False,True,False,,False
California,19883,23801.0,20731.5,39585.9,21186.0,,20637.5,3918.0,848.5,19702.9,1303.0,,754.5,True,False,True,,True
Colorado,3357,2274.6,2168.6,2451.2,2289.0,,2118.8,-1082.4,-1188.4,-905.8,-1068.0,,-1238.2,False,True,True,,False
Connecticut,5146,4534.3,4571.7,4644.0,4601.0,,4541.2,-611.7,-574.3,-502.0,-545.0,,-604.8,True,True,True,,True
Delaware,782,659.4,656.3,693.9,672.0,,650.1,-122.6,-125.7,-88.1,-110.0,,-131.9,False,True,True,,False
District of Columbia,695,633.7,647.4,964.0,650.0,,633.4,-61.3,-47.6,269.0,-45.0,,-61.6,True,False,True,,False
Florida,19084,22121.6,14810.3,24802.6,18882.0,,19202.9,3037.6,-4273.7,5718.6,-202.0,,118.9,False,False,True,,True
Georgia,9793,12144.6,8892.7,12440.8,8347.0,,9571.7,2351.6,-900.3,2647.8,-1446.0,,-221.3,True,False,True,,True
Hawaii,261,284.7,514.9,63.4,,,184.5,23.7,253.9,-197.6,,,-76.5,False,False,,,False
Idaho,1032,1079.6,733.6,1418.5,867.0,,699.7,47.6,-298.4,386.5,-165.0,,-332.3,False,False,False,,False
