,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3877,3062.9,2650.9,3104.2,3117.0,,3025.7,-814.1,-1226.1,-772.8,-760.0,,-851.3,False,True,True,,False
Alaska,143,75.7,66.8,143.6,,,74.3,-67.3,-76.2,0.6,,,-68.7,False,True,,,False
Arizona,6925,6441.1,5852.5,6990.1,6367.0,,6442.4,-483.9,-1072.5,65.1,-558.0,,-482.6,False,True,False,,True
Arkansas,2620,2461.3,2479.8,2846.6,2555.0,,2154.8,-158.7,-140.2,226.6,-65.0,,-465.2,True,False,True,,False
California,19870,20938.7,19017.7,20101.8,19487.0,,19713.4,1068.7,-852.3,231.8,-383.0,,-156.6,True,True,True,,True
Colorado,3357,2307.1,2313.7,2531.0,2292.0,,2179.1,-1049.9,-1043.3,-826.0,-1065.0,,-1177.9,True,True,False,,False
Connecticut,5146,4619.3,4714.2,4677.6,4636.0,,4574.4,-526.7,-431.8,-468.4,-510.0,,-571.6,True,True,True,,False
Delaware,782,751.3,780.7,763.1,686.0,,678.6,-30.7,-1.3,-18.9,-96.0,,-103.4,True,True,False,,False
District of Columbia,695,693.0,718.8,665.4,647.0,,652.9,-2.0,23.8,-29.6,-48.0,,-42.1,False,False,False,,False
Florida,19084,20330.7,18743.4,19529.0,18273.5,,18355.8,1246.7,-340.6,445.0,-810.5,,-728.2,True,True,True,,True
Georgia,9793,9075.1,8146.2,8803.0,8626.0,,8938.3,-717.9,-1646.8,-990.0,-1167.0,,-854.7,False,False,False,,False
Hawaii,261,368.6,865.3,207.9,,,205.8,107.6,604.3,-53.1,,,-55.2,False,True,,,True
Idaho,1032,676.9,956.3,773.1,673.0,,657.9,-355.1,-75.7,-258.9,-359.0,,-374.1,True,True,False,,False
Illinois,14016,10767.1,11582.3,10246.9,10148.0,,10135.4,-3248.9,-2433.7,-3769.1,-3868.0,,-3880.6,True,False,False,,False
Indiana,6207,4506.6,4605.8,4553.7,4421.0,,4177.4,-1700.4,-1601.2,-1653.3,-1786.0,,-2029.6,True,True,False,,False
Iowa,2682,2015.9,2351.3,1952.0,1843.0,,1896.5,-666.1,-330.7,-730.0,-839.0,,-785.5,True,False,False,,False
Kansas,1786,1177.1,1378.7,1141.5,970.0,,1035.3,-600.9,-399.3,-636.5,-808.0,,-742.7,True,False,False,,False
Kentucky,2062,1669.6,1995.4,1678.6,1663.0,,1751.6,-392.4,-66.6,-383.4,-399.0,,-310.4,True,True,False,,True
