,mean_rank
Karlen-pypm,10.6
UMass-MechBayes,12.3
Caltech-CS156,14.6
OliverWyman-Navigator,14.6
USC-SI_kJalpha,14.7
SteveMcConnell-CovidComplete,14.7
CU-select,14.9
Google_Harvard-CPF,15.5
UCSD_NEU-DeepGLEAM,15.6
MSRA-DeepST,16.1
LNQ-ens1,16.1
UA-EpiCovDA,16.5
CMU-TimeSeries,17.2
Covid19Sim-Simulator,17.6
COVIDhub-ensemble,17.9
MOBS-GLEAM_COVID,17.9
JHUAPL-Bucky,18.3
JCB-PRM,18.7
GT-DeepCOVID,19.0
JHU_CSSE-DECOM,19.4
LANL-GrowthRate,19.4
Columbia_UNC-SurvCon,20.3
USC-SI_kJalpha_RF,20.9
DDS-NBDS,22.4
BPagano-RtDriven,22.8
epiforecasts-ensemble1,22.9
MIT_CritData-GBCF,22.9
IowaStateLW-STEM,24.0
RobertWalraven-ESG,25.2
UCSB-ACTS,25.4
CEID-Walk,25.8
COVIDhub-baseline,26.0
UMich-RidgeTfReg,27.0
CovidAnalytics-DELPHI,27.6
UT-Mobility,27.9
TTU-squider,28.2
PSI-DRAFT,28.9
JHU_UNC_GAS-StatMechPool,29.6
NotreDame-mobility,29.6
UCLA-SuEIR,30.8
JHU_IDD-CovidSP,34.7
WalmartLabsML-LogForecasting,38.8
