,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,3877,3845.1,4031.7,3881.1,3915.0,3879.1,3879.0,3743.0,3805.2,3700.0,3723.4,3802.0,3826.8,3859.2,3850.8,,3719.6,3789.0,4056.0,3903.5,3698.1,3968.0,3747.6,3862.9,3829.0,3885.0,3870.0,3948.9,3886.8,,3461.6,3968.1,3843.0,,3784.7,4000.7,3894.0,3638.6,3812.0,3855.6,,3972.0,3961.5,3925.1,3827.0,3758.2,3849.1,3901.0,3775.0,3613.6,3908.0,-31.9,154.7,4.1,38.0,2.1,2.0,-134.0,-71.8,-177.0,-153.6,-75.0,-50.2,-17.8,-26.2,,-157.4,-88.0,179.0,26.5,-178.9,91.0,-129.4,-14.1,-48.0,8.0,-7.0,71.9,9.8,,-415.4,91.1,-34.0,,-92.3,123.7,17.0,-238.4,-65.0,-21.4,,95.0,84.5,48.1,-50.0,-118.8,-27.9,24.0,-102.0,-263.4,31.0,False,True,False,True,True,False,False,False,False,False,False,True,True,,False,False,False,True,False,False,False,True,False,True,True,False,True,,False,False,False,,False,False,True,False,False,True,,False,False,False,False,False,True,True,False,False,True
Alaska,143,112.3,121.8,106.2,130.0,110.0,123.0,141.0,131.2,122.0,164.8,129.0,118.4,129.0,163.9,,132.0,,,112.1,127.9,134.0,150.4,125.1,120.0,121.2,185.0,124.7,139.6,,116.1,127.4,118.0,,,109.1,120.0,162.2,147.0,129.0,,178.6,123.9,154.3,131.0,115.0,154.7,113.0,111.0,110.7,,-30.7,-21.2,-36.8,-13.0,-33.0,-20.0,-2.0,-11.8,-21.0,21.8,-14.0,-24.6,-14.0,20.9,,-11.0,,,-30.9,-15.1,-9.0,7.4,-17.9,-23.0,-21.8,42.0,-18.3,-3.4,,-26.9,-15.6,-25.0,,,-33.9,-23.0,19.2,4.0,-14.0,,35.6,-19.1,11.3,-12.0,-28.0,11.7,-30.0,-32.0,-32.3,,True,False,True,False,True,True,True,True,True,True,True,True,True,,True,,,False,True,True,True,True,True,True,False,True,True,,True,True,True,,,False,True,True,True,True,,False,True,True,True,True,True,True,False,False,
Arizona,6925,6764.9,6771.4,6769.8,6862.0,6770.8,6849.0,6883.0,6940.0,7041.0,7296.5,6597.0,6750.6,6830.7,6949.2,,6924.1,6840.0,6838.0,6967.2,6833.8,6862.0,6867.1,7063.1,6759.0,6928.3,6957.0,6794.5,6897.6,,6712.7,6908.6,7399.0,,6777.0,7043.5,7038.0,7238.5,6960.0,6739.3,,7095.9,6800.4,6915.7,7054.0,6765.5,7179.2,6933.0,6811.0,6627.7,6853.0,-160.1,-153.6,-155.2,-63.0,-154.2,-76.0,-42.0,15.0,116.0,371.5,-328.0,-174.4,-94.3,24.2,,-0.9,-85.0,-87.0,42.2,-91.2,-63.0,-57.9,138.1,-166.0,3.3,32.0,-130.5,-27.4,,-212.3,-16.4,474.0,,-148.0,118.5,113.0,313.5,35.0,-185.7,,170.9,-124.6,-9.3,129.0,-159.5,254.2,8.0,-114.0,-297.3,-72.0,True,True,True,True,True,True,True,True,False,False,False,True,True,,True,True,True,True,True,True,True,True,False,True,True,True,True,,False,True,False,,True,True,True,False,True,False,,False,True,True,True,True,False,True,True,False,True
Arkansas,2620,2680.1,2794.7,2726.1,2710.0,2693.0,2694.0,2557.0,2661.5,2615.0,2724.8,2678.0,2654.8,2804.3,2697.2,,2467.2,2636.0,2694.0,2697.5,2614.0,2772.0,2563.7,2749.7,2636.5,2705.0,2686.0,2612.6,2673.7,,2440.5,2749.0,2695.0,,2637.9,2708.2,2622.0,2899.0,2706.0,2774.1,,2789.2,2622.8,2710.9,2667.0,2575.0,2588.4,2767.0,2559.0,2508.0,2518.0,60.1,174.7,106.1,90.0,73.0,74.0,-63.0,41.5,-5.0,104.8,58.0,34.8,184.3,77.2,,-152.8,16.0,74.0,77.5,-6.0,152.0,-56.3,129.7,16.5,85.0,66.0,-7.4,53.7,,-179.5,129.0,75.0,,17.9,88.2,2.0,279.0,86.0,154.1,,169.2,2.8,90.9,47.0,-45.0,-31.6,147.0,-61.0,-112.0,-102.0,False,False,False,False,False,False,True,True,False,True,True,False,False,,False,True,False,False,True,False,True,False,True,False,False,True,True,,False,False,False,,True,False,True,False,False,False,,False,True,False,True,True,True,False,False,False,False
California,19870,19587.7,20180.7,19460.8,19799.0,19509.7,19635.0,20225.0,19786.5,19481.0,19556.9,19345.0,19483.5,19898.0,19635.5,,19561.0,19494.0,19784.0,19580.2,20124.0,19873.0,20233.8,19647.9,19738.0,20178.4,19887.0,19436.2,19860.1,,19375.0,19772.5,20636.0,,19228.2,20107.6,19572.0,17247.8,19975.0,19607.1,19291.0,19337.2,19454.5,20112.3,20072.0,19899.5,20436.3,19912.0,19449.0,19308.6,19679.0,-282.3,310.7,-409.2,-71.0,-360.3,-235.0,355.0,-83.5,-389.0,-313.1,-525.0,-386.5,28.0,-234.5,,-309.0,-376.0,-86.0,-289.8,254.0,3.0,363.8,-222.1,-132.0,308.4,17.0,-433.8,-9.9,,-495.0,-97.5,766.0,,-641.8,237.6,-298.0,-2622.2,105.0,-262.9,-579.0,-532.8,-415.5,242.3,202.0,29.5,566.3,42.0,-421.0,-561.4,-191.0,False,False,True,False,True,False,True,False,False,False,False,True,True,,False,False,True,False,True,True,False,True,True,False,True,False,True,,False,True,False,,False,True,False,False,True,True,False,False,False,True,True,True,False,True,False,False,True
Colorado,3357,3288.9,3521.2,3305.8,3398.0,3311.0,3375.0,3349.0,3328.3,3331.0,3478.3,3400.0,3250.1,3392.9,3336.9,,3143.3,3185.0,3388.0,3316.9,3076.1,3473.0,3332.4,3539.3,3493.0,3515.4,3421.0,3347.3,3412.4,,3108.1,3400.3,3173.0,,3155.5,3498.9,3272.0,3627.5,3012.0,3357.4,,3608.0,3371.8,3418.6,3379.0,3237.9,4605.6,3514.0,3455.0,2903.7,4026.0,-68.1,164.2,-51.2,41.0,-46.0,18.0,-8.0,-28.7,-26.0,121.3,43.0,-106.9,35.9,-20.1,,-213.7,-172.0,31.0,-40.1,-280.9,116.0,-24.6,182.3,136.0,158.4,64.0,-9.7,55.4,,-248.9,43.3,-184.0,,-201.5,141.9,-85.0,270.5,-345.0,0.4,,251.0,14.8,61.6,22.0,-119.1,1248.6,157.0,98.0,-453.3,669.0,False,True,True,True,True,True,True,True,False,True,False,True,True,,False,False,True,True,False,False,True,False,False,False,True,True,True,,False,True,False,,False,False,False,False,False,True,,False,True,True,True,False,False,False,False,False,False
Connecticut,5146,4997.0,5034.8,5010.3,5054.0,5010.1,5048.0,5075.0,5074.4,5027.0,5207.4,5082.0,5028.5,5259.0,5244.3,,5022.1,4928.0,5130.0,5077.2,5023.7,5070.0,5118.9,5113.7,5122.0,5057.8,5065.0,5039.0,5084.7,,4952.4,5045.2,4835.0,,4985.9,4967.2,5135.0,5316.8,4926.0,5015.4,,5179.5,5048.1,5058.2,5148.0,4947.2,6464.1,5058.0,4975.0,4852.0,5042.0,-149.0,-111.2,-135.7,-92.0,-135.9,-98.0,-71.0,-71.6,-119.0,61.4,-64.0,-117.5,113.0,98.3,,-123.9,-218.0,-16.0,-68.8,-122.3,-76.0,-27.1,-32.3,-24.0,-88.2,-81.0,-107.0,-61.3,,-193.6,-100.8,-311.0,,-160.1,-178.8,-11.0,170.8,-220.0,-130.6,,33.5,-97.9,-87.8,2.0,-198.8,1318.1,-88.0,-171.0,-294.0,-104.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,False,False,True,False,False,True,,True,True,True,True,False,False,True,False,False,True
Delaware,782,770.3,788.0,771.2,776.0,766.2,791.0,810.0,785.3,802.0,828.0,769.0,812.7,788.9,813.3,,793.1,759.0,793.0,792.5,811.1,773.0,799.5,797.2,777.0,781.6,801.0,777.1,794.4,,807.6,783.6,799.0,,,758.2,816.0,768.4,796.0,763.2,,816.5,788.1,798.1,797.0,779.3,875.0,782.0,771.0,764.7,775.0,-11.7,6.0,-10.8,-6.0,-15.8,9.0,28.0,3.3,20.0,46.0,-13.0,30.7,6.9,31.3,,11.1,-23.0,11.0,10.5,29.1,-9.0,17.5,15.2,-5.0,-0.4,19.0,-4.9,12.4,,25.6,1.6,17.0,,,-23.8,34.0,-13.6,14.0,-18.8,,34.5,6.1,16.1,15.0,-2.7,93.0,0.0,-11.0,-17.3,-7.0,True,True,True,False,True,False,True,False,False,False,False,True,False,,True,False,True,True,False,True,False,False,True,True,False,True,False,,False,True,False,,,False,False,False,False,False,,False,True,False,False,True,False,True,True,False,True
District of Columbia,695,688.6,696.7,693.1,696.0,694.0,692.0,691.0,697.1,689.0,689.7,679.0,691.9,702.6,712.0,,684.1,692.0,678.0,687.3,685.1,704.0,696.6,697.8,692.0,683.7,699.0,,,,680.4,694.5,678.0,,,695.8,685.0,704.5,695.0,697.2,,682.7,,689.3,690.0,,743.8,698.0,685.0,674.2,944.0,-6.4,1.7,-1.9,1.0,-1.0,-3.0,-4.0,2.1,-6.0,-5.3,-16.0,-3.1,7.6,17.0,,-10.9,-3.0,-17.0,-7.7,-9.9,9.0,1.6,2.8,-3.0,-11.3,4.0,,,,-14.6,-0.5,-17.0,,,0.8,-10.0,9.5,0.0,2.2,,-12.3,,-5.7,-5.0,,48.8,3.0,-10.0,-20.8,249.0,True,True,True,True,True,True,True,True,True,False,True,False,False,,False,True,False,False,False,False,True,True,True,False,True,,,,False,True,False,,,True,False,False,True,True,,False,,True,True,,False,True,False,False,False
Florida,19084,18869.4,19139.4,18858.4,18953.0,18811.8,19011.0,19319.0,19002.3,18454.0,18668.9,18776.0,19067.0,19286.4,18943.5,,18922.9,18846.0,19171.0,18892.0,19210.9,19021.0,19477.9,18984.7,19053.0,19159.5,18992.0,19551.3,19134.1,,19024.2,19036.3,18821.0,,18890.4,19262.0,18878.0,19867.6,19143.0,18882.9,,18944.5,19563.7,19171.0,19176.0,18869.4,19305.6,18999.0,18671.0,18652.6,19075.0,-214.6,55.4,-225.6,-131.0,-272.2,-73.0,235.0,-81.7,-630.0,-415.1,-308.0,-17.0,202.4,-140.5,,-161.1,-238.0,87.0,-192.0,126.9,-63.0,393.9,-99.3,-31.0,75.5,-92.0,467.3,50.1,,-59.8,-47.7,-263.0,,-193.6,178.0,-206.0,783.6,59.0,-201.1,,-139.5,479.7,87.0,92.0,-214.6,221.6,-85.0,-413.0,-431.4,-9.0,True,False,True,False,True,False,True,False,False,False,True,True,True,,True,False,True,True,True,True,False,True,True,True,True,False,True,,True,True,False,,True,True,True,False,True,True,,True,False,True,True,False,False,True,False,False,True
