,total_deaths_2020-10-18,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
BPagano-RtDriven,220303,273132.2,284200,53458.2,63897,-10438.8,-16.3%
Columbia_UNC-SurvCon,220303,272809.3,284200,53135.3,63897,-10761.7,-16.8%
IHME-CurveFit,220303,266788.9,284200,47114.9,63897,-16782.1,-26.3%
QJHong-Encounter,220303,264194.9,284200,44520.9,63897,-19376.1,-30.3%
IBF-TimeSeries,220303,262436.0,284200,42762.0,63897,-21135.0,-33.1%
USC-SI_kJalpha,220303,261768.0,284200,42094.0,63897,-21803.0,-34.1%
JHUAPL-Bucky,220303,260512.7,284200,40838.7,63897,-23058.3,-36.1%
JCB-PRM,220303,259114.5,284200,39440.5,63897,-24456.5,-38.3%
COVIDhub-baseline,220303,253698.8,284200,34024.8,63897,-29872.2,-46.8%
Baseline,220303,253315.1,284200,33641.1,63897,-30255.9,-47.4%
STH-3PU,220303,251306.0,284200,31632.0,63897,-32265.0,-50.5%
Covid19Sim-Simulator,220303,250165.7,284200,30491.7,63897,-33405.3,-52.3%
UCLA-SuEIR,220303,249841.2,284200,30167.2,63897,-33729.8,-52.8%
IowaStateLW-STEM,220303,247314.0,284200,27640.0,63897,-36257.0,-56.7%
WalmartLabsML-LogForecasting,220303,241383.0,284200,21709.0,63897,-42188.0,-66.0%
CovidAnalytics-DELPHI,220303,238104.0,284200,18430.0,63897,-45467.0,-71.2%
LANL-GrowthRate,220303,235590.7,284200,15916.7,63897,-47980.3,-75.1%
MITCovAlliance-SIR,220303,,284200,,63897,,
