,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,3877,3512.1,3907.2,3554.9,3634.0,3542.0,3537.0,3506.0,3599.5,3705.0,3811.0,3293.0,3705.2,3489.5,3536.6,,3517.0,3587.0,3417.7,3609.0,3291.3,3464.0,3616.5,3520.5,3486.2,3600.0,3752.0,3620.0,,3633.8,3667.3,3321.0,,3501.5,3668.3,3644.0,3538.7,3456.0,3442.8,,3506.2,3773.5,3608.0,3500.4,3596.0,3532.6,3518.0,3328.8,3520.0,-364.9,30.2,-322.1,-243.0,-335.0,-340.0,-371.0,-277.5,-172.0,-66.0,-584.0,-171.8,-387.5,-340.4,,-360.0,-290.0,-459.3,-268.0,-585.7,-413.0,-260.5,-356.5,-390.8,-277.0,-125.0,-257.0,,-243.2,-209.7,-556.0,,-375.5,-208.7,-233.0,-338.3,-421.0,-434.2,,-370.8,-103.5,-269.0,-376.6,-281.0,-344.4,-359.0,-548.2,-357.0,True,True,True,True,True,False,True,True,True,False,True,False,True,,True,True,False,True,False,False,True,True,False,True,True,True,,True,True,False,,False,True,True,True,False,False,,False,True,True,False,True,True,True,False,True
Alaska,143,87.9,97.9,100.3,125.0,92.8,117.0,153.0,129.9,174.0,168.1,113.0,123.7,166.6,170.7,,,98.1,160.2,160.0,108.2,84.0,136.8,107.0,127.3,223.0,94.9,232.1,,102.2,123.1,115.0,,,102.0,127.0,167.7,165.0,104.6,,161.6,94.7,144.0,102.2,118.0,129.7,94.0,95.1,,-55.1,-45.1,-42.7,-18.0,-50.2,-26.0,10.0,-13.1,31.0,25.1,-30.0,-19.3,23.6,27.7,,,-44.9,17.2,17.0,-34.8,-59.0,-6.2,-36.0,-15.7,80.0,-48.1,89.1,,-40.8,-19.9,-28.0,,,-41.0,-16.0,24.7,22.0,-38.4,,18.6,-48.3,1.0,-40.8,-25.0,-13.3,-49.0,-47.9,,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,False,True,True,True,False,True,False,,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,
Arizona,6925,6877.6,7875.1,6783.1,6790.0,6819.6,6821.0,6930.0,6837.8,7249.0,6506.9,6284.0,6833.1,6674.1,6777.3,,6580.0,6766.5,6536.8,6750.0,6500.3,6585.0,7232.2,7685.0,7171.7,6551.0,7167.1,6860.1,,6515.9,7133.2,6494.0,,6540.9,6982.9,7008.0,7222.9,7090.0,6795.1,,6559.6,7191.7,7144.0,7088.4,7498.0,6898.4,7280.0,6460.8,7061.0,-47.4,950.1,-141.9,-135.0,-105.4,-104.0,5.0,-87.2,324.0,-418.1,-641.0,-91.9,-250.9,-147.7,,-345.0,-158.5,-388.2,-175.0,-424.7,-340.0,307.2,760.0,246.7,-374.0,242.1,-64.9,,-409.1,208.2,-431.0,,-384.1,57.9,83.0,297.9,165.0,-129.9,,-365.4,266.7,219.0,163.4,573.0,-26.6,355.0,-464.2,136.0,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,True,False,False,False
Arkansas,2620,2574.9,2744.8,2650.0,2761.0,2640.2,2635.0,2690.0,2601.2,3041.0,2739.5,2608.0,2582.1,2615.2,2772.8,,2633.0,2742.7,2538.4,2601.0,2328.9,2604.5,2672.7,2659.0,2656.6,2531.0,2639.0,2606.5,,2162.5,2794.1,2511.0,,2857.2,2656.2,2777.0,2544.1,2853.0,2528.4,,2520.0,2660.4,2590.0,2520.4,2731.0,2636.4,2456.0,2342.0,2476.0,-45.1,124.8,30.0,141.0,20.2,15.0,70.0,-18.8,421.0,119.5,-12.0,-37.9,-4.8,152.8,,13.0,122.7,-81.6,-19.0,-291.1,-15.5,52.7,39.0,36.6,-89.0,19.0,-13.5,,-457.5,174.1,-109.0,,237.2,36.2,157.0,-75.9,233.0,-91.6,,-100.0,40.4,-30.0,-99.6,111.0,16.4,-164.0,-278.0,-144.0,False,True,False,True,True,False,True,False,False,True,True,True,False,,True,False,False,True,False,True,False,True,True,False,True,True,,False,False,False,,False,True,False,False,False,False,,False,True,True,False,False,True,False,False,False
California,19883,19137.9,19381.6,19169.2,19704.0,19167.8,19262.0,20261.0,19534.7,19666.0,19802.0,18529.0,18886.1,19263.4,19545.7,,19226.0,19452.2,19461.9,19379.0,19121.6,19072.0,19310.6,19121.5,19405.0,19505.0,18566.2,19602.4,,18670.0,19097.1,19493.0,,19092.9,19155.6,19737.0,17021.0,19680.0,19157.0,19299.0,19581.8,18576.1,19852.0,19442.9,19559.0,19279.5,18744.0,19163.9,18804.0,-741.1,-497.4,-709.8,-175.0,-711.2,-617.0,382.0,-344.3,-213.0,-77.0,-1350.0,-992.9,-615.6,-333.3,,-653.0,-426.8,-417.1,-500.0,-757.4,-807.0,-568.4,-757.5,-474.0,-374.0,-1312.8,-276.6,,-1209.0,-781.9,-386.0,,-786.1,-723.4,-142.0,-2858.0,-199.0,-722.0,-580.0,-297.2,-1302.9,-27.0,-436.1,-320.0,-599.5,-1135.0,-715.1,-1075.0,True,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,True,False,False,True,False,True,True,False,True,,False,False,True,,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False
Colorado,3357,2802.9,3566.4,2794.7,3248.0,2805.5,2957.0,3414.0,3067.1,4147.0,3080.1,4907.0,2993.3,3022.7,3011.6,,2763.0,2952.0,3058.5,2996.0,2750.2,2744.0,3293.2,3292.0,3124.4,2867.0,2942.4,3060.1,,2816.8,3086.8,2619.0,,2716.2,3840.3,2861.0,3560.6,2913.0,2741.0,,2721.6,2962.4,3291.0,2653.0,3157.0,2868.5,2885.0,2501.9,2824.0,-554.1,209.4,-562.3,-109.0,-551.5,-400.0,57.0,-289.9,790.0,-276.9,1550.0,-363.7,-334.3,-345.4,,-594.0,-405.0,-298.5,-361.0,-606.8,-613.0,-63.8,-65.0,-232.6,-490.0,-414.6,-296.9,,-540.2,-270.2,-738.0,,-640.8,483.3,-496.0,203.6,-444.0,-616.0,,-635.4,-394.6,-66.0,-704.0,-200.0,-488.5,-472.0,-855.1,-533.0,True,False,True,True,True,True,True,False,True,False,True,True,True,,False,True,True,True,False,False,True,True,True,True,True,True,,True,True,False,,False,True,True,True,True,False,,False,True,True,False,True,True,True,False,True
Connecticut,5146,4883.1,4988.5,4881.2,5002.0,4899.6,4966.0,5049.0,4942.6,5442.0,5113.4,5159.0,4987.5,5304.1,5083.0,,4881.0,4992.0,5181.7,4926.0,4827.3,4859.0,5157.7,4973.0,4936.4,4839.0,5006.2,4952.1,,4833.1,4995.5,4672.0,,4876.8,4783.7,5024.0,5980.5,4794.0,4836.4,,4887.4,5028.5,5182.0,4823.6,4993.0,4939.7,4841.5,4680.2,4958.0,-262.9,-157.5,-264.8,-144.0,-246.4,-180.0,-97.0,-203.4,296.0,-32.6,13.0,-158.5,158.1,-63.0,,-265.0,-154.0,35.7,-220.0,-318.7,-287.0,11.7,-173.0,-209.6,-307.0,-139.8,-193.9,,-312.9,-150.5,-474.0,,-269.2,-362.3,-122.0,834.5,-352.0,-309.6,,-258.6,-117.5,36.0,-322.4,-153.0,-206.3,-304.5,-465.8,-188.0,True,False,True,True,True,True,True,False,True,True,True,True,True,,False,True,True,True,False,False,True,True,True,False,True,True,,False,True,False,,False,False,True,False,False,False,,True,True,True,False,True,True,False,False,True
Delaware,842,748.9,750.7,761.9,785.0,752.5,792.0,827.0,780.2,893.0,817.9,767.0,833.5,807.4,819.0,,779.0,807.1,805.7,770.0,744.5,754.0,802.3,785.0,776.7,781.0,756.7,832.9,,819.0,815.0,774.0,,,729.4,782.0,768.4,839.0,727.3,,869.3,780.3,797.0,793.0,790.0,803.5,772.0,748.4,769.0,-58.1,-56.3,-45.1,-22.0,-54.5,-15.0,20.0,-26.8,86.0,10.9,-40.0,26.5,0.4,12.0,,-28.0,0.1,-1.3,-37.0,-62.5,-53.0,-4.7,-22.0,-30.3,-26.0,-50.3,25.9,,12.0,8.0,-33.0,,,-77.6,-25.0,-38.6,32.0,-79.7,,62.3,-26.7,-10.0,-14.0,-17.0,-3.5,-35.0,-58.6,-38.0,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,,False,True,True,True,False,,False,True,True,True,True,True,True,False,True
District of Columbia,695,684.9,825.8,689.9,684.0,686.9,684.0,686.0,688.7,676.0,665.5,667.0,685.8,674.9,692.7,,660.0,670.7,680.4,686.0,667.0,659.0,684.5,670.0,671.0,683.0,,,,668.7,701.4,671.0,,,768.5,690.0,666.3,697.0,683.5,,667.1,,684.0,,688.0,690.2,670.0,663.6,682.0,-10.1,130.8,-5.1,-11.0,-8.1,-11.0,-9.0,-6.3,-19.0,-29.5,-28.0,-9.2,-20.1,-2.3,,-35.0,-24.3,-14.6,-9.0,-28.0,-36.0,-10.5,-25.0,-24.0,-12.0,,,,-26.3,6.4,-24.0,,,73.5,-5.0,-28.7,2.0,-11.5,,-27.9,,-11.0,,-7.0,-4.8,-25.0,-31.4,-13.0,False,True,False,True,False,True,True,False,False,False,True,False,True,,False,False,False,True,False,False,False,False,False,False,,,,False,True,False,,,False,True,False,True,False,,False,,False,,True,True,False,False,False
Florida,19084,18401.6,18497.8,18530.9,18683.0,18456.9,18645.0,21193.0,19079.3,19561.0,19956.9,18261.0,18622.2,19010.7,18645.1,,18747.0,19502.9,18887.5,18575.0,18418.5,17898.5,18785.9,17942.0,18542.5,18463.0,18534.5,18892.7,,19606.6,18620.7,18869.5,,18713.1,18586.0,19337.0,19550.3,19272.0,18435.6,,18595.4,18545.4,19499.0,18699.5,18930.0,18502.5,17846.5,18414.9,18159.0,-682.4,-586.2,-553.1,-401.0,-627.1,-439.0,2109.0,-4.7,477.0,872.9,-823.0,-461.8,-73.3,-438.9,,-337.0,418.9,-196.5,-509.0,-665.5,-1185.5,-298.1,-1142.0,-541.5,-621.0,-549.5,-191.3,,522.6,-463.3,-214.5,,-370.9,-498.0,253.0,466.3,188.0,-648.4,,-488.6,-538.6,415.0,-384.5,-154.0,-581.5,-1237.5,-669.1,-925.0,True,True,True,True,True,False,True,True,False,False,True,True,True,,True,True,True,True,True,False,True,False,True,True,True,True,,True,True,True,,True,True,True,True,True,True,,True,True,True,True,True,True,False,True,False
Georgia,9793,9015.6,9610.0,9028.4,8915.0,9048.4,9045.0,9121.0,9168.5,9314.0,9125.5,8714.0,8782.1,8898.8,9068.5,,9115.0,9049.8,9041.3,8826.0,8636.0,9583.0,9261.6,9028.0,8987.7,8968.0,8694.1,8973.1,,8866.2,9094.2,8704.0,,9079.2,9638.7,11476.0,8127.4,10126.0,9072.2,,8894.4,8710.3,9027.0,9146.1,9136.0,9034.6,8690.0,8583.8,8768.0,-323.4,271.0,-310.6,-424.0,-290.6,-294.0,-218.0,-170.5,-25.0,-213.5,-625.0,-556.9,-440.2,-270.5,,-224.0,-289.2,-297.7,-513.0,-703.0,244.0,-77.4,-311.0,-351.3,-371.0,-644.9,-365.9,,-472.8,-244.8,-635.0,,-259.8,299.7,2137.0,-1211.6,787.0,-266.8,,-444.6,-628.7,-312.0,-192.9,-203.0,-304.4,-649.0,-755.2,-571.0,True,True,False,True,True,True,True,True,True,False,False,False,True,,True,True,True,False,False,True,True,True,False,False,False,False,,False,True,False,,True,True,False,False,False,True,,False,False,True,True,True,True,False,False,False
Hawaii,261,228.7,221.5,233.2,244.0,228.0,248.0,271.0,249.3,240.0,294.0,264.0,256.7,,244.5,,,266.5,265.4,244.0,265.5,233.0,246.3,228.0,234.4,272.0,236.5,290.1,,473.4,233.9,300.0,,,224.6,248.0,216.2,332.0,237.9,,296.9,247.1,267.0,262.0,238.0,239.4,259.0,244.7,,-32.3,-39.5,-27.8,-17.0,-33.0,-13.0,10.0,-11.7,-21.0,33.0,3.0,-4.3,,-16.5,,,5.5,4.4,-17.0,4.5,-28.0,-14.7,-33.0,-26.6,11.0,-24.5,29.1,,212.4,-27.1,39.0,,,-36.4,-13.0,-44.8,71.0,-23.1,,35.9,-13.9,6.0,1.0,-23.0,-21.6,-2.0,-16.3,,False,True,True,False,True,True,True,True,False,True,True,,True,,,True,True,True,True,True,True,False,True,True,True,True,,False,True,False,,,False,True,False,False,True,,False,True,True,True,True,True,True,True,
Idaho,1032,902.0,888.8,903.6,995.0,899.0,958.0,1025.0,977.7,983.0,1052.3,809.0,993.6,919.5,1017.4,,930.0,949.6,958.2,996.0,793.9,908.5,1078.3,1060.0,988.4,997.0,1031.6,983.2,,979.4,986.4,932.0,,,896.6,945.0,1043.4,1034.0,842.3,,978.5,1052.2,906.0,875.8,964.0,978.5,915.0,769.5,960.0,-130.0,-143.2,-128.4,-37.0,-133.0,-74.0,-7.0,-54.3,-49.0,20.3,-223.0,-38.4,-112.5,-14.6,,-102.0,-82.4,-73.8,-36.0,-238.1,-123.5,46.3,28.0,-43.6,-35.0,-0.4,-48.8,,-52.6,-45.6,-100.0,,,-135.4,-87.0,11.4,2.0,-189.7,,-53.5,20.2,-126.0,-156.2,-68.0,-53.5,-117.0,-262.5,-72.0,False,True,True,False,True,True,True,True,True,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,,False,True,True,True,False,,True,True,True,False,True,True,True,False,True
Illinois,14017,12323.9,13861.9,12260.3,13103.0,12279.4,12739.0,15356.0,13607.6,14614.0,13814.9,12475.0,12572.1,,13138.8,,11763.0,12829.5,12739.0,12902.0,11304.3,11804.0,14388.3,13325.0,13647.9,12019.0,12668.3,12695.5,13067.0,11228.4,13055.6,11518.5,,11903.8,13820.6,13353.0,11204.6,12888.0,12110.6,,11910.3,12735.7,14341.0,12123.8,13240.0,11985.6,12755.0,11146.1,12556.0,-1693.1,-155.1,-1756.7,-914.0,-1737.6,-1278.0,1339.0,-409.4,597.0,-202.1,-1542.0,-1444.9,,-878.2,,-2254.0,-1187.5,-1278.0,-1115.0,-2712.7,-2213.0,371.3,-692.0,-369.1,-1998.0,-1348.7,-1321.5,-950.0,-2788.6,-961.4,-2498.5,,-2113.2,-196.4,-664.0,-2812.4,-1129.0,-1906.4,,-2106.7,-1281.3,324.0,-1893.2,-777.0,-2031.4,-1262.0,-2870.9,-1461.0,True,False,True,False,True,True,True,True,True,True,True,,True,,False,True,True,True,False,False,True,True,True,False,True,True,True,False,True,False,,False,True,True,False,True,False,,False,True,True,False,True,False,True,False,True
Indiana,6899,5651.1,6158.8,5614.9,5848.0,5632.7,6050.0,6751.0,5842.2,6773.0,6515.3,7298.0,6208.4,6183.7,5973.9,,5465.0,6270.1,6075.5,5536.0,5160.8,5519.5,6761.0,6461.5,6225.9,5463.0,6104.4,5936.4,5560.0,5988.5,6191.9,5249.0,,5409.2,5821.2,6248.0,4797.1,6654.0,5422.2,,5731.1,6129.0,6598.0,5232.2,6339.0,5611.1,5907.5,4686.2,5909.0,-988.9,-481.2,-1025.1,-792.0,-1007.3,-590.0,111.0,-797.8,133.0,-124.7,658.0,-431.6,-456.3,-666.1,,-1175.0,-369.9,-564.5,-1104.0,-1479.2,-1120.5,121.0,-178.5,-414.1,-1177.0,-535.6,-703.6,-1080.0,-651.5,-448.1,-1391.0,,-1230.8,-818.8,-392.0,-1842.9,14.0,-1217.8,,-908.9,-511.0,-42.0,-1407.8,-301.0,-1028.9,-732.5,-1953.8,-731.0,True,False,True,False,True,True,True,True,True,True,True,True,True,,False,True,True,False,False,False,True,True,True,False,True,True,False,True,True,False,,False,True,True,False,True,False,,True,True,True,False,True,False,True,False,True
Iowa,2682,2277.0,2789.9,2340.7,2546.0,2345.9,2518.0,2516.0,2541.3,3729.0,2692.4,2376.0,2344.2,2671.3,2657.3,,2325.0,2569.4,2936.4,2571.0,2059.7,2252.5,3119.1,2747.0,2807.7,2449.0,2588.1,2651.8,,1856.4,2665.1,2174.0,,2371.0,2341.4,2600.0,2444.9,2784.0,2337.8,,2271.2,2611.5,3052.0,2158.7,2959.0,2452.9,2153.0,2016.1,2433.0,-405.0,107.9,-341.3,-136.0,-336.1,-164.0,-166.0,-140.7,1047.0,10.4,-306.0,-337.8,-10.7,-24.7,,-357.0,-112.6,254.4,-111.0,-622.3,-429.5,437.1,65.0,125.7,-233.0,-93.9,-30.2,,-825.6,-16.9,-508.0,,-311.0,-340.6,-82.0,-237.1,102.0,-344.2,,-410.8,-70.5,370.0,-523.3,277.0,-229.1,-529.0,-665.9,-249.0,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,False,False,False,True,True,True,True,True,,False,True,False,,True,True,True,True,True,True,,False,True,True,False,True,True,False,False,True
