,actual_deaths,Baseline,IHME-CurveFit,STH-3PU,error-Baseline,error-IHME-CurveFit,error-STH-3PU,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU
Alabama,3877,4144.9,4559.5,,267.9,682.5,,False,
Alaska,143,59.7,33.9,,-83.3,-109.1,,False,
Arizona,6925,10640.0,6964.8,,3715.0,39.8,,True,
Arkansas,2620,1892.6,2372.9,,-727.4,-247.1,,True,
California,19883,26913.9,34789.3,,7030.9,14906.3,,False,
Colorado,3357,2094.0,5305.6,,-1263.0,1948.6,,False,
Connecticut,5146,4592.7,4925.4,,-553.3,-220.6,,True,
Delaware,782,692.1,754.8,,-89.9,-27.2,,True,
District of Columbia,695,675.3,605.9,,-19.7,-89.1,,False,
Florida,19084,26762.6,19807.7,,7678.6,723.7,,True,
Georgia,9793,10250.7,11414.7,,457.7,1621.7,,False,
Hawaii,261,115.3,28.3,,-145.7,-232.7,,False,
Idaho,1032,911.3,956.1,,-120.7,-75.9,,True,
Illinois,14017,10053.3,10181.9,,-3963.7,-3835.1,,True,
Indiana,6207,4153.6,4680.1,,-2053.4,-1526.9,,True,
Iowa,2682,1824.4,2314.8,,-857.6,-367.2,,True,
Kansas,1786,700.3,2298.9,,-1085.7,512.9,,True,
Kentucky,2062,1295.6,3128.5,,-766.4,1066.5,,False,
Louisiana,6548,8578.4,7992.4,,2030.4,1444.4,,True,
Maine,227,158.7,159.8,,-68.3,-67.2,,True,
Maryland,4820,4765.0,5325.7,,-55.0,505.7,,False,
Massachusetts,10953,10370.1,10471.6,,-582.9,-481.4,,True,
Michigan,10321,7564.1,7811.5,,-2756.9,-2509.5,,True,
Minnesota,3979,2439.7,2467.3,,-1539.3,-1511.7,,True,
Mississippi,3949,5149.4,3506.2,,1200.4,-442.8,,True,
Missouri,4276,2311.7,5522.8,,-1964.3,1246.8,,True,
Montana,734,311.0,340.9,,-423.0,-393.1,,True,
Nebraska,1194,564.1,855.8,,-629.9,-338.2,,True,
Nevada,2301,3064.1,3189.5,,763.1,888.5,,False,
New Hampshire,559,452.7,603.5,,-106.3,44.5,,True,
New Jersey,17306,16514.6,16496.0,,-791.4,-810.0,,False,
New Mexico,1738,1207.6,1748.4,,-530.4,10.4,,True,
New York,34939,33852.9,34034.5,,-1105.1,-923.5,,True,
North Carolina,5516,5715.1,9170.2,,199.1,3654.2,,False,
North Dakota,1013,230.0,221.7,,-783.0,-791.3,,False,
Ohio,6946,6029.0,9536.5,,-917.0,2590.5,,False,
Oklahoma,1874,1496.4,3116.3,,-377.6,1242.3,,False,
Oregon,1027,861.7,3115.1,,-165.3,2088.1,,False,
Pennsylvania,11191,8794.4,8983.5,,-2396.6,-2207.5,,True,
Rhode Island,1413,1132.0,1098.7,,-270.0,-303.3,,False,
South Carolina,4517,6312.7,3696.1,,1795.7,-820.9,,True,
South Dakota,1091,331.4,262.3,,-759.6,-828.7,,False,
Tennessee,4905,3751.6,3044.0,,-1153.4,-1861.0,,False,
Texas,23353,35723.9,27768.2,21378.0,12736.9,4781.2,-1609.0,True,True
Utah,939,757.4,1424.9,,-181.6,485.9,,False,
Vermont,79,74.9,62.6,,-4.1,-16.4,,False,
Virginia,4197,4146.6,6060.4,,-50.4,1863.4,,False,
Washington,2867,3238.9,5346.1,,405.9,2513.1,,False,
West Virginia,829,509.9,241.0,,-319.1,-588.0,,False,
Wisconsin,3934,1840.9,4007.6,,-2042.1,124.6,,True,
Wyoming,266,61.7,27.0,,-204.3,-239.0,,False,
US,281479,287225.7,302831.2,255636.0,6189.7,21795.2,-25400.0,False,False
