,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3877,3370.7,3040.2,2840.0,4253.0,,3099.0,-506.3,-836.8,-1037.0,376.0,,-778.0,False,False,True,,False
Alaska,143,55.9,92.8,52.7,,,59.1,-87.1,-50.2,-90.3,,,-83.9,True,False,,,True
Arizona,6925,7159.9,6564.0,7371.6,6549.0,,6586.8,234.9,-361.0,446.6,-376.0,,-338.2,False,False,False,,False
Arkansas,2620,3352.4,2985.3,2253.2,2902.0,,2259.7,732.4,365.3,-366.8,282.0,,-360.3,True,True,True,,True
California,19883,21942.9,17989.9,29093.9,20178.0,,20012.1,2059.9,-1893.1,9210.9,295.0,,129.1,True,False,True,,True
Colorado,3357,2296.3,2339.7,2664.7,2274.0,,2157.9,-1060.7,-1017.3,-692.3,-1083.0,,-1199.1,True,True,False,,False
Connecticut,5146,4622.3,4585.5,4964.0,4663.0,,4564.3,-523.7,-560.5,-182.0,-483.0,,-581.7,False,True,True,,False
Delaware,782,686.1,716.4,763.2,688.0,,670.2,-95.9,-65.6,-18.8,-94.0,,-111.8,True,True,True,,False
District of Columbia,695,663.4,653.7,793.6,648.0,,642.1,-31.6,-41.3,98.6,-47.0,,-52.9,False,False,False,,False
Florida,19084,20765.7,18452.2,24393.3,18780.0,,18213.4,1681.7,-631.8,5309.3,-304.0,,-870.6,True,False,True,,True
Georgia,9793,9522.6,8219.6,9779.0,9124.0,,9133.7,-270.4,-1573.4,-14.0,-669.0,,-659.3,False,True,False,,False
Hawaii,261,348.0,170.4,169.6,,,246.2,87.0,-90.6,-91.4,,,-14.8,False,False,,,True
Idaho,1032,747.0,690.6,758.4,790.0,,662.0,-285.0,-341.4,-273.6,-242.0,,-370.0,False,True,True,,False
Illinois,14017,10260.3,9820.8,11351.6,9854.0,,9877.3,-3756.7,-4196.2,-2665.4,-4163.0,,-4139.7,False,True,False,,False
Indiana,6207,4244.3,4149.6,4799.8,4313.0,,4026.7,-1962.7,-2057.4,-1407.2,-1894.0,,-2180.3,False,True,True,,False
Iowa,2682,1753.6,1665.7,2569.3,1964.0,,1767.5,-928.4,-1016.3,-112.7,-718.0,,-914.5,False,True,True,,True
Kansas,1786,1322.4,1132.4,2282.0,980.0,,1023.5,-462.6,-652.6,497.0,-805.0,,-761.5,False,False,False,,False
