,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3877,3721.6,2566.4,5449.0,3156.0,,-155.4,-1310.6,1572.0,-721.0,,False,False,False,
Alaska,143,91.4,103.6,31.1,,,-51.6,-39.4,-111.9,,,True,False,,
Arizona,6925,8708.1,4616.1,9800.0,8378.0,,1783.1,-2308.9,2875.0,1453.0,,False,False,True,
Arkansas,2620,1994.4,1183.5,2468.3,1662.0,,-625.6,-1436.5,-151.7,-958.0,,False,True,False,
California,19870,25673.0,18697.3,42564.0,24266.0,,5803.0,-1172.7,22694.0,4396.0,,True,False,True,
Colorado,3357,2244.9,2186.1,2664.8,2332.0,,-1112.1,-1170.9,-692.2,-1025.0,,False,True,True,
Connecticut,5146,4564.0,4538.8,4696.9,4599.0,,-582.0,-607.2,-449.1,-547.0,,False,True,True,
Delaware,782,704.0,673.5,678.6,665.0,,-78.0,-108.5,-103.4,-117.0,,False,False,False,
District of Columbia,695,708.0,656.3,869.8,643.0,,13.0,-38.7,174.8,-52.0,,False,False,False,
Florida,19084,23295.3,12290.8,21553.9,20898.0,,4211.3,-6793.2,2469.9,1814.0,,False,True,True,
Georgia,9793,11520.6,7266.6,10946.6,7598.0,,1727.6,-2526.4,1153.6,-2195.0,,False,True,False,
Hawaii,261,151.0,870.8,282.9,,,-110.0,609.8,21.9,,,False,True,,
Idaho,1032,871.6,574.7,1075.9,526.0,,-160.4,-457.3,43.9,-506.0,,False,True,False,
Illinois,14016,10079.9,10263.9,11447.3,9325.0,,-3936.1,-3752.1,-2568.7,-4691.0,,True,True,False,
Indiana,6207,4512.6,4129.6,7064.1,4210.0,,-1694.4,-2077.4,857.1,-1997.0,,False,True,False,
Iowa,2682,1958.1,1901.4,2960.4,1710.0,,-723.9,-780.6,278.4,-972.0,,False,True,False,
Kansas,1786,723.1,1023.7,1409.0,704.0,,-1062.9,-762.3,-377.0,-1082.0,,True,True,False,
Kentucky,2062,1793.1,1566.6,2945.9,1287.0,,-268.9,-495.4,883.9,-775.0,,False,False,False,
Louisiana,6548,8296.9,4966.5,7938.8,7160.0,,1748.9,-1581.5,1390.8,612.0,,True,True,True,
Maine,227,190.4,161.3,157.1,206.0,,-36.6,-65.7,-69.9,-21.0,,False,False,True,
Maryland,4820,4463.6,4222.2,5519.0,4007.0,,-356.4,-597.8,699.0,-813.0,,False,False,False,
Massachusetts,10953,10154.1,9014.1,12540.1,10444.0,,-798.9,-1938.9,1587.1,-509.0,,False,False,True,
Michigan,10321,7654.4,7506.4,10355.4,7687.0,,-2666.6,-2814.6,34.4,-2634.0,,False,True,True,
Minnesota,3979,2719.3,2616.7,5068.2,2395.0,,-1259.7,-1362.3,1089.2,-1584.0,,False,True,False,
Mississippi,3949,4557.7,2598.2,3369.0,4461.0,,608.7,-1350.8,-580.0,512.0,,False,True,True,
Missouri,4276,2493.0,2672.1,3298.2,2112.0,,-1783.0,-1603.9,-977.8,-2164.0,,True,True,False,
Montana,734,208.9,302.3,186.7,255.0,,-525.1,-431.7,-547.3,-479.0,,True,False,True,
Nebraska,1194,630.6,654.2,1134.6,589.0,,-563.4,-539.8,-59.4,-605.0,,True,True,False,
Nevada,2301,3054.1,1666.3,3338.4,2501.0,,753.1,-634.7,1037.4,200.0,,True,False,True,
New Hampshire,559,518.1,433.6,452.7,511.0,,-40.9,-125.4,-106.3,-48.0,,False,False,False,
New Jersey,17306,16451.1,16165.7,16327.7,16379.0,,-854.9,-1140.3,-978.3,-927.0,,False,False,False,
New Mexico,1738,1205.6,808.2,1341.8,1142.0,,-532.4,-929.8,-396.2,-596.0,,False,True,False,
New York,34939,33521.9,33282.5,32749.2,33418.0,,-1449.1,-1688.5,-2221.8,-1553.0,,False,False,False,
North Carolina,5516,5264.7,4028.9,8936.3,4409.0,,-251.3,-1487.1,3420.3,-1107.0,,False,False,False,
North Dakota,1013,299.4,426.3,389.9,270.0,,-713.6,-586.7,-623.1,-743.0,,True,True,False,
Ohio,6946,6236.3,4695.5,6262.8,5950.0,,-709.7,-2250.5,-683.2,-996.0,,False,True,False,
Oklahoma,1874,1691.7,1316.0,2251.7,1299.0,,-182.3,-558.0,377.7,-575.0,,False,False,False,
Oregon,1027,847.9,693.0,2601.8,694.0,,-179.1,-334.0,1574.8,-333.0,,False,False,False,
Pennsylvania,11191,9102.1,8162.9,15377.6,8324.0,,-2088.9,-3028.1,4186.6,-2867.0,,False,False,False,
Rhode Island,1413,1163.7,1101.2,1218.0,1262.0,,-241.3,-303.8,-187.0,-143.0,,False,True,True,
South Carolina,4517,5995.4,2655.9,4881.0,3861.0,,1478.4,-1861.1,364.0,-656.0,,False,True,True,
South Dakota,1091,279.9,439.9,291.6,312.0,,-811.1,-651.1,-799.4,-779.0,,True,True,True,
Tennessee,4905,4553.3,2493.5,5632.3,3393.0,,-351.7,-2411.5,727.3,-1512.0,,False,False,False,
Texas,23110,31057.9,15841.0,26133.2,31194.0,21422.0,8097.9,-7119.0,3173.2,8234.0,-1538.0,True,True,False,True
Utah,939,711.9,713.7,1011.9,789.0,,-227.1,-225.3,72.9,-150.0,,True,True,True,
Vermont,79,58.0,66.1,62.5,59.0,,-21.0,-12.9,-16.5,-20.0,,True,True,True,
Virginia,4197,3744.7,3297.1,2887.7,2929.0,,-452.3,-899.9,-1309.3,-1268.0,,False,False,False,
Washington,2867,3081.3,2648.7,5292.5,2490.0,,200.3,-232.3,2411.5,-391.0,,False,False,False,
West Virginia,829,461.3,242.7,629.4,343.0,,-367.7,-586.3,-199.6,-486.0,,False,True,False,
Wisconsin,3934,1705.0,2077.9,1862.6,1578.0,,-2175.0,-1802.1,-2017.4,-2302.0,,True,True,False,
Wyoming,266,141.0,69.7,34.0,44.0,,-125.0,-196.3,-232.0,-222.0,,False,False,False,
