,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,3600345.0,5131711,-1531366.0,-29.8%
COVIDhub-baseline,2479760.0,5131711,-2651951.0,-51.7%
JCB-PRM,2346160.2,5131711,-2785550.8,-54.3%
IBF-TimeSeries,2267207.0,5131711,-2864504.0,-55.8%
USACE-ERDC_SEIR,2128235.6,5131711,-3003475.4,-58.5%
IowaStateLW-STEM,2126423.0,5131711,-3005288.0,-58.6%
USC-SI_kJalpha,1617071.0,5131711,-3514640.0,-68.5%
UCLA-SuEIR,1545821.6,5131711,-3585889.4,-69.9%
Covid19Sim-Simulator,1240001.5,5131711,-3891709.5,-75.8%
RobertWalraven-ESG,,5131711,,
