,mean_rank
LNQ-ens1,6.9
Karlen-pypm,7.2
DDS-NBDS,7.8
OliverWyman-Navigator,8.4
LANL-GrowthRate,8.4
USC-SI_kJalpha_RF,8.6
CU-select,9.5
MSRA-DeepST,10.0
JHU_CSSE-DECOM,11.2
JHU_UNC_GAS-StatMechPool,11.7
UCSB-ACTS,12.1
JCB-PRM,13.7
JHUAPL-Bucky,13.9
UMich-RidgeTfReg,13.9
USC-SI_kJalpha,14.7
Google_Harvard-CPF,14.9
COVIDhub-ensemble,14.9
RobertWalraven-ESG,16.3
COVIDhub-baseline,16.3
CEID-Walk,16.5
Covid19Sim-Simulator,17.2
BPagano-RtDriven,17.4
IowaStateLW-STEM,17.7
TTU-squider,19.5
UCLA-SuEIR,22.7
JHU_IDD-CovidSP,22.9
CovidAnalytics-DELPHI,23.7
