,mean_rank
UChicagoCHATTOPADHYAY-UnIT,6.0
LNQ-ens1,6.1
OliverWyman-Navigator,7.6
DDS-NBDS,8.7
MSRA-DeepST,8.8
RobertWalraven-ESG,9.1
LANL-GrowthRate,9.3
USC-SI_kJalpha_RF,10.1
Karlen-pypm,10.1
JHU_CSSE-DECOM,12.3
CU-select,12.5
Google_Harvard-CPF,13.0
COVIDhub-ensemble,14.1
UMich-RidgeTfReg,15.0
JHUAPL-Bucky,15.6
BPagano-RtDriven,15.9
JCB-PRM,16.2
IQVIA_ACOE-STAN,16.8
JHU_UNC_GAS-StatMechPool,17.1
USC-SI_kJalpha,17.7
CEID-Walk,17.9
IowaStateLW-STEM,18.0
COVIDhub-baseline,18.0
UCSB-ACTS,18.1
Covid19Sim-Simulator,21.6
TTU-squider,22.3
UCLA-SuEIR,22.8
CovidAnalytics-DELPHI,25.2
