,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,696,480.0,344.0,,,,,227.0,,317.7,106.3,315.4,,375.6,,391.0,-216.0,-352.0,,,,,-469.0,,-378.3,-589.7,-380.6,,-320.4,,-305.0,False,,,,,False,,False,False,False,,False,,False
01003,1955,852.0,1154.0,,,,,1035.0,,637.4,1066.5,371.8,,553.6,,0.0,-1103.0,-801.0,,,,,-920.0,,-1317.6,-888.5,-1583.2,,-1401.4,,-1955.0,True,,,,,True,,False,True,False,,False,,False
01005,217,126.0,119.0,,,,,102.0,,125.0,65.0,31.2,,,,106.0,-91.0,-98.0,,,,,-115.0,,-92.0,-152.0,-185.8,,,,-111.0,False,,,,,False,,False,False,False,,,,False
01007,302,288.0,159.0,,,,,101.0,,210.9,62.5,191.6,,,,539.0,-14.0,-143.0,,,,,-201.0,,-91.1,-239.5,-110.4,,,,237.0,False,,,,,False,,False,False,False,,,,False
01009,1015,294.0,143.0,,,,,356.0,,196.4,132.9,206.6,,226.6,,111.0,-721.0,-872.0,,,,,-659.0,,-818.6,-882.1,-808.4,,-788.4,,-904.0,False,,,,,True,,False,False,False,,False,,False
01011,64,60.0,2.0,,,,,39.0,,42.3,19.2,12.8,,,,0.0,-4.0,-62.0,,,,,-25.0,,-21.7,-44.8,-51.2,,,,-64.0,False,,,,,False,,False,False,False,,,,False
01013,178,168.0,0.0,,,,,79.0,,92.2,26.6,71.7,,,,160.0,-10.0,-178.0,,,,,-99.0,,-85.8,-151.4,-106.3,,,,-18.0,False,,,,,False,,False,False,False,,,,False
01015,2095,978.0,980.0,,,,,698.0,,740.3,537.0,462.6,,863.7,,14.0,-1117.0,-1115.0,,,,,-1397.0,,-1354.7,-1558.0,-1632.4,,-1231.3,,-2081.0,True,,,,,False,,False,False,False,,False,,False
01017,434,228.0,516.0,,,,,114.0,,194.3,93.6,96.7,,94.4,,449.0,-206.0,82.0,,,,,-320.0,,-239.7,-340.4,-337.3,,-339.6,,15.0,True,,,,,False,,False,False,False,,False,,True
01019,322,162.0,165.0,,,,,154.0,,141.7,79.7,81.8,,,,108.0,-160.0,-157.0,,,,,-168.0,,-180.3,-242.3,-240.2,,,,-214.0,True,,,,,False,,False,False,False,,,,False
01021,425,438.0,295.0,,,,,219.0,,305.1,162.6,193.6,,411.0,,258.0,13.0,-130.0,,,,,-206.0,,-119.9,-262.4,-231.4,,-14.0,,-167.0,False,,,,,False,,False,False,False,,False,,False
01023,42,84.0,42.0,,,,,78.0,,63.1,26.6,12.2,,,,143.0,42.0,0.0,,,,,36.0,,21.1,-15.4,-29.8,,,,101.0,True,,,,,True,,True,True,True,,,,False
01025,332,438.0,332.0,,,,,185.0,,287.5,47.5,240.6,,355.7,,152.0,106.0,0.0,,,,,-147.0,,-44.5,-284.5,-91.4,,23.7,,-180.0,True,,,,,False,,True,False,True,,True,,False
01027,240,198.0,177.0,,,,,52.0,,136.7,48.6,74.9,,,,179.0,-42.0,-63.0,,,,,-188.0,,-103.3,-191.4,-165.1,,,,-61.0,False,,,,,False,,False,False,False,,,,False
01029,272,258.0,185.0,,,,,75.0,,167.7,51.5,87.8,,,,63.0,-14.0,-87.0,,,,,-197.0,,-104.3,-220.5,-184.2,,,,-209.0,False,,,,,False,,False,False,False,,,,False
01031,752,414.0,551.0,,,,,249.0,,380.9,243.5,192.5,,228.7,,483.0,-338.0,-201.0,,,,,-503.0,,-371.1,-508.5,-559.5,,-523.3,,-269.0,True,,,,,False,,False,False,False,,False,,True
01033,1110,492.0,708.0,,,,,448.0,,325.6,135.1,212.8,,414.2,,443.0,-618.0,-402.0,,,,,-662.0,,-784.4,-974.9,-897.2,,-695.8,,-667.0,True,,,,,False,,False,False,False,,False,,False
01035,122,42.0,0.0,,,,,50.0,,30.6,16.8,5.1,0.0,,,15.0,-80.0,-122.0,,,,,-72.0,,-91.4,-105.2,-116.9,-122.0,,,-107.0,False,,,,,True,,False,False,False,False,,,False
01037,110,48.0,32.0,,,,,28.0,,49.0,27.5,11.0,0.0,,,77.0,-62.0,-78.0,,,,,-82.0,,-61.0,-82.5,-99.0,-110.0,,,-33.0,False,,,,,False,,True,False,False,False,,,True
01039,562,384.0,546.0,,,,,235.0,,360.9,163.5,297.0,0.3,146.0,,307.0,-178.0,-16.0,,,,,-327.0,,-201.1,-398.5,-265.0,-561.7,-416.0,,-255.0,True,,,,,False,,False,False,False,False,False,,False
01041,132,96.0,8.0,,,,,59.0,,63.9,38.7,36.5,0.0,,,44.0,-36.0,-124.0,,,,,-73.0,,-68.1,-93.3,-95.5,-132.0,,,-88.0,False,,,,,False,,False,False,False,False,,,False
01043,2029,540.0,799.0,,,,,662.0,,397.3,182.5,154.2,155.3,309.7,,619.0,-1489.0,-1230.0,,,,,-1367.0,,-1631.7,-1846.5,-1874.8,-1873.7,-1719.3,,-1410.0,True,,,,,True,,False,False,False,False,False,,True
01045,704,228.0,775.0,,,,,217.0,,210.8,156.6,72.4,0.4,193.5,,468.0,-476.0,71.0,,,,,-487.0,,-493.2,-547.4,-631.6,-703.6,-510.5,,-236.0,True,,,,,False,,False,False,False,False,False,,True
01047,366,138.0,99.0,,,,,159.0,,106.5,58.6,34.9,0.2,81.2,,62.0,-228.0,-267.0,,,,,-207.0,,-259.5,-307.4,-331.1,-365.8,-284.8,,-304.0,False,,,,,True,,False,False,False,False,False,,False
01049,1737,1452.0,3765.0,,,,,642.0,,1165.3,181.2,1198.5,27.1,879.2,,1377.0,-285.0,2028.0,,,,,-1095.0,,-571.7,-1555.8,-538.5,-1709.9,-857.8,,-360.0,False,,,,,False,,False,False,False,False,False,,False
