,predicted_cases,actual_cases,error,perc_error
CU-select,2519816.0,4487530,-1967714.0,-43.8%
JCB-PRM,2457027.5,4487530,-2030502.5,-45.2%
Columbia_UNC-SurvCon,2279621.2,4487530,-2207908.8,-49.2%
USACE-ERDC_SEIR,2142234.4,4487530,-2345295.6,-52.3%
Covid19Sim-Simulator,2109992.3,4487530,-2377537.7,-53.0%
COVIDhub-baseline,2013546.0,4487530,-2473984.0,-55.1%
USC-SI_kJalpha,1845240.0,4487530,-2642290.0,-58.9%
IBF-TimeSeries,1808506.0,4487530,-2679024.0,-59.7%
JHUAPL-Bucky,1737048.6,4487530,-2750481.4,-61.3%
JHU_IDD-CovidSP,1704963.4,4487530,-2782566.6,-62.0%
IowaStateLW-STEM,1490015.0,4487530,-2997515.0,-66.8%
UCLA-SuEIR,1412500.3,4487530,-3075029.7,-68.5%
LANL-GrowthRate,1152843.0,4487530,-3334687.0,-74.3%
CovidAnalytics-DELPHI,942786.0,4487530,-3544744.0,-79.0%
