,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,612,425.0,,369.0,,,,,202.0,,299.4,147.5,,257.5,,,302.5,694.0,-187.0,,-243.0,,,,,-410.0,,-312.6,-464.5,,-354.5,,,-309.5,82.0,,False,,,,,False,,False,False,,False,,,False,True
01003,1781,800.0,,734.0,,,,,899.0,,541.8,496.7,,551.0,,,748.7,0.0,-981.0,,-1047.0,,,,,-882.0,,-1239.2,-1284.3,,-1230.0,,,-1032.3,-1781.0,,False,,,,,True,,False,False,,False,,,False,False
01005,179,175.0,,181.0,,,,,87.0,,87.4,67.9,,64.6,,,,148.0,-4.0,,2.0,,,,,-92.0,,-91.6,-111.1,,-114.4,,,,-31.0,,True,,,,,False,,False,False,,False,,,,False
01007,253,245.0,,186.0,,,,,103.0,,208.0,48.7,,143.9,,,,397.0,-8.0,,-67.0,,,,,-150.0,,-45.0,-204.3,,-109.1,,,,144.0,,False,,,,,False,,False,False,,False,,,,False
01009,898,515.0,,862.0,,,,,313.0,,332.7,118.2,,402.3,,,306.4,203.0,-383.0,,-36.0,,,,,-585.0,,-565.3,-779.8,,-495.7,,,-591.6,-695.0,,True,,,,,False,,False,False,,False,,,False,False
01011,55,55.0,,0.0,,,,,36.0,,37.1,22.7,,13.6,,,,0.0,0.0,,-55.0,,,,,-19.0,,-17.9,-32.3,,-41.4,,,,-55.0,,False,,,,,False,,False,False,,False,,,,False
01013,139,190.0,,0.0,,,,,78.0,,169.0,32.5,,61.2,,,,174.0,51.0,,-139.0,,,,,-61.0,,30.0,-106.5,,-77.8,,,,35.0,,False,,,,,False,,True,False,,False,,,,True
01015,1853,1215.0,,2380.0,,,,,613.0,,757.8,351.9,,778.4,,,974.0,0.0,-638.0,,527.0,,,,,-1240.0,,-1095.2,-1501.1,,-1074.6,,,-879.0,-1853.0,,True,,,,,False,,False,False,,False,,,False,False
01017,408,120.0,,288.0,,,,,114.0,,144.1,77.7,,21.1,,,69.2,189.0,-288.0,,-120.0,,,,,-294.0,,-263.9,-330.3,,-386.9,,,-338.8,-219.0,,True,,,,,False,,True,False,,False,,,False,True
01019,273,235.0,,226.0,,,,,136.0,,174.6,68.1,,69.0,,,,197.0,-38.0,,-47.0,,,,,-137.0,,-98.4,-204.9,,-204.0,,,,-76.0,,False,,,,,False,,False,False,,False,,,,False
01021,355,330.0,,270.0,,,,,208.0,,247.0,126.3,,182.3,,,288.2,213.0,-25.0,,-85.0,,,,,-147.0,,-108.0,-228.7,,-172.7,,,-66.8,-142.0,,False,,,,,False,,False,False,,False,,,False,False
01023,32,55.0,,35.0,,,,,76.0,,36.3,26.0,,13.2,,,,45.0,23.0,,3.0,,,,,44.0,,4.3,-6.0,,-18.8,,,,13.0,,True,,,,,False,,True,True,,True,,,,True
01025,289,215.0,,188.0,,,,,168.0,,216.9,39.1,,105.4,,,125.2,64.0,-74.0,,-101.0,,,,,-121.0,,-72.1,-249.9,,-183.6,,,-163.8,-225.0,,False,,,,,False,,True,False,,False,,,False,False
